,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722724258.872963000,10.0.3.15,104.26.10.240,TCP,345,49727,443,,,,
1,1722724258.873118000,104.26.10.240,10.0.3.15,TCP,60,443,49727,,,,
2,1722724258.873242000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
3,1722724258.873260000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
4,1722724258.875860000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
5,1722724258.877571000,151.101.10.172,10.0.3.15,TCP,495,80,49712,,,,
6,1722724258.880152000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,
7,1722724258.880194000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,
8,1722724258.886362000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,
9,1722724258.888927000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
10,1722724258.889033000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
11,1722724258.891626000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
12,1722724258.904289000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
13,1722724258.904455000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
14,1722724258.912272000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
15,1722724258.914906000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
16,1722724258.914959000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
17,1722724258.917555000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
18,1722724258.920096000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,
19,1722724258.920140000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,
20,1722724258.934386000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,
21,1722724258.936979000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
22,1722724258.937071000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
23,1722724258.940385000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,
24,1722724258.940432000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,
25,1722724258.940847000,151.101.10.172,10.0.3.15,HTTP,60,80,49712,,,,
26,1722724258.941830000,10.0.3.15,151.101.10.172,HTTP,304,49712,80,GET,/d/msdownload/update/others/2024/08/41709406_b29ed2648caf925749a409c4456ca6c03ba534ea.cab,,Windows-Update-Agent/1216.2402.13012.0 Client-Protocol/2.80
27,1722724258.941980000,151.101.10.172,10.0.3.15,TCP,60,80,49712,,,,
28,1722724258.947930000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
29,1722724258.950451000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
30,1722724258.950482000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
31,1722724258.988751000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
32,1722724258.988817000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
33,1722724258.993722000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
34,1722724258.993749000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
35,1722724259.003736000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
36,1722724259.003759000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
37,1722724259.054568000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
38,1722724259.054616000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
39,1722724259.057158000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
40,1722724259.059762000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
41,1722724259.059802000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
42,1722724259.062934000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
43,1722724259.062968000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
44,1722724259.065453000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
45,1722724259.065497000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
46,1722724259.068088000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
47,1722724259.071205000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
48,1722724259.071255000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
49,1722724259.073830000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
50,1722724259.073858000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
51,1722724259.076903000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
52,1722724259.076930000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
53,1722724259.080264000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
54,1722724259.080293000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
55,1722724259.118096000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
56,1722724259.148061000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
57,1722724259.148160000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
58,1722724259.151209000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
59,1722724259.151252000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
60,1722724259.153660000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
61,1722724259.157651000,20.42.73.29,10.0.3.15,TCP,819,443,49718,,,,
62,1722724259.159242000,10.0.3.15,20.42.73.29,TCP,54,49718,443,,,,
63,1722724259.159484000,20.42.73.29,10.0.3.15,TCP,60,443,49718,,,,
64,1722724259.166456000,23.41.178.121,10.0.3.15,TCP,1514,443,49719,,,,
65,1722724259.166456000,23.41.178.121,10.0.3.15,TCP,1490,443,49719,,,,
66,1722724259.166503000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
67,1722724259.166570000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
68,1722724259.166602000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
69,1722724259.171505000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
70,1722724259.171505000,104.90.25.41,10.0.3.15,TCP,1490,443,49717,,,,
71,1722724259.171559000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
72,1722724259.181555000,23.41.178.121,10.0.3.15,TCP,1514,443,49719,,,,
73,1722724259.181555000,23.41.178.121,10.0.3.15,TCP,1490,443,49719,,,,
74,1722724259.181592000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
75,1722724259.189428000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
76,1722724259.189455000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
77,1722724259.199418000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
78,1722724259.208090000,23.41.178.121,10.0.3.15,TCP,1514,443,49719,,,,
79,1722724259.208090000,23.41.178.121,10.0.3.15,TCP,1490,443,49719,,,,
80,1722724259.208139000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
81,1722724259.214759000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
82,1722724259.214802000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
83,1722724259.257333000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
84,1722724259.257333000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
85,1722724259.257333000,23.41.178.27,10.0.3.15,TCP,124,443,49675,,,,
86,1722724259.257501000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
87,1722724259.257529000,10.0.3.15,23.41.178.27,TCP,54,49675,443,,,,
88,1722724259.257672000,10.0.3.15,23.41.178.27,TCP,16411,49675,443,,,,
89,1722724259.257732000,10.0.3.15,23.41.178.27,TCP,16411,49675,443,,,,
90,1722724259.257838000,10.0.3.15,23.41.178.27,TCP,3345,49675,443,,,,
91,1722724259.257883000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
92,1722724259.257883000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
93,1722724259.257883000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
94,1722724259.257883000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
95,1722724259.257883000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
96,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
97,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
98,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
99,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
100,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
101,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
102,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
103,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
104,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
105,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
106,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
107,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
108,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
109,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
110,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
111,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
112,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
113,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
114,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
115,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
116,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
117,1722724259.258070000,23.41.178.27,10.0.3.15,TCP,60,443,49675,,,,
118,1722724259.261205000,23.41.178.121,10.0.3.15,TCP,1502,443,49719,,,,
119,1722724259.261205000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
120,1722724259.261248000,10.0.3.15,23.41.178.121,TCP,54,49719,443,,,,
121,1722724259.261267000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
122,1722724259.266027000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
123,1722724259.266027000,104.90.25.41,10.0.3.15,TCP,1490,443,49717,,,,
124,1722724259.266054000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
125,1722724259.273616000,104.26.10.240,10.0.3.15,TCP,1514,443,49727,,,,
126,1722724259.273616000,104.26.10.240,10.0.3.15,TCP,1514,443,49727,,,,
