"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"2","0.000281","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"3","25.950718","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"4","25.950843","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"5","25.951607","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"6","25.951709","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"7","26.957867","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"8","26.958111","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"9","26.958276","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"10","26.958397","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"11","39.805432","192.168.56.102","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"12","42.796815","192.168.56.102","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"13","45.798200","192.168.56.102","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"14","56.177412","192.168.56.102","192.168.56.101","TCP","66","49678  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","56.177733","192.168.56.101","192.168.56.102","TCP","60","8888  >  49678 [RST, ACK] Seq=3309017168 Ack=1 Win=0 Len=0"
"16","56.686163","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49678  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"17","56.686387","192.168.56.101","192.168.56.102","TCP","66","[TCP Port numbers reused] 8888  >  49678 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"18","56.686446","192.168.56.102","192.168.56.101","TCP","54","49678  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"19","56.686946","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"20","56.687091","192.168.56.101","192.168.56.102","TCP","60","8888  >  49678 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"21","56.691445","192.168.56.101","192.168.56.102","TLSv1.3","927","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"22","56.708937","192.168.56.102","192.168.56.101","TLSv1.3","819","Change Cipher Spec, Application Data, Application Data, Application Data"
"23","56.713770","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"24","56.713794","192.168.56.102","192.168.56.101","TLSv1.3","457","Application Data"
"25","56.714741","192.168.56.101","192.168.56.102","TCP","60","8888  >  49678 [ACK] Seq=874 Ack=1434 Win=31872 Len=0"
"26","57.057239","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"27","58.058947","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"28","59.064987","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"29","60.073890","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"30","71.724117","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49678  >  8888 [ACK] Seq=1433 Ack=874 Win=261888 Len=1"
"31","71.724346","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49678 [ACK] Seq=874 Ack=1434 Win=31872 Len=0 SLE=1433 SRE=1434"
"32","86.726249","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49678  >  8888 [ACK] Seq=1433 Ack=874 Win=261888 Len=1"
"33","86.726538","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49678 [ACK] Seq=874 Ack=1434 Win=31872 Len=0 SLE=1433 SRE=1434"
"34","91.957534","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"35","91.957548","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
