"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49674  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000255","192.168.56.101","192.168.56.102","TCP","60","443  >  49674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.511515","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49674  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.511815","192.168.56.101","192.168.56.102","TCP","60","443  >  49674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.023130","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49674  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.023395","192.168.56.101","192.168.56.102","TCP","60","443  >  49674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.538249","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49674  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.538551","192.168.56.101","192.168.56.102","TCP","60","443  >  49674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.042237","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49674  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.042470","192.168.56.101","192.168.56.102","TCP","60","443  >  49674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.044938","192.168.56.102","192.168.56.101","TCP","66","49675  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.045068","192.168.56.101","192.168.56.102","TCP","66","80  >  49675 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.045102","192.168.56.102","192.168.56.101","TCP","54","49675  >  80 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"14","2.045380","192.168.56.102","192.168.56.101","HTTP","2933","POST /authenticate/oauth/oauth2/database/samples.html?af=78538gl099&u=6r585x51 HTTP/1.1 "
"15","2.045559","192.168.56.101","192.168.56.102","TCP","60","80  >  49675 [ACK] Seq=1 Ack=2880 Win=31872 Len=0"
"16","2.046023","192.168.56.101","192.168.56.102","HTTP","491","HTTP/1.1 404 Not Found  (text/html)"
"17","2.093540","192.168.56.102","192.168.56.101","TCP","54","49675  >  80 [ACK] Seq=2880 Ack=438 Win=2097408 Len=0"
"18","7.047851","192.168.56.101","192.168.56.102","TCP","60","80  >  49675 [FIN, ACK] Seq=438 Ack=2880 Win=31872 Len=0"
"19","7.047898","192.168.56.102","192.168.56.101","TCP","54","49675  >  80 [ACK] Seq=2880 Ack=439 Win=2097408 Len=0"
"20","17.526660","fe80::a3a5:d549:98af:516d","ff02::2","ICMPv6","62","Router Solicitation"
"21","22.055579","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49675  >  80 [ACK] Seq=2879 Ack=439 Win=2097408 Len=1"
"22","22.055809","192.168.56.101","192.168.56.102","TCP","60","[TCP Keep-Alive ACK] 80  >  49675 [ACK] Seq=439 Ack=2880 Win=31872 Len=0"
"23","32.056867","192.168.56.102","192.168.56.101","TCP","54","49675  >  80 [FIN, ACK] Seq=2880 Ack=439 Win=2097408 Len=0"
"24","32.057092","192.168.56.101","192.168.56.102","TCP","60","80  >  49675 [ACK] Seq=439 Ack=2881 Win=31872 Len=0"
"25","60.877520","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"26","61.883734","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"27","62.059219","192.168.56.102","192.168.56.101","TCP","66","49676  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"28","62.059431","192.168.56.101","192.168.56.102","TCP","60","443  >  49676 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
