"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000245","192.168.56.101","192.168.56.102","TCP","60","443  >  49700 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.511679","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.511925","192.168.56.101","192.168.56.102","TCP","60","443  >  49700 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.027523","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.027799","192.168.56.101","192.168.56.102","TCP","60","443  >  49700 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.537327","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.537564","192.168.56.101","192.168.56.102","TCP","60","443  >  49700 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.045469","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49700  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.045784","192.168.56.101","192.168.56.102","TCP","60","443  >  49700 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.048781","192.168.56.102","192.168.56.101","TCP","66","49701  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.048961","192.168.56.101","192.168.56.102","TCP","66","80  >  49701 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.049004","192.168.56.102","192.168.56.101","TCP","54","49701  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"14","2.049240","192.168.56.102","192.168.56.101","HTTP","698","POST /actions/login.html?da=230b68298&l=1914ic3856 HTTP/1.1 "
"15","2.049408","192.168.56.101","192.168.56.102","TCP","60","80  >  49701 [ACK] Seq=1 Ack=645 Win=31872 Len=0"
"16","2.049803","192.168.56.101","192.168.56.102","HTTP","136","HTTP/1.1 404 Not Found "
"17","2.060875","192.168.56.102","192.168.56.101","TCP","54","49701  >  80 [FIN, ACK] Seq=645 Ack=83 Win=262656 Len=0"
"18","2.061072","192.168.56.101","192.168.56.102","TCP","60","80  >  49701 [FIN, ACK] Seq=83 Ack=646 Win=31872 Len=0"
"19","2.061093","192.168.56.102","192.168.56.101","TCP","54","49701  >  80 [ACK] Seq=646 Ack=84 Win=262656 Len=0"
"20","52.662193","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"21","52.662538","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"22","52.669708","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"23","52.670004","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"24","53.672967","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"25","53.673205","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"26","53.673409","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"27","53.673481","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"28","62.057445","192.168.56.102","192.168.56.101","TCP","66","49702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"29","62.057749","192.168.56.101","192.168.56.102","TCP","60","443  >  49702 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"30","62.574634","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"31","62.574877","192.168.56.101","192.168.56.102","TCP","60","443  >  49702 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","63.082061","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","63.082319","192.168.56.101","192.168.56.102","TCP","60","443  >  49702 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"34","63.592239","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"35","63.592502","192.168.56.101","192.168.56.102","TCP","60","443  >  49702 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"36","64.107111","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"37","64.107346","192.168.56.101","192.168.56.102","TCP","60","443  >  49702 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"38","64.109853","192.168.56.102","192.168.56.101","TCP","66","49703  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"39","64.110003","192.168.56.101","192.168.56.102","TCP","66","80  >  49703 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"40","64.110042","192.168.56.102","192.168.56.101","TCP","54","49703  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"41","64.110253","192.168.56.102","192.168.56.101","HTTP","692","POST /sign-up.html?c=102u03f841&nr=11932d645 HTTP/1.1 "
"42","64.110425","192.168.56.101","192.168.56.102","TCP","60","80  >  49703 [ACK] Seq=1 Ack=639 Win=31872 Len=0"
"43","64.111529","192.168.56.101","192.168.56.102","HTTP","401","HTTP/1.1 200 OK  (text/plain)"
"44","64.112538","192.168.56.102","192.168.56.101","HTTP","537","GET /assets/bootstrap.min.js?e=7494249 HTTP/1.1 "
"45","64.115949","192.168.56.102","192.168.56.101","TCP","66","49704  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"46","64.116078","192.168.56.101","192.168.56.102","TCP","66","80  >  49704 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"47","64.116104","192.168.56.102","192.168.56.101","TCP","54","49704  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"48","64.116194","192.168.56.102","192.168.56.101","HTTP","1077","POST /api.php?t=83v751716 HTTP/1.1 "
"49","64.116316","192.168.56.101","192.168.56.102","TCP","60","80  >  49704 [ACK] Seq=1 Ack=1024 Win=31872 Len=0"
