"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","54","49731  >  80 [FIN, ACK] Seq=1 Ack=1 Win=1025 Len=0"
"2","0.000307","192.168.56.101","192.168.56.102","TCP","60","80  >  49731 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"3","0.007498","192.168.56.102","192.168.56.101","HTTP","629","GET /page.html HTTP/1.1 "
"4","0.008099","192.168.56.101","192.168.56.102","TCP","60","80  >  49732 [ACK] Seq=1 Ack=576 Win=249 Len=0"
"5","0.008528","192.168.56.102","192.168.56.101","TCP","66","49745  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","0.008715","192.168.56.101","192.168.56.102","TCP","66","80  >  49745 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"7","0.008848","192.168.56.102","192.168.56.101","TCP","54","49745  >  80 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"8","0.009323","192.168.56.101","192.168.56.102","HTTP","302","HTTP/1.1 304 Not Modified "
"9","0.066074","192.168.56.102","192.168.56.101","TCP","54","49732  >  80 [ACK] Seq=576 Ack=249 Win=1025 Len=0"
"10","5.010207","192.168.56.101","192.168.56.102","TCP","60","80  >  49732 [FIN, ACK] Seq=249 Ack=576 Win=249 Len=0"
"11","5.010257","192.168.56.102","192.168.56.101","TCP","54","49732  >  80 [ACK] Seq=576 Ack=250 Win=1025 Len=0"
