,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720616968.973804000,0,0,,42,0,0,,,,
1,1720616968.974085000,0,0,,60,0,0,,,,
2,1720616994.924522000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
3,1720616994.924647000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
4,1720616994.925411000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
5,1720616994.925513000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
6,1720616995.931671000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
7,1720616995.931915000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
8,1720616995.932080000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
9,1720616995.932201000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
10,1720617008.779236000,192.168.56.102,239.255.255.250,UDP,179,61700,1900,,,,
11,1720617011.770619000,192.168.56.102,239.255.255.250,UDP,179,61700,1900,,,,
12,1720617014.772004000,192.168.56.102,239.255.255.250,UDP,179,61700,1900,,,,
13,1720617025.151216000,192.168.56.102,192.168.56.101,TCP,66,49678,8888,,,,
14,1720617025.151537000,192.168.56.101,192.168.56.102,TCP,60,8888,49678,,,,
15,1720617025.659967000,192.168.56.102,192.168.56.101,TCP,66,49678,8888,,,,
16,1720617025.660191000,192.168.56.101,192.168.56.102,TCP,66,8888,49678,,,,
17,1720617025.660250000,192.168.56.102,192.168.56.101,TCP,54,49678,8888,,,,
18,1720617025.660750000,192.168.56.102,192.168.56.101,TCP,293,49678,8888,,,,
19,1720617025.660895000,192.168.56.101,192.168.56.102,TCP,60,8888,49678,,,,
20,1720617025.665249000,192.168.56.101,192.168.56.102,TCP,927,8888,49678,,,,
21,1720617025.682741000,192.168.56.102,192.168.56.101,TCP,819,49678,8888,,,,
22,1720617025.687574000,192.168.56.102,192.168.56.101,TCP,80,49678,8888,,,,
23,1720617025.687598000,192.168.56.102,192.168.56.101,TCP,457,49678,8888,,,,
24,1720617025.688545000,192.168.56.101,192.168.56.102,TCP,60,8888,49678,,,,
25,1720617026.031043000,192.168.56.102,239.255.255.250,UDP,217,52703,1900,,,,
26,1720617027.032751000,192.168.56.102,239.255.255.250,UDP,217,52703,1900,,,,
27,1720617028.038791000,192.168.56.102,239.255.255.250,UDP,217,52703,1900,,,,
28,1720617029.047694000,192.168.56.102,239.255.255.250,UDP,217,52703,1900,,,,
29,1720617040.697921000,192.168.56.102,192.168.56.101,TCP,55,49678,8888,,,,
30,1720617040.698150000,192.168.56.101,192.168.56.102,TCP,66,8888,49678,,,,
31,1720617055.700053000,192.168.56.102,192.168.56.101,TCP,55,49678,8888,,,,
32,1720617055.700342000,192.168.56.101,192.168.56.102,TCP,66,8888,49678,,,,
33,1720617060.931338000,0,0,,60,0,0,,,,
34,1720617060.931352000,0,0,,42,0,0,,,,
