,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1720617146.527367000,192.168.56.102,239.255.255.250,UDP,217,58036,1900,,,,,
1,1720617147.540941000,192.168.56.102,239.255.255.250,UDP,217,58036,1900,,,,,
2,1720617148.552308000,192.168.56.102,239.255.255.250,UDP,217,58036,1900,,,,,
3,1720617149.556239000,192.168.56.102,239.255.255.250,UDP,217,58036,1900,,,,,
4,1720617154.615301000,192.168.56.102,192.168.56.101,TCP,66,49679,8888,,,,,
5,1720617154.615504000,192.168.56.101,192.168.56.102,TCP,60,8888,49679,,,,,
6,1720617155.129970000,192.168.56.102,192.168.56.101,TCP,66,49679,8888,,,,,
7,1720617155.130226000,192.168.56.101,192.168.56.102,TCP,60,8888,49679,,,,,
8,1720617155.636396000,192.168.56.102,192.168.56.101,TCP,66,49679,8888,,,,,
9,1720617155.636609000,192.168.56.101,192.168.56.102,TCP,60,8888,49679,,,,,
10,1720617156.161226000,192.168.56.102,192.168.56.101,TCP,66,49679,8888,,,,,
11,1720617156.161538000,192.168.56.101,192.168.56.102,TCP,60,8888,49679,,,,,
12,1720617156.665118000,192.168.56.102,192.168.56.101,TCP,66,49679,8888,,,,,
13,1720617156.665376000,192.168.56.101,192.168.56.102,TCP,60,8888,49679,,,,,
14,1720617159.462057000,0,0,,42,0,0,,,,,
15,1720617159.462399000,0,0,,60,0,0,,,,,
16,1720617159.671754000,0,0,,60,0,0,,,,,
17,1720617159.671770000,0,0,,42,0,0,,,,,
18,1720617216.671103000,192.168.56.102,192.168.56.101,TCP,66,49680,8888,,,,,
19,1720617216.671337000,192.168.56.101,192.168.56.102,TCP,60,8888,49680,,,,,
20,1720617217.172348000,192.168.56.102,192.168.56.101,TCP,66,49680,8888,,,,,
21,1720617217.172710000,192.168.56.101,192.168.56.102,TCP,60,8888,49680,,,,,
22,1720617217.673852000,192.168.56.102,192.168.56.101,TCP,66,49680,8888,,,,,
23,1720617217.674079000,192.168.56.101,192.168.56.102,TCP,60,8888,49680,,,,,
24,1720617218.184664000,192.168.56.102,192.168.56.101,TCP,66,49680,8888,,,,,
25,1720617218.185025000,192.168.56.101,192.168.56.102,TCP,60,8888,49680,,,,,
26,1720617218.696677000,192.168.56.102,192.168.56.101,TCP,66,49680,8888,,,,,
27,1720617218.696972000,192.168.56.101,192.168.56.102,TCP,60,8888,49680,,,,,
28,1720617221.470948000,0,0,,42,0,0,,,,,
29,1720617221.471285000,0,0,,60,0,0,,,,,
30,1720617221.848664000,0,0,,60,0,0,,,,,
31,1720617221.848678000,0,0,,42,0,0,,,,,
32,1720617255.140451000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
33,1720617255.140832000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
34,1720617255.141995000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
35,1720617255.142128000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
36,1720617255.579445000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,
37,1720617255.584055000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,
38,1720617255.588147000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
39,1720617255.588247000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
40,1720617255.591541000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
41,1720617255.591648000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
42,1720617255.591772000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
43,1720617255.591784000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
44,1720617255.591864000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
45,1720617255.591941000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
46,1720617255.592247000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,
47,1720617255.592340000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,
48,1720617255.592456000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,
49,1720617255.592529000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,62563,5355,,,,,
50,1720617255.592541000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,
51,1720617255.592649000,192.168.56.102,224.0.0.252,UDP,74,62563,5355,,,,,
52,1720617255.966605000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
53,1720617255.966660000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
54,1720617256.138673000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
55,1720617256.138852000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
56,1720617256.139033000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
57,1720617256.139305000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
58,1720617260.457911000,0,0,,42,0,0,,,,,
59,1720617260.458168000,0,0,,60,0,0,,,,,
60,1720617266.531493000,192.168.56.102,239.255.255.250,UDP,217,62564,1900,,,,,
61,1720617267.541174000,192.168.56.102,239.255.255.250,UDP,217,62564,1900,,,,,
62,1720617268.544373000,192.168.56.102,239.255.255.250,UDP,217,62564,1900,,,,,
63,1720617269.555598000,192.168.56.102,239.255.255.250,UDP,217,62564,1900,,,,,
