"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.3.15","74.125.133.147","QUIC","1292","Initial, DCID=9180490bbc115d01, PKN: 1, CRYPTO"
"2","0.000105","10.0.3.15","74.125.133.147","QUIC","1292","Initial, DCID=9180490bbc115d01, PKN: 2, PADDING, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO"
"3","0.000299","10.0.3.15","74.125.133.147","QUIC","123","0-RTT, DCID=9180490bbc115d01"
"4","0.020336","74.125.133.147","10.0.3.15","QUIC","1292","Initial, SCID=f180490bbc115d01, PKN: 1, ACK, PADDING"
"5","0.020488","74.125.133.147","10.0.3.15","QUIC","1292","Initial, SCID=f180490bbc115d01, PKN: 2, CRYPTO, PADDING"
"6","0.020488","74.125.133.147","10.0.3.15","QUIC","354","Protected Payload (KP0)"
"7","0.020488","74.125.133.147","10.0.3.15","QUIC","980","Protected Payload (KP0)"
"8","0.020681","74.125.133.147","10.0.3.15","QUIC","69","Protected Payload (KP0)"
"9","0.020918","10.0.3.15","74.125.133.147","QUIC","120","Handshake, DCID=f180490bbc115d01"
"10","0.021005","10.0.3.15","74.125.133.147","QUIC","73","Protected Payload (KP0), DCID=f180490bbc115d01"
"11","0.021317","10.0.3.15","74.125.133.147","QUIC","1199","Protected Payload (KP0), DCID=f180490bbc115d01"
"12","0.039797","74.125.133.147","10.0.3.15","QUIC","168","Protected Payload (KP0)"
"13","0.047343","74.125.133.147","10.0.3.15","QUIC","71","Protected Payload (KP0)"
"14","0.047608","10.0.3.15","74.125.133.147","QUIC","74","Protected Payload (KP0), DCID=f180490bbc115d01"
"15","0.051544","74.125.133.147","10.0.3.15","QUIC","524","Protected Payload (KP0)"
"16","0.051544","74.125.133.147","10.0.3.15","QUIC","63","Protected Payload (KP0)"
"17","0.051957","10.0.3.15","74.125.133.147","QUIC","77","Protected Payload (KP0), DCID=f180490bbc115d01"
"18","0.083588","10.0.3.15","74.125.133.147","QUIC","74","Protected Payload (KP0), DCID=f180490bbc115d01"
"19","0.096559","74.125.133.147","10.0.3.15","QUIC","66","Protected Payload (KP0)"
"20","1.035464","10.0.3.15","88.221.83.227","UDP","966","57970  >  443 Len=924"
"21","1.056289","88.221.83.227","10.0.3.15","UDP","70","443  >  57970 Len=28"
"22","1.092906","10.0.3.15","88.221.83.227","UDP","74","57970  >  443 Len=32"
"23","1.121326","10.0.3.15","88.221.83.227","UDP","72","57970  >  443 Len=30"
"24","1.121415","10.0.3.15","88.221.83.227","UDP","77","57970  >  443 Len=35"
"25","1.133903","88.221.83.227","10.0.3.15","UDP","1040","443  >  57970 Len=998"
"26","1.133903","88.221.83.227","10.0.3.15","UDP","688","443  >  57970 Len=646"
"27","1.133903","88.221.83.227","10.0.3.15","UDP","64","443  >  57970 Len=22"
"28","1.134186","10.0.3.15","88.221.83.227","UDP","73","57970  >  443 Len=31"
"29","1.139429","10.0.3.15","88.221.83.227","UDP","195","57970  >  443 Len=153"
"30","1.141338","88.221.83.227","10.0.3.15","UDP","66","443  >  57970 Len=24"
"31","1.159717","88.221.83.227","10.0.3.15","UDP","70","443  >  57970 Len=28"
"32","1.178668","10.0.3.15","10.0.3.3","DNS","96","Standard query 0xdc3d A functional.events.data.microsoft.com"
"33","1.178845","10.0.3.15","10.0.3.3","DNS","96","Standard query 0x03b9 HTTPS functional.events.data.microsoft.com"
"34","1.179067","10.0.3.15","51.104.15.252","TLSv1.2","137","Application Data"
"35","1.179095","10.0.3.15","51.104.15.252","TLSv1.2","93","Application Data"
"36","1.179114","10.0.3.15","51.104.15.252","TLSv1.2","855","Application Data"
"37","1.179210","51.104.15.252","10.0.3.15","TCP","60","443  >  49786 [ACK] Seq=1 Ack=84 Win=65535 Len=0"
"38","1.179210","51.104.15.252","10.0.3.15","TCP","60","443  >  49786 [ACK] Seq=1 Ack=123 Win=65535 Len=0"
"39","1.179210","51.104.15.252","10.0.3.15","TCP","60","443  >  49786 [ACK] Seq=1 Ack=924 Win=65535 Len=0"
"40","1.192722","10.0.3.15","88.221.83.227","UDP","74","57970  >  443 Len=32"
"41","1.198399","10.0.3.3","10.0.3.15","DNS","223","Standard query response 0xdc3d A functional.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus10.eastus.cloudapp.azure.com A 52.168.117.169"
"42","1.203154","51.104.15.252","10.0.3.15","TLSv1.2","89","Application Data"
"43","1.206897","51.104.15.252","10.0.3.15","TLSv1.2","93","Application Data"
"44","1.206914","10.0.3.15","51.104.15.252","TCP","54","49786  >  443 [ACK] Seq=924 Ack=75 Win=63488 Len=0"
