,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1722787920.594344000,10.0.3.15,74.125.133.147,UDP,1292,55736,443,,,,,
1,1722787920.594449000,10.0.3.15,74.125.133.147,UDP,1292,55736,443,,,,,
2,1722787920.594643000,10.0.3.15,74.125.133.147,UDP,123,55736,443,,,,,
3,1722787920.614680000,74.125.133.147,10.0.3.15,UDP,1292,443,55736,,,,,
4,1722787920.614832000,74.125.133.147,10.0.3.15,UDP,1292,443,55736,,,,,
5,1722787920.614832000,74.125.133.147,10.0.3.15,UDP,354,443,55736,,,,,
6,1722787920.614832000,74.125.133.147,10.0.3.15,UDP,980,443,55736,,,,,
7,1722787920.615025000,74.125.133.147,10.0.3.15,UDP,69,443,55736,,,,,
8,1722787920.615262000,10.0.3.15,74.125.133.147,UDP,120,55736,443,,,,,
9,1722787920.615349000,10.0.3.15,74.125.133.147,UDP,73,55736,443,,,,,
10,1722787920.615661000,10.0.3.15,74.125.133.147,UDP,1199,55736,443,,,,,
11,1722787920.634141000,74.125.133.147,10.0.3.15,UDP,168,443,55736,,,,,
12,1722787920.641687000,74.125.133.147,10.0.3.15,UDP,71,443,55736,,,,,
13,1722787920.641952000,10.0.3.15,74.125.133.147,UDP,74,55736,443,,,,,
14,1722787920.645888000,74.125.133.147,10.0.3.15,UDP,524,443,55736,,,,,
15,1722787920.645888000,74.125.133.147,10.0.3.15,UDP,63,443,55736,,,,,
16,1722787920.646301000,10.0.3.15,74.125.133.147,UDP,77,55736,443,,,,,
17,1722787920.677932000,10.0.3.15,74.125.133.147,UDP,74,55736,443,,,,,
18,1722787920.690903000,74.125.133.147,10.0.3.15,UDP,66,443,55736,,,,,
19,1722787921.629808000,10.0.3.15,88.221.83.227,UDP,966,57970,443,,,,,
20,1722787921.650633000,88.221.83.227,10.0.3.15,UDP,70,443,57970,,,,,
21,1722787921.687250000,10.0.3.15,88.221.83.227,UDP,74,57970,443,,,,,
