,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1724936132.591087000,127.0.0.1,127.0.0.1,TCP,74,49828,80,,,,,,,,
1,1724936132.591103000,127.0.0.1,127.0.0.1,TCP,74,80,49828,,,,,,,,
2,1724936132.591119000,127.0.0.1,127.0.0.1,TCP,66,49828,80,,,,,,,,
3,1724936132.591149000,127.0.0.1,127.0.0.1,HTTP,225,49828,80,GET,,/assets/bootstrap.js,,python-requests/2.25.1,,,
4,1724936132.591157000,127.0.0.1,127.0.0.1,TCP,66,80,49828,,,,,,,,
5,1724936132.591511000,127.0.0.1,127.0.0.1,TCP,159,80,49828,,,,,,,,
6,1724936132.591521000,127.0.0.1,127.0.0.1,TCP,66,49828,80,,,,,,,,
7,1724936132.591564000,127.0.0.1,127.0.0.1,HTTP,66,80,49828,,200,,,,,,
8,1724936132.591798000,127.0.0.1,127.0.0.1,TCP,66,49828,80,,,,,,,,
9,1724936132.591813000,127.0.0.1,127.0.0.1,TCP,66,80,49828,,,,,,,,
10,1724936139.148632000,127.0.0.1,127.0.0.53,UDP,81,51811,53,,,,,,,,
11,1724936139.148646000,127.0.0.1,127.0.0.53,UDP,81,51811,53,,,,,,,,
12,1724936139.709410000,127.0.0.53,127.0.0.1,UDP,672,53,51811,,,,,,,,
13,1724936139.709555000,127.0.0.53,127.0.0.1,UDP,146,53,51811,,,,,,,,
14,1724936143.276184000,127.0.0.1,127.0.0.53,UDP,81,51125,53,,,,,,,,
15,1724936143.276199000,127.0.0.1,127.0.0.53,UDP,81,51125,53,,,,,,,,
16,1724936143.276591000,127.0.0.53,127.0.0.1,UDP,672,53,51125,,,,,,,,
17,1724936143.301783000,127.0.0.53,127.0.0.1,UDP,146,53,51125,,,,,,,,
18,1724936146.175534000,127.0.0.1,127.0.0.53,UDP,92,5062,53,,,,,,,,
19,1724936146.175603000,127.0.0.1,127.0.0.53,UDP,92,57397,53,,,,,,,,
20,1724936146.175651000,127.0.0.1,127.0.0.53,UDP,92,33281,53,,,,,,,,
21,1724936146.330818000,127.0.0.53,127.0.0.1,UDP,212,53,57397,,,,,,,,
22,1724936146.354227000,127.0.0.53,127.0.0.1,UDP,260,53,33281,,,,,,,,
23,1724936146.354347000,127.0.0.53,127.0.0.1,UDP,260,53,5062,,,,,,,,
24,1724936183.674708000,127.0.0.1,127.0.0.1,TCP,74,47836,80,,,,,,,,
25,1724936183.674734000,127.0.0.1,127.0.0.1,TCP,74,80,47836,,,,,,,,
26,1724936183.674791000,127.0.0.1,127.0.0.1,TCP,66,47836,80,,,,,,,,
27,1724936183.674836000,127.0.0.1,127.0.0.1,HTTP,220,47836,80,GET,,/jscript/app.js,,python-requests/2.25.1,,,
28,1724936183.674849000,127.0.0.1,127.0.0.1,TCP,66,80,47836,,,,,,,,
29,1724936183.675202000,127.0.0.1,127.0.0.1,TCP,159,80,47836,,,,,,,,
30,1724936183.675233000,127.0.0.1,127.0.0.1,TCP,66,47836,80,,,,,,,,
31,1724936183.675283000,127.0.0.1,127.0.0.1,HTTP,66,80,47836,,200,,,,,,
32,1724936183.675610000,127.0.0.1,127.0.0.1,TCP,66,47836,80,,,,,,,,
33,1724936183.675629000,127.0.0.1,127.0.0.1,TCP,66,80,47836,,,,,,,,
34,1724936199.050874000,127.0.0.1,127.0.0.53,UDP,74,41150,53,,,,,,,,
