,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722724554.936337000,2.17.197.249,10.0.3.15,HTTP,1502,80,50068,,,,
1,1722724554.962296000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
2,1722724554.990664000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
3,1722724555.006379000,10.0.3.15,2.17.197.240,TCP,54,50086,80,,,,
4,1722724555.019474000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
5,1722724555.073173000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
6,1722724555.110394000,10.0.3.2,10.0.3.15,,70,0,0,,,,
7,1722724555.110394000,10.0.3.2,10.0.3.15,,70,0,0,,,,
8,1722724555.127707000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
9,1722724555.140459000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
10,1722724555.153513000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
11,1722724555.183269000,10.0.3.15,2.17.197.240,TCP,54,50086,80,,,,
12,1722724555.183291000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
13,1722724555.198538000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
14,1722724555.235430000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
15,1722724555.248459000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
16,1722724555.274660000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
17,1722724555.274802000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
18,1722724555.291946000,10.0.3.15,2.17.197.240,TCP,54,50086,80,,,,
19,1722724555.346489000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
20,1722724555.359320000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
21,1722724555.401394000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
22,1722724555.401402000,10.0.3.15,2.17.197.240,TCP,54,50086,80,,,,
23,1722724555.428448000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
24,1722724555.441202000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
25,1722724555.454398000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
26,1722724555.482062000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
27,1722724555.482062000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
28,1722724555.496120000,2.17.197.240,10.0.3.15,TCP,1502,80,50085,,,,
29,1722724555.497913000,10.0.3.15,2.17.197.240,TCP,54,50086,80,,,,
30,1722724555.538402000,2.17.197.249,10.0.3.15,TCP,1502,80,50068,,,,
31,1722724555.546841000,10.0.3.15,2.17.197.240,TCP,54,50085,80,,,,
32,1722724555.570894000,2.17.197.240,10.0.3.15,TCP,1502,80,50086,,,,
33,1722724555.594256000,10.0.3.15,2.17.197.249,TCP,54,50068,80,,,,
