"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.3.15","108.177.15.94","TCP","55","49776  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"2","0.000217","108.177.15.94","10.0.3.15","TCP","60","443  >  49776 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"3","0.012324","10.0.3.15","142.251.173.132","TCP","55","49836  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"4","0.012587","142.251.173.132","10.0.3.15","TCP","60","443  >  49836 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","0.062128","10.0.3.15","74.125.71.94","TCP","55","49798  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"6","0.062428","74.125.71.94","10.0.3.15","TCP","60","443  >  49798 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"7","0.264180","10.0.3.15","74.125.133.139","TCP","55","49842  >  443 [ACK] Seq=1 Ack=1 Win=63016 Len=1 [TCP segment of a reassembled PDU]"
"8","0.264383","74.125.133.139","10.0.3.15","TCP","60","443  >  49842 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"9","0.357338","10.0.3.15","74.125.133.94","TCP","55","49775  >  443 [ACK] Seq=1 Ack=1 Win=63175 Len=1 [TCP segment of a reassembled PDU]"
"10","0.357590","74.125.133.94","10.0.3.15","TCP","60","443  >  49775 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"11","0.837302","10.0.3.15","104.68.83.150","TCP","55","49844  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"12","0.837598","104.68.83.150","10.0.3.15","TCP","60","443  >  49844 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"13","1.075114","10.0.3.15","192.229.221.95","TCP","54","49678  >  80 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"14","1.075339","10.0.3.15","142.251.168.102","TCP","55","49782  >  443 [ACK] Seq=1 Ack=1 Win=64114 Len=1 [TCP segment of a reassembled PDU]"
"15","1.075616","142.251.168.102","10.0.3.15","TCP","60","443  >  49782 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"16","1.205642","10.0.3.15","108.177.15.91","TCP","55","49801  >  443 [ACK] Seq=1 Ack=1 Win=63298 Len=1 [TCP segment of a reassembled PDU]"
"17","1.205854","108.177.15.91","10.0.3.15","TCP","60","443  >  49801 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"18","1.238377","10.0.3.15","104.90.25.175","TCP","55","49846  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"19","1.238577","104.90.25.175","10.0.3.15","TCP","60","443  >  49846 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"20","1.239857","10.0.3.15","2.17.107.75","TCP","55","49847  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"21","1.239941","2.17.107.75","10.0.3.15","TCP","60","443  >  49847 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
