,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1722723863.835895000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,,,,,
1,1722723863.836202000,192.168.56.101,192.168.56.102,TCP,60,80,49731,,,,,,,,
2,1722723863.843393000,192.168.56.102,192.168.56.101,HTTP,629,49732,80,GET,,/page.html,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",,,
3,1722723863.843994000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
4,1722723863.844423000,192.168.56.102,192.168.56.101,TCP,66,49745,80,,,,,,,,
5,1722723863.844610000,192.168.56.101,192.168.56.102,TCP,66,80,49745,,,,,,,,
6,1722723863.844743000,192.168.56.102,192.168.56.101,TCP,54,49745,80,,,,,,,,
7,1722723863.845218000,192.168.56.101,192.168.56.102,HTTP,302,80,49732,,304,,,,,,
8,1722723863.901969000,192.168.56.102,192.168.56.101,TCP,54,49732,80,,,,,,,,
9,1722723868.846102000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
10,1722723868.846152000,192.168.56.102,192.168.56.101,TCP,54,49732,80,,,,,,,,
