"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","55","49675  >  80 [ACK] Seq=1 Ack=1 Win=1026 Len=1"
"2","0.000262","192.168.56.101","192.168.56.102","TCP","60","80  >  49675 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"3","1.984543","192.168.56.102","192.168.56.101","TCP","66","49678  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","1.984811","192.168.56.101","192.168.56.102","TCP","60","443  >  49678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","2.488289","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49678  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","2.488563","192.168.56.101","192.168.56.102","TCP","60","443  >  49678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","2.990662","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49678  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","2.990888","192.168.56.101","192.168.56.102","TCP","60","443  >  49678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","3.497736","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49678  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","3.498028","192.168.56.101","192.168.56.102","TCP","60","443  >  49678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","4.006879","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49678  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","4.007198","192.168.56.101","192.168.56.102","TCP","60","443  >  49678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","4.010662","192.168.56.102","192.168.56.101","TCP","66","49679  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","4.010916","192.168.56.101","192.168.56.102","TCP","66","80  >  49679 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"15","4.010963","192.168.56.102","192.168.56.101","TCP","54","49679  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
