,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722422987.655623000,192.168.56.102,192.168.56.101,TCP,66,49723,443,,,,
1,1722422987.655842000,192.168.56.101,192.168.56.102,TCP,60,443,49723,,,,
2,1722422988.175609000,192.168.56.102,192.168.56.101,TCP,66,49723,443,,,,
3,1722422988.175801000,192.168.56.101,192.168.56.102,TCP,60,443,49723,,,,
4,1722422988.676052000,192.168.56.102,192.168.56.101,TCP,66,49723,443,,,,
5,1722422988.676285000,192.168.56.101,192.168.56.102,TCP,60,443,49723,,,,
6,1722422989.180206000,192.168.56.102,192.168.56.101,TCP,66,49723,443,,,,
7,1722422989.180551000,192.168.56.101,192.168.56.102,TCP,60,443,49723,,,,
8,1722422989.682908000,192.168.56.102,192.168.56.101,TCP,66,49723,443,,,,
9,1722422989.684263000,192.168.56.101,192.168.56.102,TCP,60,443,49723,,,,
10,1722422989.688179000,192.168.56.102,192.168.56.101,TCP,66,49724,80,,,,
11,1722422989.688390000,192.168.56.101,192.168.56.102,TCP,66,80,49724,,,,
12,1722422989.688449000,192.168.56.102,192.168.56.101,TCP,54,49724,80,,,,
13,1722422989.688762000,192.168.56.102,192.168.56.101,HTTP,864,49724,80,POST,/api.html?rz=975374w45&s=h94528315,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
14,1722422989.688916000,192.168.56.101,192.168.56.102,TCP,60,80,49724,,,,
15,1722422989.690317000,192.168.56.101,192.168.56.102,HTTP,454,80,49724,,,,
16,1722422989.690988000,192.168.56.102,192.168.56.101,TCP,54,49724,80,,,,
17,1722422989.691191000,192.168.56.101,192.168.56.102,TCP,60,80,49724,,,,
18,1722422989.691230000,192.168.56.102,192.168.56.101,TCP,54,49724,80,,,,
19,1722422989.693396000,192.168.56.102,192.168.56.101,TCP,66,49725,80,,,,
20,1722422989.693682000,192.168.56.101,192.168.56.102,TCP,66,80,49725,,,,
21,1722422989.693762000,192.168.56.102,192.168.56.101,TCP,54,49725,80,,,,
22,1722422989.694159000,192.168.56.102,192.168.56.101,HTTP,526,49725,80,GET,/bootstrap.js?w=46p9162n81,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
23,1722422989.694378000,192.168.56.101,192.168.56.102,TCP,60,80,49725,,,,
24,1722422989.702331000,192.168.56.102,192.168.56.101,TCP,66,49726,80,,,,
25,1722422989.702535000,192.168.56.101,192.168.56.102,TCP,66,80,49726,,,,
26,1722422989.702589000,192.168.56.102,192.168.56.101,TCP,54,49726,80,,,,
27,1722422989.702768000,192.168.56.102,192.168.56.101,HTTP,760,49726,80,POST,/authenticate/api.php?f=6r7994158,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
28,1722422989.702897000,192.168.56.101,192.168.56.102,TCP,60,80,49726,,,,
29,1722422989.703208000,192.168.56.101,192.168.56.102,HTTP,135,80,49726,,,,
30,1722422989.714123000,192.168.56.102,192.168.56.101,TCP,54,49726,80,,,,
31,1722422989.714550000,192.168.56.101,192.168.56.102,TCP,60,80,49726,,,,
32,1722422989.714647000,192.168.56.102,192.168.56.101,TCP,54,49726,80,,,,
33,1722422991.527682000,192.168.56.101,192.168.56.102,HTTP,118,80,49725,,,,
34,1722422991.528065000,192.168.56.102,192.168.56.101,TCP,54,49725,80,,,,
35,1722422991.528413000,192.168.56.102,192.168.56.101,TCP,66,49727,80,,,,
36,1722422991.528453000,192.168.56.101,192.168.56.102,TCP,60,80,49725,,,,
37,1722422991.528478000,192.168.56.102,192.168.56.101,TCP,54,49725,80,,,,
38,1722422991.528616000,192.168.56.101,192.168.56.102,TCP,66,80,49727,,,,
39,1722422991.528665000,192.168.56.102,192.168.56.101,TCP,54,49727,80,,,,
40,1722422991.528849000,192.168.56.102,192.168.56.101,HTTP,552,49727,80,GET,/assets/jscript/jscript/bootstrap.min.js?r=i92482416,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
41,1722422991.529012000,192.168.56.101,192.168.56.102,TCP,60,80,49727,,,,
42,1722422993.430716000,192.168.56.101,192.168.56.102,HTTP,118,80,49727,,,,
43,1722422993.431023000,192.168.56.102,192.168.56.101,TCP,54,49727,80,,,,
44,1722422993.431319000,192.168.56.101,192.168.56.102,TCP,60,80,49727,,,,
45,1722422993.431345000,192.168.56.102,192.168.56.101,TCP,54,49727,80,,,,
46,1722422993.431477000,192.168.56.102,192.168.56.101,TCP,66,49728,80,,,,
47,1722422993.431679000,192.168.56.101,192.168.56.102,TCP,66,80,49728,,,,
48,1722422993.431717000,192.168.56.102,192.168.56.101,TCP,54,49728,80,,,,
49,1722422993.431887000,192.168.56.102,192.168.56.101,HTTP,520,49728,80,GET,/route.js?h=5834f329,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
50,1722422993.432069000,192.168.56.101,192.168.56.102,TCP,60,80,49728,,,,
51,1722422995.861490000,192.168.56.101,192.168.56.102,HTTP,118,80,49728,,,,
52,1722422995.861825000,192.168.56.102,192.168.56.101,TCP,54,49728,80,,,,
53,1722422995.862298000,192.168.56.101,192.168.56.102,TCP,60,80,49728,,,,
54,1722422995.862378000,192.168.56.102,192.168.56.101,TCP,54,49728,80,,,,
55,1722422995.862516000,192.168.56.102,192.168.56.101,TCP,66,49729,80,,,,
56,1722422995.862812000,192.168.56.101,192.168.56.102,TCP,66,80,49729,,,,
57,1722422995.862869000,192.168.56.102,192.168.56.101,TCP,54,49729,80,,,,
58,1722422995.863092000,192.168.56.102,192.168.56.101,HTTP,572,49729,80,GET,/js/assets/jscript/assets/javascripts/javascripts/script.js?m=591852md41,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
59,1722422995.863349000,192.168.56.101,192.168.56.102,TCP,60,80,49729,,,,
60,1722422997.129382000,192.168.56.101,192.168.56.102,HTTP,118,80,49729,,,,
61,1722422997.129690000,192.168.56.102,192.168.56.101,TCP,54,49729,80,,,,
62,1722422997.130010000,192.168.56.101,192.168.56.102,TCP,60,80,49729,,,,
63,1722422997.130035000,192.168.56.102,192.168.56.101,TCP,54,49729,80,,,,
64,1722422997.130199000,192.168.56.102,192.168.56.101,TCP,66,49730,80,,,,
65,1722422997.130457000,192.168.56.101,192.168.56.102,TCP,66,80,49730,,,,
66,1722422997.130502000,192.168.56.102,192.168.56.101,TCP,54,49730,80,,,,
67,1722422997.130761000,192.168.56.102,192.168.56.101,HTTP,520,49730,80,GET,/email.js?i=35443590,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
68,1722422997.130946000,192.168.56.101,192.168.56.102,TCP,60,80,49730,,,,
69,1722422998.367927000,192.168.56.101,192.168.56.102,HTTP,118,80,49730,,,,
70,1722422998.368197000,192.168.56.102,192.168.56.101,TCP,54,49730,80,,,,
71,1722422998.368516000,192.168.56.102,192.168.56.101,TCP,66,49731,80,,,,
72,1722422998.368529000,192.168.56.101,192.168.56.102,TCP,60,80,49730,,,,
73,1722422998.368575000,192.168.56.102,192.168.56.101,TCP,54,49730,80,,,,
74,1722422998.368791000,192.168.56.101,192.168.56.102,TCP,66,80,49731,,,,
75,1722422998.368839000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
76,1722422998.369034000,192.168.56.102,192.168.56.101,HTTP,569,49731,80,GET,/jscript/javascript/bundle/javascript/assets/jquery.min.js?k=58472297,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
77,1722422998.369295000,192.168.56.101,192.168.56.102,TCP,60,80,49731,,,,
78,1722423000.143381000,192.168.56.101,192.168.56.102,HTTP,118,80,49731,,,,
79,1722423000.143667000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
80,1722423000.144024000,192.168.56.101,192.168.56.102,TCP,60,80,49731,,,,
81,1722423000.144042000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
82,1722423000.144079000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
83,1722423000.144346000,192.168.56.101,192.168.56.102,TCP,66,80,49732,,,,
84,1722423000.144401000,192.168.56.102,192.168.56.101,TCP,54,49732,80,,,,
