"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","1.002284","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"3","4.338941","192.168.56.102","192.168.56.101","TCP","66","49683  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","4.339163","192.168.56.101","192.168.56.102","TCP","66","8888  >  49683 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"5","4.339204","192.168.56.102","192.168.56.101","TCP","54","49683  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"6","4.339395","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"7","4.339531","192.168.56.101","192.168.56.102","TCP","60","8888  >  49683 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"8","4.340076","192.168.56.101","192.168.56.102","TLSv1.3","928","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","4.358118","192.168.56.102","192.168.56.101","TLSv1.3","819","Change Cipher Spec, Application Data, Application Data, Application Data"
"10","4.362565","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"11","4.362600","192.168.56.102","192.168.56.101","TLSv1.3","457","Application Data"
"12","4.364064","192.168.56.101","192.168.56.102","TCP","60","8888  >  49683 [ACK] Seq=875 Ack=1434 Win=31872 Len=0"
"13","9.588509","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"14","9.588530","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"15","19.375287","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49683  >  8888 [ACK] Seq=1433 Ack=875 Win=261888 Len=1"
"16","19.375545","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49683 [ACK] Seq=875 Ack=1434 Win=31872 Len=0 SLE=1433 SRE=1434"
"17","26.413167","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"18","26.413563","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"19","26.414960","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"20","26.415502","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"21","27.409730","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"22","27.409874","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"23","27.410056","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"24","27.410143","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"25","34.390852","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49683  >  8888 [ACK] Seq=1433 Ack=875 Win=261888 Len=1"
"26","34.391101","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49683 [ACK] Seq=875 Ack=1434 Win=31872 Len=0 SLE=1433 SRE=1434"
