,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1722788307.313115000,10.0.3.15,151.101.10.172,TCP,54,49991,80,,,,,
1,1722788307.313204000,10.0.3.15,151.101.10.172,TCP,54,49985,80,,,,,
2,1722788307.363449000,10.0.3.15,151.101.10.172,TCP,54,49987,80,,,,,
3,1722788307.363604000,10.0.3.15,151.101.10.172,TCP,54,49990,80,,,,,
4,1722788307.718919000,10.0.3.15,151.101.10.172,TCP,54,49989,80,,,,,
5,1722788309.117381000,10.0.3.15,74.125.133.104,UDP,308,65510,443,,,,,
6,1722788309.137370000,74.125.133.104,10.0.3.15,UDP,292,443,65510,,,,,
7,1722788309.137370000,74.125.133.104,10.0.3.15,UDP,65,443,65510,,,,,
8,1722788309.137706000,10.0.3.15,74.125.133.104,UDP,80,65510,443,,,,,
9,1722788309.147112000,10.0.3.15,74.125.133.104,UDP,75,65510,443,,,,,
10,1722788309.156218000,74.125.133.104,10.0.3.15,UDP,68,443,65510,,,,,
11,1722788309.578652000,10.0.3.15,2.17.197.81,HTTPS,55,49882,443,,,,,
12,1722788309.578845000,2.17.197.81,10.0.3.15,HTTPS,60,443,49882,,,,,
13,1722788309.738721000,10.0.3.15,20.50.73.11,HTTPS,55,50087,443,,,,,
14,1722788309.738962000,20.50.73.11,10.0.3.15,HTTPS,60,443,50087,,,,,
15,1722788309.996108000,10.0.3.15,2.17.107.24,HTTPS,55,50089,443,,,,,
16,1722788309.996352000,2.17.107.24,10.0.3.15,HTTPS,60,443,50089,,,,,
17,1722788310.075527000,10.0.3.15,10.0.3.3,UDP,96,57585,53,,,,,
18,1722788310.075648000,10.0.3.15,10.0.3.3,UDP,96,56926,53,,,,,
19,1722788310.075889000,10.0.3.15,13.69.116.108,HTTPS,138,49979,443,,,,,
20,1722788310.075924000,10.0.3.15,13.69.116.108,HTTPS,93,49979,443,,,,,
21,1722788310.075940000,10.0.3.15,13.69.116.108,HTTPS,859,49979,443,,,,,
22,1722788310.076040000,13.69.116.108,10.0.3.15,HTTPS,60,443,49979,,,,,
23,1722788310.076040000,13.69.116.108,10.0.3.15,HTTPS,60,443,49979,,,,,
24,1722788310.076040000,13.69.116.108,10.0.3.15,HTTPS,60,443,49979,,,,,
25,1722788310.093533000,13.69.116.108,10.0.3.15,HTTPS,93,443,49979,,,,,
26,1722788310.093868000,13.69.116.108,10.0.3.15,HTTPS,86,443,49979,,,,,
27,1722788310.093912000,10.0.3.15,13.69.116.108,HTTPS,54,49979,443,,,,,
28,1722788310.094674000,10.0.3.3,10.0.3.15,UDP,223,53,57585,,,,,
29,1722788310.112760000,13.69.116.108,10.0.3.15,HTTPS,153,443,49979,,,,,
30,1722788310.113344000,10.0.3.15,13.69.116.108,HTTPS,89,49979,443,,,,,
31,1722788310.113497000,13.69.116.108,10.0.3.15,HTTPS,60,443,49979,,,,,
32,1722788310.115775000,10.0.3.3,10.0.3.15,UDP,319,53,56926,,,,,
33,1722788310.318571000,10.0.3.15,104.68.65.75,HTTPS,55,50088,443,,,,,
34,1722788310.318822000,104.68.65.75,10.0.3.15,HTTPS,60,443,50088,,,,,
35,1722788311.163412000,10.0.3.15,104.68.83.102,HTTPS,54,49981,443,,,,,
36,1722788311.163473000,10.0.3.15,104.68.83.102,HTTPS,54,49982,443,,,,,
37,1722788311.163496000,10.0.3.15,104.68.83.102,HTTPS,54,49986,443,,,,,
38,1722788311.163516000,10.0.3.15,104.68.83.102,HTTPS,54,50060,443,,,,,
39,1722788311.163539000,10.0.3.15,104.68.70.238,HTTPS,54,49980,443,,,,,
40,1722788311.163557000,10.0.3.15,93.184.221.240,TCP,54,49983,80,,,,,
41,1722788311.163575000,10.0.3.15,93.184.221.240,TCP,54,49984,80,,,,,
42,1722788311.163604000,10.0.3.15,93.184.221.240,TCP,54,49988,80,,,,,
43,1722788311.163623000,10.0.3.15,93.184.221.240,TCP,54,50061,80,,,,,
44,1722788311.163647000,104.68.83.102,10.0.3.15,HTTPS,60,443,49981,,,,,
45,1722788311.163647000,104.68.83.102,10.0.3.15,HTTPS,60,443,49982,,,,,
46,1722788311.163647000,104.68.83.102,10.0.3.15,HTTPS,60,443,49986,,,,,
47,1722788311.163765000,104.68.83.102,10.0.3.15,HTTPS,60,443,50060,,,,,
48,1722788311.163765000,104.68.70.238,10.0.3.15,HTTPS,60,443,49980,,,,,
49,1722788311.163765000,93.184.221.240,10.0.3.15,TCP,60,80,49983,,,,,
50,1722788311.163765000,93.184.221.240,10.0.3.15,TCP,60,80,49984,,,,,
51,1722788311.163765000,93.184.221.240,10.0.3.15,TCP,60,80,49988,,,,,
52,1722788311.163765000,93.184.221.240,10.0.3.15,TCP,60,80,50061,,,,,
53,1722788311.458762000,10.0.3.15,204.79.197.203,HTTPS,55,49878,443,,,,,
54,1722788311.458994000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,
55,1722788311.757144000,10.0.3.15,13.107.21.239,HTTPS,55,49873,443,,,,,
56,1722788311.757173000,10.0.3.15,13.107.246.67,HTTPS,55,49876,443,,,,,
57,1722788311.757399000,13.107.21.239,10.0.3.15,HTTPS,60,443,49873,,,,,
58,1722788311.757399000,13.107.246.67,10.0.3.15,HTTPS,60,443,49876,,,,,
59,1722788311.788424000,10.0.3.15,20.31.169.57,HTTPS,55,49875,443,,,,,
60,1722788311.788599000,20.31.169.57,10.0.3.15,HTTPS,60,443,49875,,,,,
61,1722788313.325906000,10.0.3.15,10.0.3.3,UDP,72,55437,53,,,,,
62,1722788313.326168000,10.0.3.15,10.0.3.3,UDP,72,52540,53,,,,,
63,1722788313.345943000,10.0.3.3,10.0.3.15,UDP,553,53,55437,,,,,
64,1722788313.358202000,10.0.3.15,88.221.83.208,UDP,1292,50859,443,,,,,
65,1722788313.358295000,10.0.3.15,88.221.83.208,UDP,1292,50859,443,,,,,
66,1722788313.370420000,10.0.3.3,10.0.3.15,UDP,290,53,52540,,,,,
67,1722788313.379057000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
68,1722788313.384343000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
69,1722788313.384343000,88.221.83.208,10.0.3.15,UDP,297,443,50859,,,,,
70,1722788313.384805000,10.0.3.15,88.221.83.208,UDP,209,50859,443,,,,,
71,1722788313.384963000,10.0.3.15,13.107.246.67,HTTPS,54,50102,443,,,,,
72,1722788313.384979000,10.0.3.15,13.107.246.67,HTTPS,54,50102,443,,,,,
73,1722788313.385083000,13.107.246.67,10.0.3.15,HTTPS,60,443,50102,,,,,
74,1722788313.385094000,10.0.3.15,13.107.246.67,HTTPS,54,50097,443,,,,,
75,1722788313.385114000,10.0.3.15,13.107.246.67,HTTPS,54,50097,443,,,,,
76,1722788313.385212000,10.0.3.15,204.79.197.239,HTTPS,54,50098,443,,,,,
77,1722788313.385229000,13.107.246.67,10.0.3.15,HTTPS,60,443,50097,,,,,
78,1722788313.385310000,204.79.197.239,10.0.3.15,HTTPS,60,443,50098,,,,,
79,1722788313.385467000,10.0.3.15,88.221.83.208,HTTPS,66,50149,443,,,,,
80,1722788313.385644000,10.0.3.15,88.221.83.208,UDP,960,50859,443,,,,,
81,1722788313.402087000,88.221.83.208,10.0.3.15,UDP,329,443,50859,,,,,
82,1722788313.402258000,88.221.83.208,10.0.3.15,UDP,104,443,50859,,,,,
83,1722788313.402258000,88.221.83.208,10.0.3.15,UDP,63,443,50859,,,,,
84,1722788313.402560000,10.0.3.15,88.221.83.208,UDP,74,50859,443,,,,,
85,1722788313.407390000,204.79.197.239,10.0.3.15,HTTPS,60,443,50098,,,,,
86,1722788313.407505000,88.221.83.208,10.0.3.15,HTTPS,60,443,50149,,,,,
87,1722788313.407505000,88.221.83.208,10.0.3.15,UDP,65,443,50859,,,,,
88,1722788313.407551000,10.0.3.15,88.221.83.208,HTTPS,54,50149,443,,,,,
89,1722788313.408010000,10.0.3.15,88.221.83.208,HTTPS,2143,50149,443,,,,,
90,1722788313.408142000,88.221.83.208,10.0.3.15,HTTPS,60,443,50149,,,,,
91,1722788313.408142000,88.221.83.208,10.0.3.15,HTTPS,60,443,50149,,,,,
92,1722788313.429095000,88.221.83.208,10.0.3.15,HTTPS,318,443,50149,,,,,
93,1722788313.429910000,10.0.3.15,88.221.83.208,HTTPS,134,50149,443,,,,,
94,1722788313.430258000,88.221.83.208,10.0.3.15,HTTPS,60,443,50149,,,,,
95,1722788313.430301000,10.0.3.15,88.221.83.208,UDP,74,50859,443,,,,,
96,1722788313.445667000,88.221.83.208,10.0.3.15,HTTPS,341,443,50149,,,,,
97,1722788313.463597000,10.0.3.15,88.221.83.208,UDP,72,50859,443,,,,,
98,1722788313.463700000,10.0.3.15,88.221.83.208,UDP,78,50859,443,,,,,
99,1722788313.464448000,10.0.3.15,88.221.83.208,UDP,981,50859,443,,,,,
100,1722788313.469107000,88.221.83.208,10.0.3.15,UDP,1040,443,50859,,,,,
101,1722788313.469107000,88.221.83.208,10.0.3.15,UDP,900,443,50859,,,,,
102,1722788313.469198000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
103,1722788313.469315000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
104,1722788313.489133000,10.0.3.15,88.221.83.208,HTTPS,54,50149,443,,,,,
105,1722788313.490878000,88.221.83.208,10.0.3.15,UDP,66,443,50859,,,,,
106,1722788313.490878000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
107,1722788313.491174000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
108,1722788313.551567000,88.221.83.208,10.0.3.15,UDP,387,443,50859,,,,,
109,1722788313.551682000,88.221.83.208,10.0.3.15,UDP,987,443,50859,,,,,
110,1722788313.551682000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
111,1722788313.551860000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
112,1722788313.551983000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
113,1722788313.554957000,10.0.3.15,88.221.83.208,UDP,201,50859,443,,,,,
114,1722788313.555106000,10.0.3.15,88.221.83.208,UDP,179,50859,443,,,,,
115,1722788313.555256000,10.0.3.15,88.221.83.208,UDP,179,50859,443,,,,,
116,1722788313.555392000,10.0.3.15,88.221.83.208,UDP,179,50859,443,,,,,
117,1722788313.574425000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
118,1722788313.574533000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
119,1722788313.574533000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
120,1722788313.574533000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
121,1722788313.574747000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
122,1722788313.574859000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
123,1722788313.594621000,88.221.83.208,10.0.3.15,UDP,347,443,50859,,,,,
124,1722788313.594781000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
125,1722788313.594781000,88.221.83.208,10.0.3.15,UDP,595,443,50859,,,,,
126,1722788313.594841000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
127,1722788313.594924000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
128,1722788313.594989000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
129,1722788313.595631000,88.221.83.208,10.0.3.15,UDP,116,443,50859,,,,,
130,1722788313.595735000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
131,1722788313.595880000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
132,1722788313.595971000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
133,1722788313.596078000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
134,1722788313.596174000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
135,1722788313.596203000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
136,1722788313.596247000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
137,1722788313.596258000,88.221.83.208,10.0.3.15,UDP,420,443,50859,,,,,
138,1722788313.596258000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
139,1722788313.596258000,88.221.83.208,10.0.3.15,UDP,115,443,50859,,,,,
140,1722788313.596462000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
141,1722788313.596520000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
142,1722788313.596788000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
143,1722788313.597007000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
144,1722788313.597062000,88.221.83.208,10.0.3.15,UDP,1088,443,50859,,,,,
145,1722788313.597080000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
146,1722788313.598230000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
147,1722788313.598345000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
148,1722788313.598390000,88.221.83.208,10.0.3.15,UDP,819,443,50859,,,,,
149,1722788313.598458000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
150,1722788313.598503000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
151,1722788313.610253000,88.221.83.208,10.0.3.15,UDP,65,443,50859,,,,,
152,1722788313.618912000,88.221.83.208,10.0.3.15,UDP,65,443,50859,,,,,
153,1722788313.805918000,10.0.3.15,88.221.83.208,UDP,205,50859,443,,,,,
154,1722788313.820415000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
155,1722788313.849287000,10.0.3.15,88.221.83.208,UDP,74,50859,443,,,,,
156,1722788313.883620000,88.221.83.208,10.0.3.15,UDP,507,443,50859,,,,,
157,1722788313.883620000,88.221.83.208,10.0.3.15,UDP,703,443,50859,,,,,
158,1722788313.883620000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
159,1722788313.883992000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
160,1722788313.884101000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
161,1722788313.889703000,10.0.3.15,88.221.83.208,UDP,191,50859,443,,,,,
162,1722788313.889881000,10.0.3.15,88.221.83.208,UDP,179,50859,443,,,,,
163,1722788313.889955000,10.0.3.15,88.221.83.208,UDP,179,50859,443,,,,,
164,1722788313.905778000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
165,1722788313.905778000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
166,1722788313.905893000,88.221.83.208,10.0.3.15,UDP,69,443,50859,,,,,
167,1722788313.906146000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
168,1722788313.932919000,10.0.3.15,88.221.83.208,UDP,74,50859,443,,,,,
169,1722788313.945935000,10.0.3.15,88.221.83.208,UDP,206,50859,443,,,,,
170,1722788313.953296000,88.221.83.208,10.0.3.15,UDP,116,443,50859,,,,,
171,1722788313.953533000,10.0.3.15,88.221.83.208,UDP,77,50859,443,,,,,
172,1722788313.953564000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
173,1722788313.954522000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
174,1722788313.954616000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
175,1722788313.954626000,88.221.83.208,10.0.3.15,UDP,1292,443,50859,,,,,
176,1722788313.954696000,88.221.83.208,10.0.3.15,UDP,157,443,50859,,,,,
177,1722788313.954696000,88.221.83.208,10.0.3.15,UDP,64,443,50859,,,,,
178,1722788313.954763000,10.0.3.15,88.221.83.208,UDP,73,50859,443,,,,,
