,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722723630.395793000,0,0,,42,0,0,,,,
1,1722723630.396223000,0,0,,60,0,0,,,,
2,1722723630.396238000,192.168.56.102,192.168.56.101,TCP,66,49673,80,,,,
3,1722723630.396471000,192.168.56.101,192.168.56.102,TCP,66,80,49673,,,,
4,1722723630.396531000,192.168.56.102,192.168.56.101,TCP,54,49673,80,,,,
5,1722723630.411077000,192.168.56.102,192.168.56.101,TCP,66,49674,80,,,,
6,1722723630.411352000,192.168.56.101,192.168.56.102,TCP,66,80,49674,,,,
7,1722723630.411411000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
8,1722723630.422626000,192.168.56.102,192.168.56.101,HTTP,520,49673,80,GET,/message.txt,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
9,1722723630.423021000,192.168.56.101,192.168.56.102,TCP,60,80,49673,,,,
10,1722723630.423725000,192.168.56.101,192.168.56.102,HTTP,405,80,49673,,,,
11,1722723630.469128000,192.168.56.102,192.168.56.101,TCP,54,49673,80,,,,
12,1722723630.495608000,192.168.56.102,192.168.56.101,HTTP,463,49673,80,GET,/favicon.ico,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
13,1722723630.496428000,192.168.56.101,192.168.56.102,HTTP,546,80,49673,,,,
14,1722723630.547954000,192.168.56.102,192.168.56.101,TCP,54,49673,80,,,,
15,1722723635.499400000,192.168.56.101,192.168.56.102,TCP,60,80,49673,,,,
16,1722723635.499447000,192.168.56.102,192.168.56.101,TCP,54,49673,80,,,,
17,1722723640.187889000,fe80::a3a5:d549:98af:516d,ff02::2,,62,0,0,,,,
18,1722723648.976147000,192.168.56.102,192.168.56.101,TCP,54,49673,80,,,,
19,1722723648.976444000,192.168.56.101,192.168.56.102,TCP,60,80,49673,,,,
20,1722723661.844996000,192.168.56.101,192.168.56.102,TCP,66,80,49674,,,,
21,1722723661.845030000,192.168.56.102,192.168.56.101,TCP,66,49674,80,,,,
22,1722723662.678041000,192.168.56.102,239.255.255.250,UDP,217,58610,1900,,,,
23,1722723663.679851000,192.168.56.102,239.255.255.250,UDP,217,58610,1900,,,,
24,1722723664.688467000,192.168.56.102,239.255.255.250,UDP,217,58610,1900,,,,
25,1722723665.693676000,192.168.56.102,239.255.255.250,UDP,217,58610,1900,,,,
26,1722723675.427148000,192.168.56.102,192.168.56.101,TCP,55,49674,80,,,,
27,1722723675.427387000,192.168.56.101,192.168.56.102,TCP,66,80,49674,,,,
28,1722723680.523578000,0,0,,60,0,0,,,,
29,1722723680.523605000,0,0,,42,0,0,,,,
30,1722723681.858474000,192.168.56.101,192.168.56.102,TCP,60,80,49674,,,,
31,1722723681.858518000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
32,1722723696.674095000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
33,1722723696.674363000,192.168.56.101,192.168.56.102,TCP,60,80,49674,,,,
34,1722723698.263592000,0,0,,60,0,0,,,,
35,1722723707.017471000,0,0,,42,0,0,,,,
36,1722723707.017683000,0,0,,60,0,0,,,,
37,1722723707.017701000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,
38,1722723707.019767000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,
39,1722723707.028468000,192.168.56.102,224.0.0.22,,54,0,0,,,,
40,1722723707.028481000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,
41,1722723707.032229000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,
42,1722723707.032399000,192.168.56.102,224.0.0.22,,54,0,0,,,,
43,1722723707.032626000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,
44,1722723707.032652000,192.168.56.102,224.0.0.22,,54,0,0,,,,
45,1722723707.033824000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,
46,1722723707.033888000,192.168.56.102,224.0.0.22,,54,0,0,,,,
47,1722723707.034593000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,
48,1722723707.034748000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,
49,1722723707.034960000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,
50,1722723707.035151000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,
51,1722723707.035324000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,62775,5355,,,,
52,1722723707.035398000,192.168.56.102,224.0.0.252,UDP,74,62775,5355,,,,
53,1722723707.489043000,192.168.56.102,224.0.0.22,,54,0,0,,,,
54,1722723707.489089000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,
