,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1720702991.746187000,192.168.56.102,192.168.56.101,HTTPS,66,49971,443,,,,,
1,1720702991.746435000,192.168.56.101,192.168.56.102,HTTPS,60,443,49971,,,,,
2,1720702992.258971000,192.168.56.102,192.168.56.101,HTTPS,66,49971,443,,,,,
3,1720702992.259217000,192.168.56.101,192.168.56.102,HTTPS,60,443,49971,,,,,
4,1720702992.262672000,192.168.56.102,192.168.56.101,TCP,66,49972,80,,,,,
5,1720702992.262903000,192.168.56.101,192.168.56.102,TCP,60,80,49972,,,,,
6,1720702992.768212000,192.168.56.102,192.168.56.101,TCP,66,49972,80,,,,,
7,1720702992.768509000,192.168.56.101,192.168.56.102,TCP,60,80,49972,,,,,
8,1720702993.281227000,192.168.56.102,192.168.56.101,TCP,66,49972,80,,,,,
9,1720702993.281517000,192.168.56.101,192.168.56.102,TCP,60,80,49972,,,,,
10,1720702993.792992000,192.168.56.102,192.168.56.101,TCP,66,49972,80,,,,,
11,1720702993.793290000,192.168.56.101,192.168.56.102,TCP,60,80,49972,,,,,
12,1720702994.300276000,192.168.56.102,192.168.56.101,TCP,66,49972,80,,,,,
13,1720702994.300607000,192.168.56.101,192.168.56.102,TCP,60,80,49972,,,,,
14,1720702995.209923000,0,0,,42,0,0,,,,,
15,1720702995.210127000,0,0,,60,0,0,,,,,
16,1720702995.320543000,0,0,,60,0,0,,,,,
17,1720702995.320558000,0,0,,42,0,0,,,,,
18,1720703054.308427000,192.168.56.102,192.168.56.101,HTTPS,66,49973,443,,,,,
19,1720703054.308664000,192.168.56.101,192.168.56.102,HTTPS,66,443,49973,,,,,
20,1720703054.308717000,192.168.56.102,192.168.56.101,HTTPS,54,49973,443,,,,,
21,1720703054.309043000,192.168.56.102,192.168.56.101,HTTPS,293,49973,443,,,,,
22,1720703054.309214000,192.168.56.101,192.168.56.102,HTTPS,60,443,49973,,,,,
23,1720703054.320808000,192.168.56.101,192.168.56.102,HTTPS,1514,443,49973,,,,,
24,1720703054.320808000,192.168.56.101,192.168.56.102,HTTPS,325,443,49973,,,,,
25,1720703054.320863000,192.168.56.102,192.168.56.101,HTTPS,54,49973,443,,,,,
26,1720703054.322060000,192.168.56.102,192.168.56.101,HTTPS,118,49973,443,,,,,
27,1720703054.322166000,192.168.56.102,192.168.56.101,HTTPS,723,49973,443,,,,,
28,1720703054.322308000,192.168.56.101,192.168.56.102,HTTPS,60,443,49973,,,,,
29,1720703054.323242000,192.168.56.101,192.168.56.102,HTTPS,457,443,49973,,,,,
30,1720703054.323657000,192.168.56.102,192.168.56.101,HTTPS,78,49973,443,,,,,
31,1720703054.323826000,192.168.56.101,192.168.56.102,HTTPS,78,443,49973,,,,,
32,1720703054.323878000,192.168.56.101,192.168.56.102,HTTPS,60,443,49973,,,,,
33,1720703054.323891000,192.168.56.102,192.168.56.101,HTTPS,54,49973,443,,,,,
34,1720703054.324078000,192.168.56.102,192.168.56.101,HTTPS,54,49973,443,,,,,
35,1720703054.324412000,192.168.56.102,192.168.56.101,HTTPS,66,49974,443,,,,,
36,1720703054.324541000,192.168.56.101,192.168.56.102,HTTPS,66,443,49974,,,,,
37,1720703054.324567000,192.168.56.102,192.168.56.101,HTTPS,54,49974,443,,,,,
38,1720703054.324781000,192.168.56.102,192.168.56.101,HTTPS,293,49974,443,,,,,
39,1720703054.324914000,192.168.56.101,192.168.56.102,HTTPS,60,443,49974,,,,,
40,1720703054.327935000,192.168.56.102,192.168.56.101,HTTPS,66,49975,443,,,,,
41,1720703054.328094000,192.168.56.101,192.168.56.102,HTTPS,66,443,49975,,,,,
42,1720703054.328132000,192.168.56.102,192.168.56.101,HTTPS,54,49975,443,,,,,
43,1720703054.328360000,192.168.56.102,192.168.56.101,HTTPS,293,49975,443,,,,,
44,1720703054.328483000,192.168.56.101,192.168.56.102,HTTPS,60,443,49975,,,,,
45,1720703054.333997000,192.168.56.101,192.168.56.102,HTTPS,1514,443,49974,,,,,
46,1720703054.333997000,192.168.56.101,192.168.56.102,HTTPS,325,443,49974,,,,,
47,1720703054.334028000,192.168.56.102,192.168.56.101,HTTPS,54,49974,443,,,,,
48,1720703054.335049000,192.168.56.102,192.168.56.101,HTTPS,118,49974,443,,,,,
49,1720703054.335117000,192.168.56.102,192.168.56.101,HTTPS,514,49974,443,,,,,
50,1720703054.335218000,192.168.56.101,192.168.56.102,HTTPS,60,443,49974,,,,,
51,1720703054.342409000,192.168.56.101,192.168.56.102,HTTPS,1514,443,49975,,,,,
52,1720703054.342409000,192.168.56.101,192.168.56.102,HTTPS,325,443,49975,,,,,
53,1720703054.342464000,192.168.56.102,192.168.56.101,HTTPS,54,49975,443,,,,,
54,1720703054.343877000,192.168.56.102,192.168.56.101,HTTPS,118,49975,443,,,,,
55,1720703054.343984000,192.168.56.102,192.168.56.101,HTTPS,877,49975,443,,,,,
56,1720703054.344132000,192.168.56.101,192.168.56.102,HTTPS,60,443,49975,,,,,
57,1720703054.344327000,192.168.56.101,192.168.56.102,HTTPS,157,443,49975,,,,,
58,1720703054.353504000,192.168.56.102,192.168.56.101,HTTPS,78,49975,443,,,,,
59,1720703054.353576000,192.168.56.102,192.168.56.101,HTTPS,54,49975,443,,,,,
60,1720703054.353705000,192.168.56.101,192.168.56.102,HTTPS,78,443,49975,,,,,
61,1720703054.353705000,192.168.56.101,192.168.56.102,HTTPS,60,443,49975,,,,,
62,1720703054.353730000,192.168.56.102,192.168.56.101,HTTPS,54,49975,443,,,,,
63,1720703054.353855000,192.168.56.101,192.168.56.102,HTTPS,60,443,49975,,,,,
64,1720703055.534546000,192.168.56.101,192.168.56.102,HTTPS,140,443,49974,,,,,
65,1720703055.534779000,192.168.56.102,192.168.56.101,HTTPS,78,49974,443,,,,,
66,1720703055.534848000,192.168.56.102,192.168.56.101,HTTPS,54,49974,443,,,,,
67,1720703055.535064000,192.168.56.101,192.168.56.102,HTTPS,78,443,49974,,,,,
68,1720703055.535064000,192.168.56.101,192.168.56.102,HTTPS,60,443,49974,,,,,
69,1720703055.535081000,192.168.56.102,192.168.56.101,HTTPS,66,49976,443,,,,,
70,1720703055.535095000,192.168.56.102,192.168.56.101,HTTPS,54,49974,443,,,,,
71,1720703055.535235000,192.168.56.101,192.168.56.102,HTTPS,66,443,49976,,,,,
72,1720703055.535285000,192.168.56.102,192.168.56.101,HTTPS,54,49976,443,,,,,
73,1720703055.535511000,192.168.56.102,192.168.56.101,HTTPS,293,49976,443,,,,,
74,1720703055.535713000,192.168.56.101,192.168.56.102,HTTPS,60,443,49976,,,,,
75,1720703055.545602000,192.168.56.101,192.168.56.102,HTTPS,1514,443,49976,,,,,
76,1720703055.545602000,192.168.56.101,192.168.56.102,HTTPS,325,443,49976,,,,,
77,1720703055.545640000,192.168.56.102,192.168.56.101,HTTPS,54,49976,443,,,,,
78,1720703055.546830000,192.168.56.102,192.168.56.101,HTTPS,118,49976,443,,,,,
79,1720703055.546890000,192.168.56.102,192.168.56.101,HTTPS,524,49976,443,,,,,
80,1720703055.547036000,192.168.56.101,192.168.56.102,HTTPS,60,443,49976,,,,,
81,1720703058.543045000,192.168.56.101,192.168.56.102,HTTPS,140,443,49976,,,,,
82,1720703058.543319000,192.168.56.102,192.168.56.101,HTTPS,78,49976,443,,,,,
83,1720703058.543424000,192.168.56.102,192.168.56.101,HTTPS,54,49976,443,,,,,
84,1720703058.543687000,192.168.56.101,192.168.56.102,HTTPS,78,443,49976,,,,,
85,1720703058.543687000,192.168.56.101,192.168.56.102,HTTPS,60,443,49976,,,,,
86,1720703058.543722000,192.168.56.102,192.168.56.101,HTTPS,54,49976,443,,,,,
87,1720703058.543752000,192.168.56.102,192.168.56.101,HTTPS,66,49977,443,,,,,
88,1720703058.543936000,192.168.56.101,192.168.56.102,HTTPS,66,443,49977,,,,,
89,1720703058.543985000,192.168.56.102,192.168.56.101,HTTPS,54,49977,443,,,,,
90,1720703058.544182000,192.168.56.102,192.168.56.101,HTTPS,293,49977,443,,,,,
91,1720703058.544406000,192.168.56.101,192.168.56.102,HTTPS,60,443,49977,,,,,
92,1720703058.556861000,192.168.56.101,192.168.56.102,HTTPS,1514,443,49977,,,,,
93,1720703058.556861000,192.168.56.101,192.168.56.102,HTTPS,325,443,49977,,,,,
