"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000218","192.168.56.101","192.168.56.102","TCP","60","443  >  49747 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.504750","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.505003","192.168.56.101","192.168.56.102","TCP","60","443  >  49747 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.018558","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.018892","192.168.56.101","192.168.56.102","TCP","60","443  >  49747 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.530755","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.531126","192.168.56.101","192.168.56.102","TCP","60","443  >  49747 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.042085","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.042366","192.168.56.101","192.168.56.102","TCP","60","443  >  49747 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.046075","192.168.56.102","192.168.56.101","TCP","66","49748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.046255","192.168.56.101","192.168.56.102","TCP","60","80  >  49748 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","2.556722","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","2.557125","192.168.56.101","192.168.56.102","TCP","60","80  >  49748 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","3.064170","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"16","3.064434","192.168.56.101","192.168.56.102","TCP","60","80  >  49748 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","3.577434","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"18","3.577700","192.168.56.101","192.168.56.102","TCP","60","80  >  49748 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","4.080751","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49748  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
