"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","88.221.83.216","10.0.3.15","UDP","108","443  >  62949 Len=66"
"2","0.785868","10.0.3.15","2.17.197.249","TCP","54","50197  >  80 [FIN, ACK] Seq=1 Ack=1 Win=62864 Len=0"
"3","0.786054","10.0.3.15","2.17.197.240","TCP","54","50198  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.786187","2.17.197.249","10.0.3.15","TCP","60","80  >  50197 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"5","0.786187","2.17.197.240","10.0.3.15","TCP","60","80  >  50198 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"6","0.802902","2.17.197.240","10.0.3.15","TCP","60","80  >  50198 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"7","0.802902","2.17.197.249","10.0.3.15","TCP","60","80  >  50197 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"8","0.802923","10.0.3.15","2.17.197.240","TCP","54","50198  >  80 [ACK] Seq=2 Ack=2 Win=64240 Len=0"
"9","0.802955","10.0.3.15","2.17.197.249","TCP","54","50197  >  80 [ACK] Seq=2 Ack=2 Win=62864 Len=0"
"10","1.590704","10.0.3.15","2.17.107.104","TLSv1.2","1025","Application Data"
"11","1.590802","10.0.3.15","2.17.107.104","TLSv1.2","3228","Application Data"
"12","1.590845","10.0.3.15","2.17.107.104","TLSv1.2","85","Application Data"
"13","1.590998","2.17.107.104","10.0.3.15","TCP","60","443  >  50212 [ACK] Seq=1 Ack=972 Win=65535 Len=0"
"14","1.590998","2.17.107.104","10.0.3.15","TCP","60","443  >  50212 [ACK] Seq=1 Ack=2432 Win=65535 Len=0"
"15","1.590998","2.17.107.104","10.0.3.15","TCP","60","443  >  50212 [ACK] Seq=1 Ack=3892 Win=65535 Len=0"
"16","1.590998","2.17.107.104","10.0.3.15","TCP","60","443  >  50212 [ACK] Seq=1 Ack=4146 Win=65535 Len=0"
"17","1.590998","2.17.107.104","10.0.3.15","TCP","60","443  >  50212 [ACK] Seq=1 Ack=4177 Win=65535 Len=0"
"18","1.618597","10.0.3.15","204.79.197.219","TCP","55","50084  >  443 [ACK] Seq=1 Ack=1 Win=63719 Len=1 [TCP segment of a reassembled PDU]"
"19","1.618745","204.79.197.219","10.0.3.15","TCP","60","443  >  50084 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"20","1.623059","10.0.3.15","204.79.197.219","TCP","55","50085  >  443 [ACK] Seq=1 Ack=1 Win=63574 Len=1 [TCP segment of a reassembled PDU]"
"21","1.623194","204.79.197.219","10.0.3.15","TCP","60","443  >  50085 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"22","1.671711","2.17.107.104","10.0.3.15","TLSv1.2","395","Application Data"
"23","1.671711","2.17.107.104","10.0.3.15","TLSv1.2","85","Application Data"
"24","1.671753","10.0.3.15","2.17.107.104","TCP","54","50212  >  443 [ACK] Seq=4177 Ack=373 Win=65535 Len=0"
"25","1.878827","10.0.3.15","74.125.71.94","TCP","55","50125  >  443 [ACK] Seq=1 Ack=1 Win=63951 Len=1 [TCP segment of a reassembled PDU]"
