,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1722423569.085372000,192.168.56.102,192.168.56.101,HTTPS,66,49840,443,,,,,,,,
1,1722423569.085568000,192.168.56.101,192.168.56.102,HTTPS,60,443,49840,,,,,,,,
2,1722423569.597593000,192.168.56.102,192.168.56.101,HTTPS,66,49840,443,,,,,,,,
3,1722423569.597848000,192.168.56.101,192.168.56.102,HTTPS,60,443,49840,,,,,,,,
4,1722423570.110577000,192.168.56.102,192.168.56.101,HTTPS,66,49840,443,,,,,,,,
5,1722423570.110906000,192.168.56.101,192.168.56.102,HTTPS,60,443,49840,,,,,,,,
6,1722423570.618370000,192.168.56.102,192.168.56.101,HTTPS,66,49840,443,,,,,,,,
7,1722423570.618620000,192.168.56.101,192.168.56.102,HTTPS,60,443,49840,,,,,,,,
8,1722423571.130197000,192.168.56.102,192.168.56.101,HTTPS,66,49840,443,,,,,,,,
9,1722423571.130508000,192.168.56.101,192.168.56.102,HTTPS,60,443,49840,,,,,,,,
10,1722423571.134186000,192.168.56.102,192.168.56.101,TCP,66,49841,80,,,,,,,,
11,1722423571.134443000,192.168.56.101,192.168.56.102,TCP,66,80,49841,,,,,,,,
12,1722423571.134526000,192.168.56.102,192.168.56.101,TCP,54,49841,80,,,,,,,,
13,1722423571.134894000,192.168.56.102,192.168.56.101,HTTP,764,49841,80,POST,,/oauth2callback/auth/auth/oauth/database/api.html?lv=v68009960&x=9366160w6,eTKfaaaaaaacZNahaAtYbRl_bSD6tS8tJ8kwAItV190DsYSnWI428TH0DKnvXTqdBDssOrkdKjsOkpSx8nRDkpR6DjexT-rXt_85vkS6PvsWP-Eu-DB7bE_NxCuSs2_BkEy3k4RevqB9kS_Qy_cQvc_5_20QjpLNprHtscRvpP0JnqahipQLfcDUvt6-y4_iuPDenFB6s_0TytyJjSHvoEfPj4L2k5_IyRnSl5ovjPofwsWhZiWV0eIFXzzfhtTWXw7nZtV3dU_DAejcwpEu9QR23ouYB591KZIShhI3-UNDMLBKtBQtEYcLYhaAFlu2BstdfIUz5nJ3mOReMO0zP-oZTTtR6Hl96EcVs_24h2XfEkPN0aa2ZZ9hTojrhanaa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36",,,392.0
14,1722423571.135158000,192.168.56.101,192.168.56.102,TCP,60,80,49841,,,,,,,,
15,1722423571.137353000,192.168.56.101,192.168.56.102,HTTP,441,80,49841,,200,,eTKfaaaaaaacZN0_ahJZH_vSrxIiPPIU-bXupGNEqJsU48NVhP7uLyWznHqRouOhJ3tKkbVvFfeKQNzl_0JA1xAHjmFdG3mOThuYfHDI_sWM2umJHZqIjpZzH8XZGdx7D_-DacaamZZ9JonLDraaaa,,,text/plain; charset=utf-8,151.0
16,1722423571.137872000,192.168.56.102,192.168.56.101,TCP,54,49841,80,,,,,,,,
17,1722423571.138203000,192.168.56.101,192.168.56.102,TCP,60,80,49841,,,,,,,,
18,1722423571.138225000,192.168.56.102,192.168.56.101,TCP,54,49841,80,,,,,,,,
19,1722423571.138396000,192.168.56.102,192.168.56.101,TCP,66,49842,80,,,,,,,,
20,1722423571.138585000,192.168.56.101,192.168.56.102,TCP,66,80,49842,,,,,,,,
21,1722423571.138629000,192.168.56.102,192.168.56.101,TCP,54,49842,80,,,,,,,,
22,1722423571.139266000,192.168.56.102,192.168.56.101,HTTP,534,49842,80,GET,,/assets/script.js?y=31003024,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36",,,
23,1722423571.139475000,192.168.56.101,192.168.56.102,TCP,60,80,49842,,,,,,,,
24,1722423571.144179000,192.168.56.102,192.168.56.101,TCP,66,49843,80,,,,,,,,
25,1722423571.144431000,192.168.56.101,192.168.56.102,TCP,66,80,49843,,,,,,,,
26,1722423571.144488000,192.168.56.102,192.168.56.101,TCP,54,49843,80,,,,,,,,
