,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1722787836.874379000,10.0.3.15,204.79.197.203,HTTPS,55,49731,443,,,,,
1,1722787836.874551000,204.79.197.203,10.0.3.15,HTTPS,60,443,49731,,,,,
2,1722787840.169792000,10.0.3.15,2.17.107.97,HTTPS,55,49729,443,,,,,
3,1722787840.170006000,2.17.107.97,10.0.3.15,HTTPS,60,443,49729,,,,,
4,1722787840.415917000,10.0.3.15,13.107.246.67,HTTPS,55,49719,443,,,,,
5,1722787840.416087000,13.107.246.67,10.0.3.15,HTTPS,60,443,49719,,,,,
6,1722787840.767193000,10.0.3.15,204.79.197.203,HTTPS,55,49712,443,,,,,
7,1722787840.767482000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
8,1722787840.783980000,10.0.3.15,2.17.197.192,HTTPS,55,49724,443,,,,,
9,1722787840.784051000,10.0.3.15,2.17.197.192,HTTPS,55,49723,443,,,,,
10,1722787840.784155000,2.17.197.192,10.0.3.15,HTTPS,60,443,49724,,,,,
11,1722787840.784155000,2.17.197.192,10.0.3.15,HTTPS,60,443,49723,,,,,
12,1722787847.353284000,10.0.3.15,10.0.3.3,UDP,77,53428,53,,,,,
13,1722787847.353562000,10.0.3.15,10.0.3.3,UDP,77,62927,53,,,,,
14,1722787847.357722000,10.0.3.15,10.0.3.3,UDP,71,56887,53,,,,,
15,1722787847.373883000,10.0.3.3,10.0.3.15,UDP,158,53,53428,,,,,
16,1722787847.387099000,10.0.3.15,13.107.6.158,HTTPS,66,49759,443,,,,,
17,1722787847.392331000,10.0.3.3,10.0.3.15,UDP,199,53,62927,,,,,
18,1722787847.409453000,10.0.3.3,10.0.3.15,UDP,136,53,56887,,,,,
19,1722787847.410163000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
20,1722787847.410252000,10.0.3.15,13.107.6.158,HTTPS,54,49759,443,,,,,
21,1722787847.410631000,10.0.3.15,13.107.6.158,HTTPS,1845,49759,443,,,,,
22,1722787847.410793000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
23,1722787847.410793000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
24,1722787847.421375000,10.0.3.15,13.107.21.239,HTTPS,225,49722,443,,,,,
25,1722787847.421437000,10.0.3.15,13.107.21.239,HTTPS,100,49722,443,,,,,
26,1722787847.421585000,13.107.21.239,10.0.3.15,HTTPS,60,443,49722,,,,,
27,1722787847.421585000,13.107.21.239,10.0.3.15,HTTPS,60,443,49722,,,,,
28,1722787847.434746000,13.107.21.239,10.0.3.15,HTTPS,100,443,49722,,,,,
29,1722787847.436708000,13.107.21.239,10.0.3.15,HTTPS,472,443,49722,,,,,
30,1722787847.436773000,10.0.3.15,13.107.21.239,HTTPS,54,49722,443,,,,,
31,1722787847.437190000,13.107.21.239,10.0.3.15,HTTPS,92,443,49722,,,,,
32,1722787847.440105000,10.0.3.15,10.0.3.3,UDP,72,49969,53,,,,,
33,1722787847.440510000,10.0.3.15,10.0.3.3,UDP,72,54806,53,,,,,
34,1722787847.441630000,13.107.6.158,10.0.3.15,HTTPS,153,443,49759,,,,,
35,1722787847.441772000,10.0.3.15,13.107.21.239,HTTPS,96,49722,443,,,,,
36,1722787847.442728000,10.0.3.15,13.107.6.158,HTTPS,691,49759,443,,,,,
37,1722787847.443000000,13.107.21.239,10.0.3.15,HTTPS,60,443,49722,,,,,
38,1722787847.444086000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
39,1722787847.458698000,10.0.3.15,10.0.3.3,UDP,87,55120,53,,,,,
40,1722787847.458976000,10.0.3.15,10.0.3.3,UDP,87,52736,53,,,,,
41,1722787847.460431000,10.0.3.15,204.79.197.203,HTTPS,146,49731,443,,,,,
42,1722787847.460618000,204.79.197.203,10.0.3.15,HTTPS,60,443,49731,,,,,
43,1722787847.461168000,10.0.3.15,204.79.197.203,HTTPS,85,49731,443,,,,,
44,1722787847.461242000,10.0.3.15,204.79.197.203,HTTPS,473,49731,443,,,,,
45,1722787847.461408000,204.79.197.203,10.0.3.15,HTTPS,60,443,49731,,,,,
46,1722787847.461408000,204.79.197.203,10.0.3.15,HTTPS,60,443,49731,,,,,
47,1722787847.461431000,10.0.3.15,13.74.129.1,HTTPS,153,49725,443,,,,,
48,1722787847.461524000,13.74.129.1,10.0.3.15,HTTPS,60,443,49725,,,,,
49,1722787847.461562000,10.0.3.15,18.239.208.108,HTTPS,146,49728,443,,,,,
50,1722787847.461657000,10.0.3.15,13.74.129.1,HTTPS,92,49725,443,,,,,
51,1722787847.461679000,18.239.208.108,10.0.3.15,HTTPS,60,443,49728,,,,,
52,1722787847.461777000,10.0.3.15,13.74.129.1,HTTPS,2369,49725,443,,,,,
53,1722787847.461795000,13.74.129.1,10.0.3.15,HTTPS,60,443,49725,,,,,
54,1722787847.461814000,10.0.3.15,18.239.208.108,HTTPS,85,49728,443,,,,,
55,1722787847.461872000,10.0.3.15,18.239.208.108,HTTPS,736,49728,443,,,,,
56,1722787847.461889000,13.74.129.1,10.0.3.15,HTTPS,60,443,49725,,,,,
57,1722787847.461889000,13.74.129.1,10.0.3.15,HTTPS,60,443,49725,,,,,
58,1722787847.461889000,18.239.208.108,10.0.3.15,HTTPS,60,443,49728,,,,,
59,1722787847.461975000,18.239.208.108,10.0.3.15,HTTPS,60,443,49728,,,,,
60,1722787847.462289000,10.0.3.3,10.0.3.15,UDP,337,53,49969,,,,,
61,1722787847.468066000,13.107.6.158,10.0.3.15,HTTPS,1514,443,49759,,,,,
62,1722787847.468726000,13.107.6.158,10.0.3.15,HTTPS,1514,443,49759,,,,,
63,1722787847.468777000,10.0.3.15,13.107.6.158,HTTPS,54,49759,443,,,,,
64,1722787847.468825000,13.107.6.158,10.0.3.15,HTTPS,1514,443,49759,,,,,
65,1722787847.468942000,13.107.6.158,10.0.3.15,HTTPS,1514,443,49759,,,,,
66,1722787847.468955000,10.0.3.15,13.107.6.158,HTTPS,54,49759,443,,,,,
67,1722787847.469091000,13.107.6.158,10.0.3.15,HTTPS,1447,443,49759,,,,,
68,1722787847.470055000,10.0.3.15,88.221.83.186,UDP,1292,50443,443,,,,,
69,1722787847.470134000,10.0.3.15,88.221.83.186,UDP,1292,50443,443,,,,,
70,1722787847.471318000,10.0.3.15,13.107.6.158,HTTPS,128,49759,443,,,,,
71,1722787847.471437000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
72,1722787847.471528000,10.0.3.15,13.107.6.158,HTTPS,146,49759,443,,,,,
73,1722787847.471650000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
74,1722787847.471785000,10.0.3.15,13.107.6.158,HTTPS,673,49759,443,,,,,
75,1722787847.471843000,10.0.3.15,13.107.6.158,HTTPS,159,49759,443,,,,,
76,1722787847.471886000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
77,1722787847.471921000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
78,1722787847.474916000,204.79.197.203,10.0.3.15,HTTPS,85,443,49731,,,,,
79,1722787847.476872000,10.0.3.3,10.0.3.15,UDP,217,53,55120,,,,,
80,1722787847.480366000,18.239.208.108,10.0.3.15,HTTPS,85,443,49728,,,,,
81,1722787847.482903000,10.0.3.15,13.89.179.9,HTTPS,66,49760,443,,,,,
82,1722787847.486342000,10.0.3.3,10.0.3.15,UDP,290,53,54806,,,,,
83,1722787847.490608000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
84,1722787847.490756000,10.0.3.3,10.0.3.15,UDP,272,53,52736,,,,,
85,1722787847.491858000,13.107.6.158,10.0.3.15,HTTPS,513,443,49759,,,,,
86,1722787847.491858000,13.107.6.158,10.0.3.15,HTTPS,116,443,49759,,,,,
87,1722787847.491901000,10.0.3.15,13.107.6.158,HTTPS,54,49759,443,,,,,
88,1722787847.492022000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
89,1722787847.492450000,10.0.3.15,13.107.6.158,HTTPS,85,49759,443,,,,,
90,1722787847.492522000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
91,1722787847.492921000,13.107.6.158,10.0.3.15,HTTPS,60,443,49759,,,,,
92,1722787847.492921000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
93,1722787847.492921000,88.221.83.186,10.0.3.15,UDP,565,443,50443,,,,,
94,1722787847.493054000,10.0.3.15,88.221.83.186,UDP,81,50443,443,,,,,
95,1722787847.493399000,18.239.208.108,10.0.3.15,HTTPS,302,443,49728,,,,,
96,1722787847.493423000,10.0.3.15,18.239.208.108,HTTPS,54,49728,443,,,,,
97,1722787847.493553000,10.0.3.15,88.221.83.186,UDP,210,50443,443,,,,,
98,1722787847.493937000,10.0.3.15,88.221.83.186,UDP,400,50443,443,,,,,
99,1722787847.501092000,13.74.129.1,10.0.3.15,HTTPS,92,443,49725,,,,,
100,1722787847.502743000,13.74.129.1,10.0.3.15,HTTPS,840,443,49725,,,,,
101,1722787847.502802000,10.0.3.15,13.74.129.1,HTTPS,54,49725,443,,,,,
102,1722787847.508280000,13.107.6.158,10.0.3.15,HTTPS,1265,443,49759,,,,,
103,1722787847.508657000,13.107.6.158,10.0.3.15,HTTPS,117,443,49759,,,,,
104,1722787847.508682000,10.0.3.15,13.107.6.158,HTTPS,54,49759,443,,,,,
105,1722787847.521324000,88.221.83.186,10.0.3.15,UDP,329,443,50443,,,,,
106,1722787847.521531000,88.221.83.186,10.0.3.15,UDP,370,443,50443,,,,,
107,1722787847.521531000,88.221.83.186,10.0.3.15,UDP,104,443,50443,,,,,
108,1722787847.521531000,88.221.83.186,10.0.3.15,UDP,63,443,50443,,,,,
109,1722787847.521898000,10.0.3.15,88.221.83.186,UDP,73,50443,443,,,,,
110,1722787847.521998000,10.0.3.15,88.221.83.186,UDP,75,50443,443,,,,,
111,1722787847.522042000,10.0.3.15,88.221.83.186,UDP,75,50443,443,,,,,
112,1722787847.529002000,10.0.3.15,204.79.197.203,HTTPS,54,49731,443,,,,,
113,1722787847.534720000,204.79.197.203,10.0.3.15,HTTPS,573,443,49731,,,,,
114,1722787847.536440000,10.0.3.15,204.79.197.203,HTTPS,5209,49712,443,,,,,
115,1722787847.536559000,10.0.3.15,204.79.197.203,HTTPS,93,49712,443,,,,,
116,1722787847.536590000,10.0.3.15,204.79.197.203,HTTPS,1109,49712,443,,,,,
117,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
118,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
119,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
120,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
121,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
122,1722787847.536736000,204.79.197.203,10.0.3.15,HTTPS,60,443,49712,,,,,
123,1722787847.538470000,88.221.83.186,10.0.3.15,UDP,550,443,50443,,,,,
124,1722787847.538601000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
125,1722787847.538781000,10.0.3.15,88.221.83.186,UDP,79,50443,443,,,,,
126,1722787847.538778000,10.0.3.15,10.0.3.3,UDP,97,56887,53,,,,,
127,1722787847.538846000,10.0.3.15,88.221.83.186,UDP,75,50443,443,,,,,
128,1722787847.538842000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
129,1722787847.539005000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
130,1722787847.539005000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
131,1722787847.539127000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
132,1722787847.539149000,10.0.3.15,88.221.83.186,UDP,75,50443,443,,,,,
133,1722787847.539243000,10.0.3.15,88.221.83.186,UDP,75,50443,443,,,,,
134,1722787847.539253000,88.221.83.186,10.0.3.15,UDP,1292,443,50443,,,,,
