,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1721135256.480389000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,,,,,
1,1721135257.490886000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,,,,,
2,1721135258.492045000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,,,,,
3,1721135259.501642000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,,,,,
4,1721135260.729061000,192.168.56.102,192.168.56.101,HTTPS,66,49715,443,,,,,,,,
5,1721135260.729263000,192.168.56.101,192.168.56.102,HTTPS,60,443,49715,,,,,,,,
6,1721135261.254807000,192.168.56.102,192.168.56.101,HTTPS,66,49715,443,,,,,,,,
7,1721135261.255104000,192.168.56.101,192.168.56.102,HTTPS,60,443,49715,,,,,,,,
8,1721135261.766767000,192.168.56.102,192.168.56.101,HTTPS,66,49715,443,,,,,,,,
9,1721135261.767005000,192.168.56.101,192.168.56.102,HTTPS,60,443,49715,,,,,,,,
10,1721135262.282662000,192.168.56.102,192.168.56.101,HTTPS,66,49715,443,,,,,,,,
11,1721135262.282918000,192.168.56.101,192.168.56.102,HTTPS,60,443,49715,,,,,,,,
12,1721135262.782741000,192.168.56.102,192.168.56.101,HTTPS,66,49715,443,,,,,,,,
13,1721135262.783076000,192.168.56.101,192.168.56.102,HTTPS,60,443,49715,,,,,,,,
14,1721135262.786527000,192.168.56.102,192.168.56.101,TCP,66,49716,80,,,,,,,,
15,1721135262.786817000,192.168.56.101,192.168.56.102,TCP,66,80,49716,,,,,,,,
16,1721135262.786873000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,,,,,
17,1721135262.787174000,192.168.56.102,192.168.56.101,HTTP,654,49716,80,POST,,/php/namespaces/database/samples.html?p=56r042222&zt=404a60745,�,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,294.0
18,1721135262.787437000,192.168.56.101,192.168.56.102,TCP,60,80,49716,,,,,,,,
19,1721135262.789687000,192.168.56.101,192.168.56.102,HTTP,396,80,49716,,200,,�,,,application/x-gzip,112.0
20,1721135262.794991000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,,,,,
21,1721135262.795146000,192.168.56.102,192.168.56.101,TCP,66,49717,80,,,,,,,,
22,1721135262.795280000,192.168.56.101,192.168.56.102,TCP,60,80,49716,,,,,,,,
23,1721135262.795303000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,,,,,
24,1721135262.795412000,192.168.56.101,192.168.56.102,TCP,66,80,49717,,,,,,,,
25,1721135262.795443000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,,,,,
26,1721135262.795663000,192.168.56.102,192.168.56.101,HTTP,952,49717,80,POST,,/oauth/samples.php?i=45p813613,POZaQEoiatD05nk04MnGtsLdRfqVG00Rqalx3nQX8Eqa6RHqUMiHSF7P-BzThNXTGsZoZEt0IMWysHN0NE0GQxFTxQwq9rfM-56l3oG2K6_vzn0w84AhsXJjTcb9aMGaoYYchkTfwnodewRUlI1j_tefBGiCZZqyNe-mND29zf59yI5iB6tA4WELDj_dQFTXKzP3GXBYlK1DruV6wQyGb5NtPlVvChLazHp2JD8EX7SQ9qQ-Aro-ppikQ_1opaNrodTkAvDTCovzc6Ox2jwKvy9xTHVkPksmBMaIAiZrouxUfXFI20ycPZyBxbSRuAUn_zwPMjPfUFGjoRtXY5P0byFjvQiiTivOcVSjnSbxRpZJkA7VVBP0qWBk23vLznvN8zkkle58SXwHWZuLSnwCI1_OSWX2rlTTacdF69_RG6aVKNcGix5XLy_-Wjbd43nBomuRDRGd--IIhvXN-R8NoG3EU-IiQDRxBm4mdD1mV7nCe9FFlsEk89r6hIj_IrO9vsx4c9T8_XcWy2rxOPZ_AfDGid1Pjm10qhPCj6WIEsaq4s58S1jK,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,571.0
27,1721135262.795871000,192.168.56.101,192.168.56.102,TCP,60,80,49717,,,,,,,,
28,1721135262.804744000,192.168.56.101,192.168.56.102,HTTP,135,80,49717,,202,,,,,,0.0
29,1721135262.804977000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,,,,,
30,1721135262.805314000,192.168.56.101,192.168.56.102,TCP,60,80,49717,,,,,,,,
31,1721135262.805328000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,,,,,
32,1721135263.807613000,192.168.56.102,192.168.56.101,TCP,66,49718,80,,,,,,,,
33,1721135263.807907000,192.168.56.101,192.168.56.102,TCP,66,80,49718,,,,,,,,
34,1721135263.807961000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,,,,,
35,1721135263.808247000,192.168.56.102,192.168.56.101,HTTP,505,49718,80,POST,,/api.php?a=965a20865,V-LCJTf6yeAKbMiGAyt3w9ANY-qyiCW99lWH0rpR4YbRBUmTwyGy4i7qhTnkbAzvm8dLoREb2kp7uoCkBMOqc9s3vt9ei2frR_LKv-CtMUaDLJNdHHMd3kUDxNkx0BPrt4fN,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,134.0
36,1721135263.808461000,192.168.56.101,192.168.56.102,TCP,60,80,49718,,,,,,,,
37,1721135263.809203000,192.168.56.101,192.168.56.102,HTTP,135,80,49718,,202,,,,,,0.0
38,1721135263.809406000,192.168.56.102,192.168.56.101,HTTP,526,49718,80,GET,,/app.js?h=348265d81,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,
39,1721135263.812021000,192.168.56.101,192.168.56.102,HTTP,287,80,49718,,200,,eTKfaaaaaaacZNaUajtZwebRvQzWufv5-jLANpwWf1deExMP-nVSkidjwTOQ0JNrerfLJCFbcDh9j4NJH5vR2loEKnl84FbkNcaamZZz8v-VPGaaaa,,,text/plain; charset=utf-8,115.0
40,1721135263.821290000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,,,,,
41,1721135263.821554000,192.168.56.101,192.168.56.102,TCP,60,80,49718,,,,,,,,
42,1721135263.821575000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,,,,,
43,1721135281.113132000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
44,1721135281.113641000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
45,1721135281.120293000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
46,1721135281.120580000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
47,1721135282.122331000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
48,1721135282.122655000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
49,1721135282.122993000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
50,1721135282.123306000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
51,1721135331.488892000,192.168.56.102,192.168.56.101,TCP,66,49719,80,,,,,,,,
52,1721135331.489162000,192.168.56.101,192.168.56.102,TCP,66,80,49719,,,,,,,,
53,1721135331.489221000,192.168.56.102,192.168.56.101,TCP,54,49719,80,,,,,,,,
54,1721135331.489501000,192.168.56.102,192.168.56.101,HTTP,610,49719,80,POST,,/database/oauth2callback/namespaces/db/api.php?w=p71w287912,d3ae7fb6c4724ed65a1527bf235472187a47dedf1521f951f1cd0fcf53a40cd6957cdd425ae4bf5f28516263885801071dd0244408a1b7cbfb7e18ee1659c4bdcde0e406eb6ce2584cec423745ea214664d9df3ae34b0c9ff1d7cb44a1832ad0ac3da400,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,200.0
55,1721135331.489691000,192.168.56.101,192.168.56.102,TCP,60,80,49719,,,,,,,,
56,1721135331.490289000,192.168.56.101,192.168.56.102,HTTP,135,80,49719,,202,,,,,,0.0
57,1721135331.490486000,192.168.56.102,192.168.56.101,HTTP,543,49719,80,GET,,/bundle/scripts/route.js?v=4196745p0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,
