"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","1.010497","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"3","2.011656","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4","3.021253","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5","4.248672","192.168.56.102","192.168.56.101","TCP","66","49715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","4.248874","192.168.56.101","192.168.56.102","TCP","60","443  >  49715 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","4.774418","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","4.774715","192.168.56.101","192.168.56.102","TCP","60","443  >  49715 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","5.286378","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","5.286616","192.168.56.101","192.168.56.102","TCP","60","443  >  49715 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","5.802273","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","5.802529","192.168.56.101","192.168.56.102","TCP","60","443  >  49715 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","6.302352","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49715  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","6.302687","192.168.56.101","192.168.56.102","TCP","60","443  >  49715 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","6.306138","192.168.56.102","192.168.56.101","TCP","66","49716  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"16","6.306428","192.168.56.101","192.168.56.102","TCP","66","80  >  49716 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"17","6.306484","192.168.56.102","192.168.56.101","TCP","54","49716  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"18","6.306785","192.168.56.102","192.168.56.101","HTTP","654","POST /php/namespaces/database/samples.html?p=56r042222&zt=404a60745 HTTP/1.1 "
"19","6.307048","192.168.56.101","192.168.56.102","TCP","60","80  >  49716 [ACK] Seq=1 Ack=601 Win=31872 Len=0"
"20","6.309298","192.168.56.101","192.168.56.102","HTTP","396","HTTP/1.1 200 OK  (application/x-gzip)"
"21","6.314602","192.168.56.102","192.168.56.101","TCP","54","49716  >  80 [FIN, ACK] Seq=601 Ack=343 Win=262400 Len=0"
"22","6.314757","192.168.56.102","192.168.56.101","TCP","66","49717  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23","6.314891","192.168.56.101","192.168.56.102","TCP","60","80  >  49716 [FIN, ACK] Seq=343 Ack=602 Win=31872 Len=0"
"24","6.314914","192.168.56.102","192.168.56.101","TCP","54","49716  >  80 [ACK] Seq=602 Ack=344 Win=262400 Len=0"
"25","6.315023","192.168.56.101","192.168.56.102","TCP","66","80  >  49717 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"26","6.315054","192.168.56.102","192.168.56.101","TCP","54","49717  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"27","6.315274","192.168.56.102","192.168.56.101","HTTP","952","POST /oauth/samples.php?i=45p813613 HTTP/1.1 "
"28","6.315482","192.168.56.101","192.168.56.102","TCP","60","80  >  49717 [ACK] Seq=1 Ack=899 Win=31872 Len=0"
"29","6.324355","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"30","6.324588","192.168.56.102","192.168.56.101","TCP","54","49717  >  80 [FIN, ACK] Seq=899 Ack=82 Win=262656 Len=0"
"31","6.324925","192.168.56.101","192.168.56.102","TCP","60","80  >  49717 [FIN, ACK] Seq=82 Ack=900 Win=31872 Len=0"
"32","6.324939","192.168.56.102","192.168.56.101","TCP","54","49717  >  80 [ACK] Seq=900 Ack=83 Win=262656 Len=0"
"33","7.327224","192.168.56.102","192.168.56.101","TCP","66","49718  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"34","7.327518","192.168.56.101","192.168.56.102","TCP","66","80  >  49718 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"35","7.327572","192.168.56.102","192.168.56.101","TCP","54","49718  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"36","7.327858","192.168.56.102","192.168.56.101","HTTP","505","POST /api.php?a=965a20865 HTTP/1.1 "
"37","7.328072","192.168.56.101","192.168.56.102","TCP","60","80  >  49718 [ACK] Seq=1 Ack=452 Win=31872 Len=0"
"38","7.328814","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"39","7.329017","192.168.56.102","192.168.56.101","HTTP","526","GET /app.js?h=348265d81 HTTP/1.1 "
"40","7.331632","192.168.56.101","192.168.56.102","HTTP","287","HTTP/1.1 200 OK  (text/plain)"
"41","7.340901","192.168.56.102","192.168.56.101","TCP","54","49718  >  80 [FIN, ACK] Seq=924 Ack=315 Win=262400 Len=0"
"42","7.341165","192.168.56.101","192.168.56.102","TCP","60","80  >  49718 [FIN, ACK] Seq=315 Ack=925 Win=31872 Len=0"
"43","7.341186","192.168.56.102","192.168.56.101","TCP","54","49718  >  80 [ACK] Seq=925 Ack=316 Win=262400 Len=0"
"44","24.632743","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"45","24.633252","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QU"" question"
"46","24.639904","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"47","24.640191","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"48","25.641942","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"49","25.642266","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"50","25.642604","192.168.56.102","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"51","25.642917","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","97","Standard query 0x0000 PTR _dosvc._tcp.local, ""QM"" question"
"52","75.008503","192.168.56.102","192.168.56.101","TCP","66","49719  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"53","75.008773","192.168.56.101","192.168.56.102","TCP","66","80  >  49719 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"54","75.008832","192.168.56.102","192.168.56.101","TCP","54","49719  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"55","75.009112","192.168.56.102","192.168.56.101","HTTP","610","POST /database/oauth2callback/namespaces/db/api.php?w=p71w287912 HTTP/1.1 "
"56","75.009302","192.168.56.101","192.168.56.102","TCP","60","80  >  49719 [ACK] Seq=1 Ack=557 Win=31872 Len=0"
"57","75.009900","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"58","75.010097","192.168.56.102","192.168.56.101","HTTP","543","GET /bundle/scripts/route.js?v=4196745p0 HTTP/1.1 "
"59","75.025593","192.168.56.101","192.168.56.102","HTTP","727","HTTP/1.1 200 OK  (text/plain)"
"60","75.025814","192.168.56.102","192.168.56.101","TCP","54","49719  >  80 [FIN, ACK] Seq=1046 Ack=755 Win=261888 Len=0"
"61","75.026016","192.168.56.101","192.168.56.102","TCP","60","80  >  49719 [FIN, ACK] Seq=755 Ack=1047 Win=31872 Len=0"
"62","75.026032","192.168.56.102","192.168.56.101","TCP","54","49719  >  80 [ACK] Seq=1047 Ack=756 Win=261888 Len=0"
"63","80.239941","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"64","80.239968","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"65","120.012183","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"66","121.014760","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"67","122.023078","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"68","123.029937","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"69","127.815771","fe80::a3a5:d549:98af:516d","ff02::2","ICMPv6","62","Router Solicitation"
"70","139.844388","192.168.56.102","192.168.56.101","TCP","66","49720  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"71","139.844650","192.168.56.101","192.168.56.102","TCP","66","80  >  49720 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"72","139.844708","192.168.56.102","192.168.56.101","TCP","54","49720  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"73","139.844923","192.168.56.102","192.168.56.101","HTTP","542","POST /api.php?k=287y30827 HTTP/1.1 "
"74","139.845100","192.168.56.101","192.168.56.102","TCP","60","80  >  49720 [ACK] Seq=1 Ack=489 Win=31872 Len=0"
"75","139.869387","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"76","139.869593","192.168.56.102","192.168.56.101","TCP","54","49720  >  80 [FIN, ACK] Seq=489 Ack=82 Win=262656 Len=0"
"77","139.869807","192.168.56.102","192.168.56.101","TCP","66","49721  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"78","139.869857","192.168.56.101","192.168.56.102","TCP","60","80  >  49720 [FIN, ACK] Seq=82 Ack=490 Win=31872 Len=0"
"79","139.869876","192.168.56.102","192.168.56.101","TCP","54","49720  >  80 [ACK] Seq=490 Ack=83 Win=262656 Len=0"
"80","139.869982","192.168.56.101","192.168.56.102","TCP","66","80  >  49721 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"81","139.870025","192.168.56.102","192.168.56.101","TCP","54","49721  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
