,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1720703728.903327000,192.168.56.102,192.168.56.101,HTTPS,66,50275,443,,,,,
1,1720703728.903538000,192.168.56.101,192.168.56.102,HTTPS,66,443,50275,,,,,
2,1720703728.903586000,192.168.56.102,192.168.56.101,HTTPS,54,50275,443,,,,,
3,1720703728.903912000,192.168.56.102,192.168.56.101,HTTPS,293,50275,443,,,,,
4,1720703728.904051000,192.168.56.101,192.168.56.102,HTTPS,60,443,50275,,,,,
5,1720703728.912610000,192.168.56.101,192.168.56.102,HTTPS,1514,443,50275,,,,,
6,1720703728.912610000,192.168.56.101,192.168.56.102,HTTPS,304,443,50275,,,,,
7,1720703728.912668000,192.168.56.102,192.168.56.101,HTTPS,54,50275,443,,,,,
8,1720703728.913938000,192.168.56.102,192.168.56.101,HTTPS,118,50275,443,,,,,
9,1720703728.914180000,192.168.56.102,192.168.56.101,HTTPS,627,50275,443,,,,,
10,1720703728.914322000,192.168.56.101,192.168.56.102,HTTPS,60,443,50275,,,,,
11,1720703728.915458000,192.168.56.101,192.168.56.102,HTTPS,413,443,50275,,,,,
12,1720703728.916626000,192.168.56.102,192.168.56.101,HTTPS,514,50275,443,,,,,
13,1720703728.920694000,192.168.56.102,192.168.56.101,HTTPS,66,50276,443,,,,,
14,1720703728.920829000,192.168.56.101,192.168.56.102,HTTPS,66,443,50276,,,,,
15,1720703728.920874000,192.168.56.102,192.168.56.101,HTTPS,54,50276,443,,,,,
16,1720703728.921083000,192.168.56.102,192.168.56.101,HTTPS,293,50276,443,,,,,
17,1720703728.921200000,192.168.56.101,192.168.56.102,HTTPS,60,443,50276,,,,,
18,1720703728.929485000,192.168.56.101,192.168.56.102,HTTPS,1514,443,50276,,,,,
19,1720703728.929485000,192.168.56.101,192.168.56.102,HTTPS,304,443,50276,,,,,
20,1720703728.929521000,192.168.56.102,192.168.56.101,HTTPS,54,50276,443,,,,,
21,1720703728.930735000,192.168.56.102,192.168.56.101,HTTPS,118,50276,443,,,,,
22,1720703728.930901000,192.168.56.102,192.168.56.101,HTTPS,1072,50276,443,,,,,
23,1720703728.931061000,192.168.56.101,192.168.56.102,HTTPS,60,443,50276,,,,,
24,1720703728.931303000,192.168.56.101,192.168.56.102,HTTPS,157,443,50276,,,,,
25,1720703728.944146000,192.168.56.102,192.168.56.101,HTTPS,78,50276,443,,,,,
26,1720703728.944299000,192.168.56.102,192.168.56.101,HTTPS,54,50276,443,,,,,
27,1720703728.944379000,192.168.56.101,192.168.56.102,HTTPS,78,443,50276,,,,,
28,1720703728.944379000,192.168.56.101,192.168.56.102,HTTPS,60,443,50276,,,,,
29,1720703728.944412000,192.168.56.102,192.168.56.101,HTTPS,54,50276,443,,,,,
30,1720703728.944486000,192.168.56.101,192.168.56.102,HTTPS,60,443,50276,,,,,
31,1720703728.958166000,192.168.56.101,192.168.56.102,HTTPS,60,443,50275,,,,,
32,1720703731.676744000,192.168.56.101,192.168.56.102,HTTPS,140,443,50275,,,,,
33,1720703731.677070000,192.168.56.102,192.168.56.101,HTTPS,78,50275,443,,,,,
34,1720703731.677186000,192.168.56.102,192.168.56.101,HTTPS,54,50275,443,,,,,
35,1720703731.677280000,192.168.56.101,192.168.56.102,HTTPS,60,443,50275,,,,,
36,1720703731.677407000,192.168.56.101,192.168.56.102,HTTPS,78,443,50275,,,,,
37,1720703731.677434000,192.168.56.102,192.168.56.101,HTTPS,54,50275,443,,,,,
38,1720703731.677544000,192.168.56.101,192.168.56.102,HTTPS,60,443,50275,,,,,
39,1720703731.677665000,192.168.56.102,192.168.56.101,HTTPS,66,50277,443,,,,,
40,1720703731.677821000,192.168.56.101,192.168.56.102,HTTPS,66,443,50277,,,,,
