,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722787836.874379000,10.0.3.15,204.79.197.203,TCP,55,49731,443,,,,
1,1722787836.874551000,204.79.197.203,10.0.3.15,TCP,60,443,49731,,,,
2,1722787840.169792000,10.0.3.15,2.17.107.97,TCP,55,49729,443,,,,
3,1722787840.170006000,2.17.107.97,10.0.3.15,TCP,60,443,49729,,,,
4,1722787840.415917000,10.0.3.15,13.107.246.67,TCP,55,49719,443,,,,
5,1722787840.416087000,13.107.246.67,10.0.3.15,TCP,60,443,49719,,,,
6,1722787840.767193000,10.0.3.15,204.79.197.203,TCP,55,49712,443,,,,
7,1722787840.767482000,204.79.197.203,10.0.3.15,TCP,60,443,49712,,,,
8,1722787840.783980000,10.0.3.15,2.17.197.192,TCP,55,49724,443,,,,
9,1722787840.784051000,10.0.3.15,2.17.197.192,TCP,55,49723,443,,,,
10,1722787840.784155000,2.17.197.192,10.0.3.15,TCP,60,443,49724,,,,
11,1722787840.784155000,2.17.197.192,10.0.3.15,TCP,60,443,49723,,,,
12,1722787847.353284000,10.0.3.15,10.0.3.3,UDP,77,53428,53,,,,
13,1722787847.353562000,10.0.3.15,10.0.3.3,UDP,77,62927,53,,,,
14,1722787847.357722000,10.0.3.15,10.0.3.3,UDP,71,56887,53,,,,
15,1722787847.373883000,10.0.3.3,10.0.3.15,UDP,158,53,53428,,,,
16,1722787847.387099000,10.0.3.15,13.107.6.158,TCP,66,49759,443,,,,
17,1722787847.392331000,10.0.3.3,10.0.3.15,UDP,199,53,62927,,,,
18,1722787847.409453000,10.0.3.3,10.0.3.15,UDP,136,53,56887,,,,
19,1722787847.410163000,13.107.6.158,10.0.3.15,TCP,60,443,49759,,,,
20,1722787847.410252000,10.0.3.15,13.107.6.158,TCP,54,49759,443,,,,
21,1722787847.410631000,10.0.3.15,13.107.6.158,TCP,1845,49759,443,,,,
22,1722787847.410793000,13.107.6.158,10.0.3.15,TCP,60,443,49759,,,,
23,1722787847.410793000,13.107.6.158,10.0.3.15,TCP,60,443,49759,,,,
24,1722787847.421375000,10.0.3.15,13.107.21.239,TCP,225,49722,443,,,,
25,1722787847.421437000,10.0.3.15,13.107.21.239,TCP,100,49722,443,,,,
26,1722787847.421585000,13.107.21.239,10.0.3.15,TCP,60,443,49722,,,,
27,1722787847.421585000,13.107.21.239,10.0.3.15,TCP,60,443,49722,,,,
28,1722787847.434746000,13.107.21.239,10.0.3.15,TCP,100,443,49722,,,,
29,1722787847.436708000,13.107.21.239,10.0.3.15,TCP,472,443,49722,,,,
30,1722787847.436773000,10.0.3.15,13.107.21.239,TCP,54,49722,443,,,,
31,1722787847.437190000,13.107.21.239,10.0.3.15,TCP,92,443,49722,,,,
32,1722787847.440105000,10.0.3.15,10.0.3.3,UDP,72,49969,53,,,,
33,1722787847.440510000,10.0.3.15,10.0.3.3,UDP,72,54806,53,,,,
34,1722787847.441630000,13.107.6.158,10.0.3.15,TCP,153,443,49759,,,,
35,1722787847.441772000,10.0.3.15,13.107.21.239,TCP,96,49722,443,,,,
36,1722787847.442728000,10.0.3.15,13.107.6.158,TCP,691,49759,443,,,,
37,1722787847.443000000,13.107.21.239,10.0.3.15,TCP,60,443,49722,,,,
38,1722787847.444086000,13.107.6.158,10.0.3.15,TCP,60,443,49759,,,,
39,1722787847.458698000,10.0.3.15,10.0.3.3,UDP,87,55120,53,,,,
40,1722787847.458976000,10.0.3.15,10.0.3.3,UDP,87,52736,53,,,,
41,1722787847.460431000,10.0.3.15,204.79.197.203,TCP,146,49731,443,,,,
42,1722787847.460618000,204.79.197.203,10.0.3.15,TCP,60,443,49731,,,,
43,1722787847.461168000,10.0.3.15,204.79.197.203,TCP,85,49731,443,,,,
44,1722787847.461242000,10.0.3.15,204.79.197.203,TCP,473,49731,443,,,,
45,1722787847.461408000,204.79.197.203,10.0.3.15,TCP,60,443,49731,,,,
46,1722787847.461408000,204.79.197.203,10.0.3.15,TCP,60,443,49731,,,,
47,1722787847.461431000,10.0.3.15,13.74.129.1,TCP,153,49725,443,,,,
48,1722787847.461524000,13.74.129.1,10.0.3.15,TCP,60,443,49725,,,,
49,1722787847.461562000,10.0.3.15,18.239.208.108,TCP,146,49728,443,,,,
50,1722787847.461657000,10.0.3.15,13.74.129.1,TCP,92,49725,443,,,,
51,1722787847.461679000,18.239.208.108,10.0.3.15,TCP,60,443,49728,,,,
52,1722787847.461777000,10.0.3.15,13.74.129.1,TCP,2369,49725,443,,,,
53,1722787847.461795000,13.74.129.1,10.0.3.15,TCP,60,443,49725,,,,
54,1722787847.461814000,10.0.3.15,18.239.208.108,TCP,85,49728,443,,,,
55,1722787847.461872000,10.0.3.15,18.239.208.108,TCP,736,49728,443,,,,
56,1722787847.461889000,13.74.129.1,10.0.3.15,TCP,60,443,49725,,,,
57,1722787847.461889000,13.74.129.1,10.0.3.15,TCP,60,443,49725,,,,
58,1722787847.461889000,18.239.208.108,10.0.3.15,TCP,60,443,49728,,,,
59,1722787847.461975000,18.239.208.108,10.0.3.15,TCP,60,443,49728,,,,
60,1722787847.462289000,10.0.3.3,10.0.3.15,UDP,337,53,49969,,,,
61,1722787847.468066000,13.107.6.158,10.0.3.15,TCP,1514,443,49759,,,,
