,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722788256.518334000,10.0.3.15,152.199.19.161,TCP,54,49965,80,,,,
1,1722788256.518608000,152.199.19.161,10.0.3.15,TCP,60,80,49965,,,,
2,1722788258.237328000,10.0.3.15,13.69.116.108,TCP,138,49979,443,,,,
3,1722788258.237386000,10.0.3.15,13.69.116.108,TCP,856,49979,443,,,,
4,1722788258.237681000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
5,1722788258.237681000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
6,1722788258.332494000,10.0.3.15,20.3.187.198,TCP,54,49937,443,,,,
7,1722788258.338984000,13.69.116.108,10.0.3.15,TCP,153,443,49979,,,,
8,1722788258.339771000,10.0.3.15,13.69.116.108,TCP,89,49979,443,,,,
9,1722788258.340001000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
10,1722788258.541533000,10.0.3.15,13.74.129.1,TCP,55,49880,443,,,,
11,1722788258.541570000,10.0.3.15,18.155.129.101,TCP,55,49884,443,,,,
12,1722788258.541581000,10.0.3.15,204.79.197.203,TCP,55,49890,443,,,,
13,1722788258.541744000,13.74.129.1,10.0.3.15,TCP,60,443,49880,,,,
14,1722788258.541744000,18.155.129.101,10.0.3.15,TCP,60,443,49884,,,,
15,1722788258.541744000,204.79.197.203,10.0.3.15,TCP,60,443,49890,,,,
16,1722788258.543263000,10.0.3.15,204.79.197.203,TCP,55,49886,443,,,,
17,1722788258.543277000,10.0.3.15,13.107.21.237,TCP,55,49881,443,,,,
18,1722788258.543361000,204.79.197.203,10.0.3.15,TCP,60,443,49886,,,,
19,1722788258.543361000,13.107.21.237,10.0.3.15,TCP,60,443,49881,,,,
20,1722788258.700340000,10.0.3.15,13.107.6.158,TCP,55,50073,443,,,,
21,1722788258.700576000,13.107.6.158,10.0.3.15,TCP,60,443,50073,,,,
22,1722788258.777662000,10.0.3.15,18.245.199.96,TCP,55,50074,443,,,,
23,1722788258.777861000,18.245.199.96,10.0.3.15,TCP,60,443,50074,,,,
24,1722788258.819657000,10.0.3.15,13.74.129.1,TCP,55,50076,443,,,,
