,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1720703862.370212000,192.168.56.102,192.168.56.101,HTTPS,66,50325,443,,,,,
1,1720703862.370430000,192.168.56.101,192.168.56.102,HTTPS,66,443,50325,,,,,
2,1720703862.370484000,192.168.56.102,192.168.56.101,HTTPS,54,50325,443,,,,,
3,1720703862.370763000,192.168.56.102,192.168.56.101,HTTPS,293,50325,443,,,,,
4,1720703862.370913000,192.168.56.101,192.168.56.102,HTTPS,60,443,50325,,,,,
5,1720703862.378956000,192.168.56.101,192.168.56.102,HTTPS,1514,443,50325,,,,,
6,1720703862.378956000,192.168.56.101,192.168.56.102,HTTPS,304,443,50325,,,,,
7,1720703862.378990000,192.168.56.102,192.168.56.101,HTTPS,54,50325,443,,,,,
8,1720703862.380275000,192.168.56.102,192.168.56.101,HTTPS,118,50325,443,,,,,
9,1720703862.380377000,192.168.56.102,192.168.56.101,HTTPS,616,50325,443,,,,,
10,1720703862.380533000,192.168.56.101,192.168.56.102,HTTPS,60,443,50325,,,,,
11,1720703862.381383000,192.168.56.101,192.168.56.102,HTTPS,413,443,50325,,,,,
12,1720703862.381743000,192.168.56.102,192.168.56.101,HTTPS,514,50325,443,,,,,
13,1720703862.385649000,192.168.56.102,192.168.56.101,HTTPS,66,50326,443,,,,,
14,1720703862.385801000,192.168.56.101,192.168.56.102,HTTPS,66,443,50326,,,,,
15,1720703862.385845000,192.168.56.102,192.168.56.101,HTTPS,54,50326,443,,,,,
16,1720703862.385998000,192.168.56.102,192.168.56.101,HTTPS,293,50326,443,,,,,
17,1720703862.386130000,192.168.56.101,192.168.56.102,HTTPS,60,443,50326,,,,,
18,1720703862.394247000,192.168.56.101,192.168.56.102,HTTPS,1514,443,50326,,,,,
19,1720703862.394247000,192.168.56.101,192.168.56.102,HTTPS,304,443,50326,,,,,
20,1720703862.394280000,192.168.56.102,192.168.56.101,HTTPS,54,50326,443,,,,,
21,1720703862.395501000,192.168.56.102,192.168.56.101,HTTPS,118,50326,443,,,,,
22,1720703862.395594000,192.168.56.102,192.168.56.101,HTTPS,844,50326,443,,,,,
23,1720703862.395771000,192.168.56.101,192.168.56.102,HTTPS,60,443,50326,,,,,
24,1720703862.396030000,192.168.56.101,192.168.56.102,HTTPS,157,443,50326,,,,,
25,1720703862.405368000,192.168.56.102,192.168.56.101,HTTPS,78,50326,443,,,,,
26,1720703862.405563000,192.168.56.102,192.168.56.101,HTTPS,54,50326,443,,,,,
27,1720703862.405806000,192.168.56.101,192.168.56.102,HTTPS,78,443,50326,,,,,
28,1720703862.405843000,192.168.56.102,192.168.56.101,HTTPS,54,50326,443,,,,,
29,1720703862.405942000,192.168.56.101,192.168.56.102,HTTPS,60,443,50326,,,,,
30,1720703862.428398000,192.168.56.101,192.168.56.102,HTTPS,60,443,50325,,,,,
31,1720703865.317104000,192.168.56.101,192.168.56.102,HTTPS,140,443,50325,,,,,
32,1720703865.317426000,192.168.56.102,192.168.56.101,HTTPS,78,50325,443,,,,,
33,1720703865.317554000,192.168.56.102,192.168.56.101,HTTPS,54,50325,443,,,,,
34,1720703865.317631000,192.168.56.101,192.168.56.102,HTTPS,60,443,50325,,,,,
35,1720703865.317753000,192.168.56.101,192.168.56.102,HTTPS,78,443,50325,,,,,
36,1720703865.317789000,192.168.56.102,192.168.56.101,HTTPS,54,50325,443,,,,,
37,1720703865.317805000,192.168.56.102,192.168.56.101,HTTPS,66,50327,443,,,,,
38,1720703865.317862000,192.168.56.101,192.168.56.102,HTTPS,60,443,50325,,,,,
39,1720703865.317973000,192.168.56.101,192.168.56.102,HTTPS,66,443,50327,,,,,
40,1720703865.318009000,192.168.56.102,192.168.56.101,HTTPS,54,50327,443,,,,,
41,1720703865.318288000,192.168.56.102,192.168.56.101,HTTPS,293,50327,443,,,,,
42,1720703865.318429000,192.168.56.101,192.168.56.102,HTTPS,60,443,50327,,,,,
43,1720703865.330586000,192.168.56.101,192.168.56.102,HTTPS,1514,443,50327,,,,,
44,1720703865.330586000,192.168.56.101,192.168.56.102,HTTPS,304,443,50327,,,,,
