"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","1.000277","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"3","2.004885","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4","3.019867","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5","15.406298","192.168.56.102","192.168.56.101","TCP","66","49766  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","15.406507","192.168.56.101","192.168.56.102","TCP","60","8888  >  49766 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","15.909633","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49766  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","15.909953","192.168.56.101","192.168.56.102","TCP","60","8888  >  49766 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","16.421514","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49766  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","16.421854","192.168.56.101","192.168.56.102","TCP","60","8888  >  49766 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","16.937097","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49766  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","16.937415","192.168.56.101","192.168.56.102","TCP","60","8888  >  49766 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","17.452942","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49766  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","17.453203","192.168.56.101","192.168.56.102","TCP","60","8888  >  49766 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","20.282843","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"16","20.283092","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"17","20.480192","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"18","20.480214","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"19","77.457947","192.168.56.102","192.168.56.101","TCP","66","49767  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"20","77.458292","192.168.56.101","192.168.56.102","TCP","66","8888  >  49767 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"21","77.458360","192.168.56.102","192.168.56.101","TCP","54","49767  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"22","77.458781","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"23","77.459033","192.168.56.101","192.168.56.102","TCP","60","8888  >  49767 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"24","77.459747","192.168.56.101","192.168.56.102","TLSv1.3","929","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"25","77.493536","192.168.56.102","192.168.56.101","TLSv1.3","739","Change Cipher Spec, Application Data, Application Data, Application Data"
"26","77.498120","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"27","77.498137","192.168.56.102","192.168.56.101","TLSv1.3","501","Application Data"
"28","77.498336","192.168.56.101","192.168.56.102","TCP","60","8888  >  49767 [ACK] Seq=876 Ack=1398 Win=31872 Len=0"
"29","78.502610","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"30","78.502663","192.168.56.102","192.168.56.101","TCP","54","49767  >  8888 [FIN, ACK] Seq=1422 Ack=876 Win=261888 Len=0"
"31","78.503197","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"32","78.503239","192.168.56.102","192.168.56.101","TCP","54","49767  >  8888 [RST, ACK] Seq=1423 Ack=900 Win=0 Len=0"
"33","78.503344","192.168.56.101","192.168.56.102","TCP","60","8888  >  49767 [FIN, ACK] Seq=900 Ack=1423 Win=31872 Len=0"
"34","78.503844","192.168.56.102","192.168.56.101","TCP","66","49768  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"35","78.504001","192.168.56.101","192.168.56.102","TCP","66","8888  >  49768 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"36","78.504035","192.168.56.102","192.168.56.101","TCP","54","49768  >  8888 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"37","78.504245","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"38","78.504397","192.168.56.101","192.168.56.102","TCP","60","8888  >  49768 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"39","78.505055","192.168.56.101","192.168.56.102","TLSv1.3","929","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"40","78.519089","192.168.56.102","192.168.56.101","TLSv1.3","739","Change Cipher Spec, Application Data, Application Data, Application Data"
"41","78.519176","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"42","78.519197","192.168.56.102","192.168.56.101","TLSv1.3","120","Application Data"
"43","78.521742","192.168.56.101","192.168.56.102","TCP","60","8888  >  49768 [ACK] Seq=876 Ack=1017 Win=31872 Len=0"
"44","78.522646","192.168.56.101","192.168.56.102","TLSv1.3","80","Application Data"
"45","78.522701","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"46","78.522719","192.168.56.102","192.168.56.101","TCP","54","49768  >  8888 [ACK] Seq=1017 Ack=926 Win=2096896 Len=0"
"47","79.536187","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"48","79.536235","192.168.56.102","192.168.56.101","TCP","54","49768  >  8888 [FIN, ACK] Seq=1041 Ack=926 Win=2096896 Len=0"
"49","79.536808","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"50","79.536808","192.168.56.101","192.168.56.102","TCP","60","8888  >  49768 [FIN, ACK] Seq=950 Ack=1042 Win=31872 Len=0"
"51","79.536841","192.168.56.102","192.168.56.101","TCP","54","49768  >  8888 [RST, ACK] Seq=1042 Ack=950 Win=0 Len=0"
"52","102.274172","192.168.56.102","192.168.56.100","DHCP","356","DHCP Request  - Transaction ID 0xb0af1469"
"53","102.279297","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0xb0af1469"
"54","102.283050","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"55","102.283050","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"56","102.287849","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"57","102.287889","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"58","102.289131","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"59","102.289336","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"60","102.289588","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"61","102.289608","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
