"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","1.013574","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"3","2.024941","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4","3.028872","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5","8.087934","192.168.56.102","192.168.56.101","TCP","66","49679  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","8.088137","192.168.56.101","192.168.56.102","TCP","60","8888  >  49679 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","8.602603","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49679  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","8.602859","192.168.56.101","192.168.56.102","TCP","60","8888  >  49679 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","9.109029","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49679  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","9.109242","192.168.56.101","192.168.56.102","TCP","60","8888  >  49679 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","9.633859","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49679  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","9.634171","192.168.56.101","192.168.56.102","TCP","60","8888  >  49679 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","10.137751","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49679  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","10.138009","192.168.56.101","192.168.56.102","TCP","60","8888  >  49679 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
