,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1725010558.370690000,0,0,,60,0,0,,,,,,,,
1,1725010558.370706000,0,0,,42,0,0,,,,,,,,
2,1725010563.841530000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
3,1725010563.841838000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
4,1725010563.849217000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
5,1725010563.849475000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
6,1725010564.846548000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
7,1725010564.846802000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
8,1725010564.847083000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
9,1725010564.847319000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
10,1725010604.217656000,192.168.56.102,192.168.56.101,TCP,66,49696,80,,,,,,,,
11,1725010604.218024000,192.168.56.101,192.168.56.102,TCP,66,80,49696,,,,,,,,
12,1725010604.218102000,192.168.56.102,192.168.56.101,TCP,54,49696,80,,,,,,,,
13,1725010604.218142000,192.168.56.102,192.168.56.101,HTTP,221,49696,80,GET,,/javascript/backbone.js,,python-requests/2.32.3,,,
14,1725010604.218424000,192.168.56.101,192.168.56.102,TCP,60,80,49696,,,,,,,,
15,1725010604.218954000,192.168.56.101,192.168.56.102,TCP,146,80,49696,,,,,,,,
16,1725010604.219060000,192.168.56.101,192.168.56.102,HTTP,60,80,49696,,200,,,,,,
17,1725010604.219075000,192.168.56.102,192.168.56.101,TCP,54,49696,80,,,,,,,,
18,1725010604.219365000,192.168.56.102,192.168.56.101,TCP,54,49696,80,,,,,,,,
19,1725010604.219614000,192.168.56.101,192.168.56.102,TCP,60,80,49696,,,,,,,,
20,1725010609.535098000,0,0,,60,0,0,,,,,,,,
21,1725010609.535117000,0,0,,42,0,0,,,,,,,,
22,1725010654.834380000,192.168.56.102,192.168.56.101,TCP,66,49697,80,,,,,,,,
23,1725010654.834731000,192.168.56.101,192.168.56.102,TCP,66,80,49697,,,,,,,,
24,1725010654.834808000,192.168.56.102,192.168.56.101,TCP,54,49697,80,,,,,,,,
25,1725010654.834845000,192.168.56.102,192.168.56.101,HTTP,217,49697,80,GET,,/assets/backbone.js,,python-requests/2.32.3,,,
26,1725010654.835062000,192.168.56.101,192.168.56.102,TCP,60,80,49697,,,,,,,,
