,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1721136189.108124000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
1,1721136189.108495000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
2,1721136190.108211000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
3,1721136190.108551000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
4,1721136191.770032000,192.168.56.102,192.168.56.101,TCP,66,49731,443,,,,
5,1721136191.770238000,192.168.56.101,192.168.56.102,TCP,60,443,49731,,,,
6,1721136192.284867000,192.168.56.102,192.168.56.101,TCP,66,49731,443,,,,
7,1721136192.285100000,192.168.56.101,192.168.56.102,TCP,60,443,49731,,,,
8,1721136192.794493000,192.168.56.102,192.168.56.101,TCP,66,49731,443,,,,
9,1721136192.794770000,192.168.56.101,192.168.56.102,TCP,60,443,49731,,,,
10,1721136193.312226000,192.168.56.102,192.168.56.101,TCP,66,49731,443,,,,
11,1721136193.312444000,192.168.56.101,192.168.56.102,TCP,60,443,49731,,,,
12,1721136193.817575000,192.168.56.102,192.168.56.101,TCP,66,49731,443,,,,
13,1721136193.817783000,192.168.56.101,192.168.56.102,TCP,60,443,49731,,,,
14,1721136193.820464000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
15,1721136193.820577000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,
16,1721136194.330460000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
17,1721136194.330695000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,
18,1721136194.841406000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
19,1721136194.841670000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,
20,1721136195.359159000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
21,1721136195.359389000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,
22,1721136195.861818000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
23,1721136195.862065000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,
24,1721136196.453800000,0,0,,42,0,0,,,,
25,1721136196.454066000,0,0,,60,0,0,,,,
26,1721136196.843372000,0,0,,60,0,0,,,,
27,1721136196.843405000,0,0,,42,0,0,,,,
28,1721136218.494854000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,
29,1721136219.499187000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,
30,1721136220.501702000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,
31,1721136221.513495000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,
32,1721136255.876707000,192.168.56.102,192.168.56.101,TCP,66,49733,443,,,,
33,1721136255.876991000,192.168.56.101,192.168.56.102,TCP,60,443,49733,,,,
34,1721136256.385593000,192.168.56.102,192.168.56.101,TCP,66,49733,443,,,,
35,1721136256.385847000,192.168.56.101,192.168.56.102,TCP,60,443,49733,,,,
36,1721136256.897352000,192.168.56.102,192.168.56.101,TCP,66,49733,443,,,,
37,1721136256.897611000,192.168.56.101,192.168.56.102,TCP,60,443,49733,,,,
38,1721136257.406339000,192.168.56.102,192.168.56.101,TCP,66,49733,443,,,,
39,1721136257.406633000,192.168.56.101,192.168.56.102,TCP,60,443,49733,,,,
40,1721136257.919246000,192.168.56.102,192.168.56.101,TCP,66,49733,443,,,,
41,1721136257.919486000,192.168.56.101,192.168.56.102,TCP,60,443,49733,,,,
42,1721136257.924299000,192.168.56.102,192.168.56.101,TCP,66,49734,80,,,,
43,1721136257.924500000,192.168.56.101,192.168.56.102,TCP,66,80,49734,,,,
44,1721136257.924536000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,
45,1721136257.924763000,192.168.56.102,192.168.56.101,HTTP,924,49734,80,POST,/database/php/db/db/database/oauth2callback/oauth2callback/samples.html?k=57927733&kf=80768057,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
46,1721136257.924943000,192.168.56.101,192.168.56.102,TCP,60,80,49734,,,,
47,1721136257.926560000,192.168.56.101,192.168.56.102,HTTP,461,80,49734,,,,
48,1721136257.931513000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,
49,1721136257.931637000,192.168.56.102,192.168.56.101,TCP,66,49735,80,,,,
50,1721136257.931807000,192.168.56.101,192.168.56.102,TCP,66,80,49735,,,,
51,1721136257.931857000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,
52,1721136257.931918000,192.168.56.101,192.168.56.102,TCP,60,80,49734,,,,
53,1721136257.931933000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,
54,1721136257.932050000,192.168.56.102,192.168.56.101,HTTP,997,49735,80,POST,/oauth2callback/database/api.php?q=2206_3514,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
55,1721136257.932178000,192.168.56.101,192.168.56.102,TCP,60,80,49735,,,,
56,1721136257.940034000,192.168.56.101,192.168.56.102,HTTP,135,80,49735,,,,
57,1721136257.950994000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,
58,1721136257.951177000,192.168.56.101,192.168.56.102,TCP,60,80,49735,,,,
59,1721136257.951191000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,
60,1721136258.947961000,192.168.56.102,192.168.56.101,TCP,66,49736,80,,,,
61,1721136258.948292000,192.168.56.101,192.168.56.102,TCP,66,80,49736,,,,
62,1721136258.948340000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,
63,1721136258.948614000,192.168.56.102,192.168.56.101,HTTP,543,49736,80,POST,/api.php?u=68q75510i7,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
64,1721136258.948868000,192.168.56.101,192.168.56.102,TCP,60,80,49736,,,,
65,1721136258.949468000,192.168.56.101,192.168.56.102,HTTP,135,80,49736,,,,
66,1721136258.949696000,192.168.56.102,192.168.56.101,HTTP,535,49736,80,GET,/bundles/route.js?o=97658832,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
67,1721136258.950075000,192.168.56.101,192.168.56.102,HTTP,249,80,49736,,,,
68,1721136258.963664000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,
69,1721136258.963920000,192.168.56.101,192.168.56.102,TCP,60,80,49736,,,,
70,1721136258.963939000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,
