"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.1","224.0.0.251","MDNS","200","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question"
"2","0.000236","fe80::800:27ff:fe00:0","ff02::fb","MDNS","220","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question"
"3","38.039971","192.168.56.102","192.168.56.101","TCP","55","49752  >  80 [ACK] Seq=1 Ack=1 Win=1026 Len=1"
"4","38.040271","192.168.56.101","192.168.56.102","TCP","60","80  >  49752 [ACK] Seq=1 Ack=2 Win=249 Len=0"
"5","43.189696","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"6","43.189711","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"7","63.961596","192.168.56.102","192.168.56.100","DHCP","356","DHCP Request  - Transaction ID 0xf6bb3c1c"
"8","63.966558","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0xf6bb3c1c"
"9","63.970901","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","63.970913","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"11","63.976184","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"12","63.976291","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"13","63.976614","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"14","63.976628","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"15","63.976731","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"16","63.976850","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"17","63.977456","192.168.56.102","224.0.0.251","MDNS","80","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"18","63.977771","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","100","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"19","63.977949","fe80::9c4f:4e27:e09a:8d13","ff02::1:3","LLMNR","94","Standard query 0xbed1 ANY WinDev2404Eval"
