"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49840  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000196","192.168.56.101","192.168.56.102","TCP","60","443  >  49840 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.512221","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49840  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.512476","192.168.56.101","192.168.56.102","TCP","60","443  >  49840 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.025205","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49840  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.025534","192.168.56.101","192.168.56.102","TCP","60","443  >  49840 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.532998","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49840  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.533248","192.168.56.101","192.168.56.102","TCP","60","443  >  49840 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.044825","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49840  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.045136","192.168.56.101","192.168.56.102","TCP","60","443  >  49840 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.048814","192.168.56.102","192.168.56.101","TCP","66","49841  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.049071","192.168.56.101","192.168.56.102","TCP","66","80  >  49841 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.049154","192.168.56.102","192.168.56.101","TCP","54","49841  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"14","2.049522","192.168.56.102","192.168.56.101","HTTP","764","POST /oauth2callback/auth/auth/oauth/database/api.html?lv=v68009960&x=9366160w6 HTTP/1.1 "
"15","2.049786","192.168.56.101","192.168.56.102","TCP","60","80  >  49841 [ACK] Seq=1 Ack=711 Win=31872 Len=0"
"16","2.051981","192.168.56.101","192.168.56.102","HTTP","441","HTTP/1.1 200 OK  (text/plain)"
"17","2.052500","192.168.56.102","192.168.56.101","TCP","54","49841  >  80 [FIN, ACK] Seq=711 Ack=388 Win=262400 Len=0"
"18","2.052831","192.168.56.101","192.168.56.102","TCP","60","80  >  49841 [FIN, ACK] Seq=388 Ack=712 Win=31872 Len=0"
"19","2.052853","192.168.56.102","192.168.56.101","TCP","54","49841  >  80 [ACK] Seq=712 Ack=389 Win=262400 Len=0"
"20","2.053024","192.168.56.102","192.168.56.101","TCP","66","49842  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","2.053213","192.168.56.101","192.168.56.102","TCP","66","80  >  49842 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"22","2.053257","192.168.56.102","192.168.56.101","TCP","54","49842  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"23","2.053894","192.168.56.102","192.168.56.101","HTTP","534","GET /assets/script.js?y=31003024 HTTP/1.1 "
"24","2.054103","192.168.56.101","192.168.56.102","TCP","60","80  >  49842 [ACK] Seq=1 Ack=481 Win=31872 Len=0"
"25","2.058807","192.168.56.102","192.168.56.101","TCP","66","49843  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","2.059059","192.168.56.101","192.168.56.102","TCP","66","80  >  49843 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"27","2.059116","192.168.56.102","192.168.56.101","TCP","54","49843  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"28","2.059254","192.168.56.102","192.168.56.101","HTTP","886","POST /oauth/authenticate/oauth2/oauth2callback/api.php?m=1z1357261 HTTP/1.1 "
"29","2.059407","192.168.56.101","192.168.56.102","TCP","60","80  >  49843 [ACK] Seq=1 Ack=833 Win=31872 Len=0"
"30","2.059717","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"31","2.075893","192.168.56.102","192.168.56.101","TCP","54","49843  >  80 [FIN, ACK] Seq=833 Ack=82 Win=262656 Len=0"
"32","2.076076","192.168.56.101","192.168.56.102","TCP","60","80  >  49843 [FIN, ACK] Seq=82 Ack=834 Win=31872 Len=0"
"33","2.076094","192.168.56.102","192.168.56.101","TCP","54","49843  >  80 [ACK] Seq=834 Ack=83 Win=262656 Len=0"
"34","3.231068","192.168.56.101","192.168.56.102","HTTP","118","HTTP/1.1 204 No Content "
"35","3.231471","192.168.56.102","192.168.56.101","TCP","54","49842  >  80 [FIN, ACK] Seq=481 Ack=65 Win=262656 Len=0"
"36","3.231601","192.168.56.102","192.168.56.101","TCP","66","49844  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"37","3.231757","192.168.56.101","192.168.56.102","TCP","66","80  >  49844 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"38","3.231814","192.168.56.102","192.168.56.101","TCP","54","49844  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"39","3.231871","192.168.56.101","192.168.56.102","TCP","60","80  >  49842 [FIN, ACK] Seq=65 Ack=482 Win=31872 Len=0"
"40","3.231887","192.168.56.102","192.168.56.101","TCP","54","49842  >  80 [ACK] Seq=482 Ack=66 Win=262656 Len=0"
"41","3.231996","192.168.56.102","192.168.56.101","HTTP","530","GET /bootstrap.js?_=87210822 HTTP/1.1 "
"42","3.232173","192.168.56.101","192.168.56.102","TCP","60","80  >  49844 [ACK] Seq=1 Ack=477 Win=31872 Len=0"
