"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49971  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000248","192.168.56.101","192.168.56.102","TCP","60","443  >  49971 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.512784","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49971  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.513030","192.168.56.101","192.168.56.102","TCP","60","443  >  49971 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","0.516485","192.168.56.102","192.168.56.101","TCP","66","49972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","0.516716","192.168.56.101","192.168.56.102","TCP","60","80  >  49972 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.022025","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.022322","192.168.56.101","192.168.56.102","TCP","60","80  >  49972 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","1.535040","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","1.535330","192.168.56.101","192.168.56.102","TCP","60","80  >  49972 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.046805","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.047103","192.168.56.101","192.168.56.102","TCP","60","80  >  49972 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","2.554089","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49972  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","2.554420","192.168.56.101","192.168.56.102","TCP","60","80  >  49972 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","3.463736","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"16","3.463940","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"17","3.574356","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"18","3.574371","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"19","62.562240","192.168.56.102","192.168.56.101","TCP","66","49973  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
