,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720703124.593760000,192.168.56.102,192.168.56.101,TCP,66,49985,443,,,,
1,1720703124.593955000,192.168.56.101,192.168.56.102,TCP,60,443,49985,,,,
2,1720703125.095836000,192.168.56.102,192.168.56.101,TCP,66,49985,443,,,,
3,1720703125.096093000,192.168.56.101,192.168.56.102,TCP,60,443,49985,,,,
4,1720703125.601969000,192.168.56.102,192.168.56.101,TCP,66,49985,443,,,,
5,1720703125.602173000,192.168.56.101,192.168.56.102,TCP,60,443,49985,,,,
6,1720703126.110678000,192.168.56.102,192.168.56.101,TCP,66,49985,443,,,,
7,1720703126.110926000,192.168.56.101,192.168.56.102,TCP,60,443,49985,,,,
8,1720703126.625146000,192.168.56.102,192.168.56.101,TCP,66,49985,443,,,,
9,1720703126.625385000,192.168.56.101,192.168.56.102,TCP,60,443,49985,,,,
10,1720703126.629971000,192.168.56.102,192.168.56.101,TCP,66,49986,80,,,,
11,1720703126.630403000,192.168.56.101,192.168.56.102,TCP,60,80,49986,,,,
12,1720703127.132481000,192.168.56.102,192.168.56.101,TCP,66,49986,80,,,,
13,1720703127.132733000,192.168.56.101,192.168.56.102,TCP,60,80,49986,,,,
14,1720703127.647948000,192.168.56.102,192.168.56.101,TCP,66,49986,80,,,,
15,1720703127.648183000,192.168.56.101,192.168.56.102,TCP,60,80,49986,,,,
16,1720703128.156727000,192.168.56.102,192.168.56.101,TCP,66,49986,80,,,,
17,1720703128.156973000,192.168.56.101,192.168.56.102,TCP,60,80,49986,,,,
18,1720703128.670999000,192.168.56.102,192.168.56.101,TCP,66,49986,80,,,,
19,1720703128.671383000,192.168.56.101,192.168.56.102,TCP,60,80,49986,,,,
20,1720703129.405057000,0,0,,42,0,0,,,,
21,1720703129.405280000,0,0,,60,0,0,,,,
22,1720703129.783567000,0,0,,60,0,0,,,,
23,1720703129.783591000,0,0,,42,0,0,,,,
24,1720703188.685657000,192.168.56.102,192.168.56.101,TCP,66,49987,443,,,,
25,1720703188.685961000,192.168.56.101,192.168.56.102,TCP,66,443,49987,,,,
26,1720703188.686015000,192.168.56.102,192.168.56.101,TCP,54,49987,443,,,,
27,1720703188.686382000,192.168.56.102,192.168.56.101,TCP,293,49987,443,,,,
28,1720703188.686601000,192.168.56.101,192.168.56.102,TCP,60,443,49987,,,,
29,1720703188.697872000,192.168.56.101,192.168.56.102,TCP,1514,443,49987,,,,
30,1720703188.697872000,192.168.56.101,192.168.56.102,TCP,304,443,49987,,,,
31,1720703188.697898000,192.168.56.102,192.168.56.101,TCP,54,49987,443,,,,
32,1720703188.698973000,192.168.56.102,192.168.56.101,TCP,118,49987,443,,,,
33,1720703188.699191000,192.168.56.102,192.168.56.101,TCP,1262,49987,443,,,,
34,1720703188.699217000,192.168.56.102,192.168.56.101,TCP,1640,49987,443,,,,
35,1720703188.699355000,192.168.56.101,192.168.56.102,TCP,60,443,49987,,,,
36,1720703188.712643000,192.168.56.101,192.168.56.102,TCP,1190,443,49987,,,,
37,1720703188.713055000,192.168.56.102,192.168.56.101,TCP,78,49987,443,,,,
38,1720703188.713138000,192.168.56.102,192.168.56.101,TCP,54,49987,443,,,,
39,1720703188.713367000,192.168.56.101,192.168.56.102,TCP,78,443,49987,,,,
40,1720703188.713367000,192.168.56.101,192.168.56.102,TCP,60,443,49987,,,,
41,1720703188.713395000,192.168.56.102,192.168.56.101,TCP,54,49987,443,,,,
42,1720703188.713615000,192.168.56.102,192.168.56.101,TCP,66,49988,443,,,,
43,1720703188.713756000,192.168.56.101,192.168.56.102,TCP,66,443,49988,,,,
