"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49689  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000210","192.168.56.101","192.168.56.102","TCP","66","443  >  49689 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000255","192.168.56.102","192.168.56.101","TCP","54","49689  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"4","0.000517","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000659","192.168.56.101","192.168.56.102","TCP","60","443  >  49689 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.002047","192.168.56.101","192.168.56.102","TLSv1.3","1249","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"7","0.002546","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"8","0.002656","192.168.56.102","192.168.56.101","TLSv1.3","1262","Application Data"
"9","0.002692","192.168.56.102","192.168.56.101","TLSv1.3","1720","Application Data"
"10","0.002792","192.168.56.101","192.168.56.102","TCP","60","443  >  49689 [ACK] Seq=1196 Ack=3178 Win=31872 Len=0"
"11","0.004050","192.168.56.101","192.168.56.102","TLSv1.3","1184","Application Data"
"12","0.007831","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"13","0.007874","192.168.56.102","192.168.56.101","TCP","54","49689  >  443 [FIN, ACK] Seq=3202 Ack=2326 Win=262656 Len=0"
"14","0.007935","192.168.56.102","192.168.56.101","TCP","66","49690  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","0.008039","192.168.56.101","192.168.56.102","TCP","66","443  >  49690 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"16","0.008071","192.168.56.102","192.168.56.101","TCP","54","49690  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"17","0.008138","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"18","0.008138","192.168.56.101","192.168.56.102","TCP","60","443  >  49689 [FIN, ACK] Seq=2350 Ack=3203 Win=31872 Len=0"
"19","0.008162","192.168.56.102","192.168.56.101","TCP","54","49689  >  443 [RST, ACK] Seq=3203 Ack=2350 Win=0 Len=0"
"20","0.008356","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"21","0.008469","192.168.56.101","192.168.56.102","TCP","60","443  >  49690 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"22","0.009908","192.168.56.101","192.168.56.102","TLSv1.3","1249","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"23","0.010323","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"24","0.010417","192.168.56.102","192.168.56.101","TLSv1.3","987","Application Data"
"25","0.010522","192.168.56.101","192.168.56.102","TCP","60","443  >  49690 [ACK] Seq=1196 Ack=1237 Win=31872 Len=0"
"26","0.018288","192.168.56.101","192.168.56.102","TLSv1.3","157","Application Data"
"27","0.018424","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"28","0.018494","192.168.56.102","192.168.56.101","TCP","54","49690  >  443 [FIN, ACK] Seq=1261 Ack=1299 Win=261376 Len=0"
