,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722422863.105230000,0,0,,42,0,0,,,,
1,1722422863.105444000,0,0,,60,0,0,,,,
2,1722422863.105453000,192.168.56.102,192.168.56.101,TCP,66,49673,443,,,,
3,1722422863.105582000,192.168.56.101,192.168.56.102,TCP,60,443,49673,,,,
4,1722422863.620061000,192.168.56.102,192.168.56.101,TCP,66,49673,443,,,,
5,1722422863.620330000,192.168.56.101,192.168.56.102,TCP,60,443,49673,,,,
6,1722422864.147378000,192.168.56.102,192.168.56.101,TCP,66,49673,443,,,,
7,1722422864.147631000,192.168.56.101,192.168.56.102,TCP,60,443,49673,,,,
8,1722422864.663203000,192.168.56.102,192.168.56.101,TCP,66,49673,443,,,,
9,1722422864.663453000,192.168.56.101,192.168.56.102,TCP,60,443,49673,,,,
10,1722422865.170799000,192.168.56.102,192.168.56.101,TCP,66,49673,443,,,,
11,1722422865.171049000,192.168.56.101,192.168.56.102,TCP,60,443,49673,,,,
12,1722422865.175595000,192.168.56.102,192.168.56.101,TCP,66,49674,80,,,,
13,1722422865.175804000,192.168.56.101,192.168.56.102,TCP,66,80,49674,,,,
14,1722422865.175857000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
15,1722422865.180750000,192.168.56.102,192.168.56.101,HTTP,700,49674,80,POST,/database/samples.html?a=6021r8637&gm=2773197y2,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.8657.382 Safari/537.36"
16,1722422865.180898000,192.168.56.101,192.168.56.102,TCP,60,80,49674,,,,
17,1722422865.183685000,192.168.56.101,192.168.56.102,HTTP,409,80,49674,,,,
18,1722422865.190201000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
19,1722422865.190486000,192.168.56.101,192.168.56.102,TCP,60,80,49674,,,,
20,1722422865.190535000,192.168.56.102,192.168.56.101,TCP,54,49674,80,,,,
