"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49958  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000213","192.168.56.101","192.168.56.102","TCP","66","443  >  49958 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000257","192.168.56.102","192.168.56.101","TCP","54","49958  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"4","0.000507","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000640","192.168.56.101","192.168.56.102","TCP","60","443  >  49958 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.032500","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"7","0.032500","192.168.56.101","192.168.56.102","TLSv1.3","318","Application Data, Application Data"
"8","0.032540","192.168.56.102","192.168.56.101","TCP","54","49958  >  443 [ACK] Seq=240 Ack=1725 Win=262656 Len=0"
"9","0.033868","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"10","0.034028","192.168.56.102","192.168.56.101","TLSv1.3","719","Application Data"
"11","0.034187","192.168.56.101","192.168.56.102","TCP","60","443  >  49958 [ACK] Seq=1725 Ack=969 Win=31872 Len=0"
"12","0.035189","192.168.56.101","192.168.56.102","TLSv1.3","457","Application Data"
"13","0.036257","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"14","0.036358","192.168.56.102","192.168.56.101","TCP","54","49958  >  443 [FIN, ACK] Seq=993 Ack=2128 Win=262144 Len=0"
"15","0.036433","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"16","0.036433","192.168.56.101","192.168.56.102","TCP","60","443  >  49958 [FIN, ACK] Seq=2152 Ack=993 Win=31872 Len=0"
"17","0.036452","192.168.56.102","192.168.56.101","TCP","54","49958  >  443 [RST, ACK] Seq=994 Ack=2152 Win=0 Len=0"
"18","0.036549","192.168.56.101","192.168.56.102","TCP","60","443  >  49958 [ACK] Seq=2153 Ack=994 Win=31872 Len=0"
"19","0.036553","192.168.56.102","192.168.56.101","TCP","66","49959  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"20","0.036667","192.168.56.101","192.168.56.102","TCP","66","443  >  49959 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"21","0.036692","192.168.56.102","192.168.56.101","TCP","54","49959  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"22","0.036862","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"23","0.037001","192.168.56.101","192.168.56.102","TCP","60","443  >  49959 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"24","0.039614","192.168.56.102","192.168.56.101","TCP","66","49960  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","0.039717","192.168.56.101","192.168.56.102","TCP","66","443  >  49960 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"26","0.039737","192.168.56.102","192.168.56.101","TCP","54","49960  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"27","0.039878","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"28","0.039978","192.168.56.101","192.168.56.102","TCP","60","443  >  49960 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"29","0.045971","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"30","0.045971","192.168.56.101","192.168.56.102","TLSv1.3","318","Application Data, Application Data"
"31","0.046025","192.168.56.102","192.168.56.101","TCP","54","49959  >  443 [ACK] Seq=240 Ack=1725 Win=2097920 Len=0"
"32","0.047098","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"33","0.047169","192.168.56.102","192.168.56.101","TLSv1.3","517","Application Data"
"34","0.047277","192.168.56.101","192.168.56.102","TCP","60","443  >  49959 [ACK] Seq=1725 Ack=767 Win=31872 Len=0"
"35","0.054199","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"36","0.054199","192.168.56.101","192.168.56.102","TLSv1.3","318","Application Data, Application Data"
"37","0.054223","192.168.56.102","192.168.56.101","TCP","54","49960  >  443 [ACK] Seq=240 Ack=1725 Win=2097920 Len=0"
"38","0.055169","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"39","0.055229","192.168.56.102","192.168.56.101","TLSv1.3","753","Application Data"
"40","0.055344","192.168.56.101","192.168.56.102","TCP","60","443  >  49960 [ACK] Seq=1725 Ack=1003 Win=31872 Len=0"
"41","0.055524","192.168.56.101","192.168.56.102","TLSv1.3","157","Application Data"
"42","0.074585","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"43","0.074677","192.168.56.102","192.168.56.101","TCP","54","49960  >  443 [FIN, ACK] Seq=1027 Ack=1828 Win=2097664 Len=0"
"44","0.074851","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"45","0.074871","192.168.56.102","192.168.56.101","TCP","54","49960  >  443 [RST, ACK] Seq=1028 Ack=1852 Win=0 Len=0"
"46","0.074946","192.168.56.101","192.168.56.102","TCP","60","443  >  49960 [FIN, ACK] Seq=1852 Ack=1028 Win=31872 Len=0"
"47","1.455957","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"48","1.456460","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"49","1.456579","192.168.56.102","192.168.56.101","TCP","54","49959  >  443 [FIN, ACK] Seq=791 Ack=1811 Win=2097920 Len=0"
"50","1.456849","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"51","1.456849","192.168.56.101","192.168.56.102","TCP","60","443  >  49959 [FIN, ACK] Seq=1835 Ack=792 Win=31872 Len=0"
"52","1.456943","192.168.56.102","192.168.56.101","TCP","54","49959  >  443 [RST, ACK] Seq=792 Ack=1835 Win=0 Len=0"
"53","1.457388","192.168.56.102","192.168.56.101","TCP","66","49961  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"54","1.457597","192.168.56.101","192.168.56.102","TCP","66","443  >  49961 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"55","1.457640","192.168.56.102","192.168.56.101","TCP","54","49961  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"56","1.457917","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"57","1.458174","192.168.56.101","192.168.56.102","TCP","60","443  >  49961 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"58","1.468279","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"59","1.468279","192.168.56.101","192.168.56.102","TLSv1.3","318","Application Data, Application Data"
"60","1.468339","192.168.56.102","192.168.56.101","TCP","54","49961  >  443 [ACK] Seq=240 Ack=1725 Win=2097920 Len=0"
"61","1.469631","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"62","1.469734","192.168.56.102","192.168.56.101","TLSv1.3","521","Application Data"
"63","1.469879","192.168.56.101","192.168.56.102","TCP","60","443  >  49961 [ACK] Seq=1725 Ack=771 Win=31872 Len=0"
"64","3.635398","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"65","3.635613","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"66","3.635662","192.168.56.102","192.168.56.101","TCP","54","49961  >  443 [FIN, ACK] Seq=795 Ack=1811 Win=2097920 Len=0"
"67","3.635840","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"68","3.635840","192.168.56.101","192.168.56.102","TCP","60","443  >  49961 [FIN, ACK] Seq=1835 Ack=796 Win=31872 Len=0"
"69","3.635867","192.168.56.102","192.168.56.101","TCP","54","49961  >  443 [RST, ACK] Seq=796 Ack=1835 Win=0 Len=0"
"70","3.635990","192.168.56.102","192.168.56.101","TCP","66","49962  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"71","3.636107","192.168.56.101","192.168.56.102","TCP","66","443  >  49962 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"72","3.636132","192.168.56.102","192.168.56.101","TCP","54","49962  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"73","3.636414","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"74","3.636539","192.168.56.101","192.168.56.102","TCP","60","443  >  49962 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"75","3.644952","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"76","3.644952","192.168.56.101","192.168.56.102","TLSv1.3","318","Application Data, Application Data"
"77","3.645003","192.168.56.102","192.168.56.101","TCP","54","49962  >  443 [ACK] Seq=240 Ack=1725 Win=2097920 Len=0"
"78","3.646454","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"79","3.646596","192.168.56.102","192.168.56.101","TLSv1.3","523","Application Data"
"80","3.646815","192.168.56.101","192.168.56.102","TCP","60","443  >  49962 [ACK] Seq=1725 Ack=773 Win=31872 Len=0"
"81","5.435022","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"82","5.435296","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"83","5.435423","192.168.56.102","192.168.56.101","TCP","54","49962  >  443 [FIN, ACK] Seq=797 Ack=1811 Win=2097920 Len=0"
"84","5.435587","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"85","5.435587","192.168.56.101","192.168.56.102","TCP","60","443  >  49962 [FIN, ACK] Seq=1835 Ack=798 Win=31872 Len=0"
"86","5.435621","192.168.56.102","192.168.56.101","TCP","54","49962  >  443 [RST, ACK] Seq=798 Ack=1835 Win=0 Len=0"
"87","5.435702","192.168.56.102","192.168.56.101","TCP","66","49963  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"88","5.435861","192.168.56.101","192.168.56.102","TCP","66","443  >  49963 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"89","5.435895","192.168.56.102","192.168.56.101","TCP","54","49963  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
