"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000237","192.168.56.101","192.168.56.102","TCP","60","443  >  49739 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.513912","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.514174","192.168.56.101","192.168.56.102","TCP","60","443  >  49739 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.037510","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.037754","192.168.56.101","192.168.56.102","TCP","60","443  >  49739 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.543490","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.543783","192.168.56.101","192.168.56.102","TCP","60","443  >  49739 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.052309","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49739  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.052560","192.168.56.101","192.168.56.102","TCP","60","443  >  49739 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.056095","192.168.56.102","192.168.56.101","TCP","66","49740  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.056260","192.168.56.101","192.168.56.102","TCP","66","80  >  49740 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.056304","192.168.56.102","192.168.56.101","TCP","54","49740  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"14","2.056534","192.168.56.102","192.168.56.101","HTTP","1600","POST /api.html?c=9f8584832&et=25537719 HTTP/1.1 "
"15","2.056698","192.168.56.101","192.168.56.102","TCP","60","80  >  49740 [ACK] Seq=1 Ack=1547 Win=31872 Len=0"
"16","2.058380","192.168.56.101","192.168.56.102","HTTP","816","HTTP/1.1 200 OK  (application/x-gzip)"
"17","2.060064","192.168.56.102","192.168.56.101","TCP","54","49740  >  80 [FIN, ACK] Seq=1547 Ack=763 Win=261888 Len=0"
