,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1725010091.839703000,192.168.56.102,192.168.56.101,TCP,66,49686,80,,,,,,,,
1,1725010091.840229000,192.168.56.101,192.168.56.102,TCP,66,80,49686,,,,,,,,
2,1725010091.840345000,192.168.56.102,192.168.56.101,TCP,54,49686,80,,,,,,,,
3,1725010091.840410000,192.168.56.102,192.168.56.101,HTTP,218,49686,80,GET,,/assets/bootstrap.js,,python-requests/2.32.3,,,
4,1725010091.840586000,192.168.56.101,192.168.56.102,TCP,60,80,49686,,,,,,,,
5,1725010091.841528000,192.168.56.101,192.168.56.102,TCP,146,80,49686,,,,,,,,
6,1725010091.841727000,192.168.56.101,192.168.56.102,HTTP,60,80,49686,,200,,,,,,
7,1725010091.841742000,192.168.56.102,192.168.56.101,TCP,54,49686,80,,,,,,,,
8,1725010091.842341000,192.168.56.102,192.168.56.101,TCP,54,49686,80,,,,,,,,
9,1725010091.842469000,192.168.56.101,192.168.56.102,TCP,60,80,49686,,,,,,,,
10,1725010096.896314000,0,0,,60,0,0,,,,,,,,
11,1725010096.896328000,0,0,,42,0,0,,,,,,,,
12,1725010108.108565000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,,,,
13,1725010108.113271000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,,,,
14,1725010108.116052000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
15,1725010108.116091000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
16,1725010108.120255000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
17,1725010108.120368000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
18,1725010108.120583000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
19,1725010108.120638000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
20,1725010108.120763000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
21,1725010108.120902000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
22,1725010108.121657000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,,,,
23,1725010108.121915000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,,,,
24,1725010108.122187000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,,,,
25,1725010108.122234000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,64528,5355,,,,,,,,
26,1725010108.122338000,192.168.56.102,224.0.0.252,UDP,74,64528,5355,,,,,,,,
