,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1722788123.225159000,10.0.3.15,20.190.177.148,HTTPS,66,49896,443,,,,,,,,
1,1722788123.235660000,10.0.3.15,10.0.3.3,UDP,91,56887,53,,,,,,,,
2,1722788123.251148000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
3,1722788123.251232000,10.0.3.15,20.190.177.148,HTTPS,54,49896,443,,,,,,,,
4,1722788123.253110000,10.0.3.15,20.190.177.148,HTTPS,342,49896,443,,,,,,,,
5,1722788123.253269000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
6,1722788123.260274000,10.0.3.3,10.0.3.15,UDP,225,53,56887,,,,,,,,
7,1722788123.271306000,10.0.3.15,20.90.153.243,HTTPS,301,49676,443,,,,,,,,
8,1722788123.271570000,20.90.153.243,10.0.3.15,HTTPS,60,443,49676,,,,,,,,
9,1722788123.283630000,20.190.177.148,10.0.3.15,HTTPS,1514,443,49896,,,,,,,,
10,1722788123.283630000,20.190.177.148,10.0.3.15,HTTPS,1514,443,49896,,,,,,,,
11,1722788123.283717000,10.0.3.15,20.190.177.148,HTTPS,54,49896,443,,,,,,,,
12,1722788123.283828000,20.190.177.148,10.0.3.15,HTTPS,1092,443,49896,,,,,,,,
13,1722788123.292116000,10.0.3.15,20.190.177.148,HTTPS,212,49896,443,,,,,,,,
14,1722788123.292383000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
15,1722788123.298084000,10.0.3.15,40.127.240.158,HTTPS,66,49897,443,,,,,,,,
16,1722788123.300800000,20.90.153.243,10.0.3.15,HTTPS,232,443,49676,,,,,,,,
17,1722788123.317483000,20.190.177.148,10.0.3.15,HTTPS,105,443,49896,,,,,,,,
18,1722788123.318088000,10.0.3.15,20.190.177.148,HTTPS,353,49896,443,,,,,,,,
19,1722788123.318150000,10.0.3.15,20.190.177.148,HTTPS,4793,49896,443,,,,,,,,
20,1722788123.318271000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
21,1722788123.318271000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
22,1722788123.318271000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
23,1722788123.318271000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
24,1722788123.318271000,20.190.177.148,10.0.3.15,HTTPS,60,443,49896,,,,,,,,
25,1722788123.336467000,40.127.240.158,10.0.3.15,HTTPS,60,443,49897,,,,,,,,
26,1722788123.336624000,10.0.3.15,40.127.240.158,HTTPS,54,49897,443,,,,,,,,
27,1722788123.344708000,10.0.3.15,40.127.240.158,HTTPS,268,49897,443,,,,,,,,
28,1722788123.345156000,40.127.240.158,10.0.3.15,HTTPS,60,443,49897,,,,,,,,
