"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000261","192.168.56.101","192.168.56.102","TCP","60","443  >  49788 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.501674","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.501918","192.168.56.101","192.168.56.102","TCP","60","443  >  49788 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.013179","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.013405","192.168.56.101","192.168.56.102","TCP","60","443  >  49788 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.519653","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.519862","192.168.56.101","192.168.56.102","TCP","60","443  >  49788 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.033156","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49788  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.033412","192.168.56.101","192.168.56.102","TCP","60","443  >  49788 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.036271","192.168.56.102","192.168.56.101","TCP","66","49789  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.036465","192.168.56.101","192.168.56.102","TCP","66","80  >  49789 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.036507","192.168.56.102","192.168.56.101","TCP","54","49789  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"14","2.036844","192.168.56.102","192.168.56.101","HTTP","2845","POST /rpc.html?dq=35633k984&f=12g9000w3 HTTP/1.1 "
"15","2.037025","192.168.56.101","192.168.56.102","TCP","60","80  >  49789 [ACK] Seq=1 Ack=2792 Win=31872 Len=0"
"16","2.038121","192.168.56.101","192.168.56.102","HTTP","1144","HTTP/1.1 200 OK  (text/plain)"
"17","2.038465","192.168.56.102","192.168.56.101","TCP","54","49789  >  80 [FIN, ACK] Seq=2792 Ack=1091 Win=261632 Len=0"
"18","2.038614","192.168.56.101","192.168.56.102","TCP","60","80  >  49789 [FIN, ACK] Seq=1091 Ack=2793 Win=31872 Len=0"
"19","2.038628","192.168.56.102","192.168.56.101","TCP","54","49789  >  80 [ACK] Seq=2793 Ack=1092 Win=261632 Len=0"
