,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1725007942.114568000,54.71.162.254,10.0.3.15,HTTPS,1504,443,35560,,,,,,,,
1,1725007942.114587000,10.0.3.15,54.71.162.254,HTTPS,56,35560,443,,,,,,,,
2,1725007942.347040000,54.71.162.254,10.0.3.15,HTTPS,1504,443,35560,,,,,,,,
3,1725007942.347064000,10.0.3.15,54.71.162.254,HTTPS,56,35560,443,,,,,,,,
4,1725007942.356048000,54.71.162.254,10.0.3.15,HTTPS,209,443,35560,,,,,,,,
5,1725007942.356057000,10.0.3.15,54.71.162.254,HTTPS,56,35560,443,,,,,,,,
6,1725007942.357224000,10.0.3.15,54.71.162.254,HTTPS,182,35560,443,,,,,,,,
7,1725007942.357330000,54.71.162.254,10.0.3.15,HTTPS,62,443,35560,,,,,,,,
8,1725007942.531995000,35.81.254.255,10.0.3.15,HTTPS,107,443,48466,,,,,,,,
9,1725007942.532214000,10.0.3.15,35.81.254.255,HTTPS,1164,48466,443,,,,,,,,
10,1725007942.532339000,35.81.254.255,10.0.3.15,HTTPS,62,443,48466,,,,,,,,
11,1725007942.545351000,54.71.162.254,10.0.3.15,HTTPS,107,443,35560,,,,,,,,
12,1725007942.545512000,10.0.3.15,54.71.162.254,HTTPS,87,35560,443,,,,,,,,
13,1725007942.545527000,10.0.3.15,54.71.162.254,HTTPS,56,35560,443,,,,,,,,
14,1725007942.545608000,54.71.162.254,10.0.3.15,HTTPS,62,443,35560,,,,,,,,
15,1725007942.545609000,54.71.162.254,10.0.3.15,HTTPS,62,443,35560,,,,,,,,
16,1725007942.725280000,35.81.254.255,10.0.3.15,HTTPS,291,443,48466,,,,,,,,
17,1725007942.725604000,10.0.3.15,35.81.254.255,HTTPS,87,48466,443,,,,,,,,
18,1725007942.725633000,10.0.3.15,35.81.254.255,HTTPS,56,48466,443,,,,,,,,
19,1725007942.725744000,35.81.254.255,10.0.3.15,HTTPS,62,443,48466,,,,,,,,
20,1725007942.725744000,35.81.254.255,10.0.3.15,HTTPS,62,443,48466,,,,,,,,
21,1725007942.726676000,35.81.254.255,10.0.3.15,HTTPS,87,443,48466,,,,,,,,
22,1725007942.726689000,10.0.3.15,35.81.254.255,HTTPS,56,48466,443,,,,,,,,
23,1725007942.733221000,54.71.162.254,10.0.3.15,HTTPS,87,443,35560,,,,,,,,
24,1725007942.733230000,10.0.3.15,54.71.162.254,HTTPS,56,35560,443,,,,,,,,
25,1725007945.965772000,10.0.3.15,104.117.77.210,TCP,56,54108,80,,,,,,,,
26,1725007945.966018000,104.117.77.210,10.0.3.15,TCP,62,80,54108,,,,,,,,
27,1725007945.969765000,10.0.3.15,104.117.77.210,TCP,56,54124,80,,,,,,,,
28,1725007945.969881000,104.117.77.210,10.0.3.15,TCP,62,80,54124,,,,,,,,
29,1725007946.225802000,10.0.3.15,104.117.77.210,TCP,56,54138,80,,,,,,,,
30,1725007946.226090000,104.117.77.210,10.0.3.15,TCP,62,80,54138,,,,,,,,
31,1725007946.478562000,10.0.3.15,34.107.221.82,TCP,56,52580,80,,,,,,,,
32,1725007946.478596000,10.0.3.15,64.233.167.94,TCP,56,54204,80,,,,,,,,
33,1725007946.478802000,34.107.221.82,10.0.3.15,TCP,62,80,52580,,,,,,,,
34,1725007946.478802000,64.233.167.94,10.0.3.15,TCP,62,80,54204,,,,,,,,
35,1725007948.785765000,10.0.3.15,104.117.77.242,TCP,56,57074,80,,,,,,,,
