"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","50325  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000218","192.168.56.101","192.168.56.102","TCP","66","443  >  50325 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000272","192.168.56.102","192.168.56.101","TCP","54","50325  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"4","0.000551","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000701","192.168.56.101","192.168.56.102","TCP","60","443  >  50325 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.008744","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"7","0.008744","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"8","0.008778","192.168.56.102","192.168.56.101","TCP","54","50325  >  443 [ACK] Seq=240 Ack=1711 Win=2097920 Len=0"
"9","0.010063","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"10","0.010165","192.168.56.102","192.168.56.101","TLSv1.3","616","Application Data"
"11","0.010321","192.168.56.101","192.168.56.102","TCP","60","443  >  50325 [ACK] Seq=1711 Ack=866 Win=31872 Len=0"
"12","0.011171","192.168.56.101","192.168.56.102","TLSv1.3","413","Application Data"
"13","0.011531","192.168.56.102","192.168.56.101","TLSv1.3","514","Application Data"
"14","0.015437","192.168.56.102","192.168.56.101","TCP","66","50326  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","0.015589","192.168.56.101","192.168.56.102","TCP","66","443  >  50326 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"16","0.015633","192.168.56.102","192.168.56.101","TCP","54","50326  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"17","0.015786","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"18","0.015918","192.168.56.101","192.168.56.102","TCP","60","443  >  50326 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"19","0.024035","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"20","0.024035","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"21","0.024068","192.168.56.102","192.168.56.101","TCP","54","50326  >  443 [ACK] Seq=240 Ack=1711 Win=2097920 Len=0"
"22","0.025289","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"23","0.025382","192.168.56.102","192.168.56.101","TLSv1.3","844","Application Data"
"24","0.025559","192.168.56.101","192.168.56.102","TCP","60","443  >  50326 [ACK] Seq=1711 Ack=1094 Win=31872 Len=0"
"25","0.025818","192.168.56.101","192.168.56.102","TLSv1.3","157","Application Data"
"26","0.035156","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"27","0.035351","192.168.56.102","192.168.56.101","TCP","54","50326  >  443 [FIN, ACK] Seq=1118 Ack=1814 Win=2097664 Len=0"
"28","0.035594","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"29","0.035631","192.168.56.102","192.168.56.101","TCP","54","50326  >  443 [RST, ACK] Seq=1119 Ack=1838 Win=0 Len=0"
"30","0.035730","192.168.56.101","192.168.56.102","TCP","60","443  >  50326 [FIN, ACK] Seq=1838 Ack=1119 Win=31872 Len=0"
"31","0.058186","192.168.56.101","192.168.56.102","TCP","60","443  >  50325 [ACK] Seq=2070 Ack=1326 Win=31872 Len=0"
"32","2.946892","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"33","2.947214","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"34","2.947342","192.168.56.102","192.168.56.101","TCP","54","50325  >  443 [FIN, ACK] Seq=1350 Ack=2156 Win=2097408 Len=0"
"35","2.947419","192.168.56.101","192.168.56.102","TCP","60","443  >  50325 [ACK] Seq=2156 Ack=1350 Win=31872 Len=0"
"36","2.947541","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"37","2.947577","192.168.56.102","192.168.56.101","TCP","54","50325  >  443 [RST, ACK] Seq=1351 Ack=2180 Win=0 Len=0"
"38","2.947593","192.168.56.102","192.168.56.101","TCP","66","50327  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"39","2.947650","192.168.56.101","192.168.56.102","TCP","60","443  >  50325 [FIN, ACK] Seq=2180 Ack=1351 Win=31872 Len=0"
"40","2.947761","192.168.56.101","192.168.56.102","TCP","66","443  >  50327 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"41","2.947797","192.168.56.102","192.168.56.101","TCP","54","50327  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"42","2.948076","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"43","2.948217","192.168.56.101","192.168.56.102","TCP","60","443  >  50327 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"44","2.960374","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"45","2.960374","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"46","2.960401","192.168.56.102","192.168.56.101","TCP","54","50327  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"47","2.961747","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"48","2.961801","192.168.56.102","192.168.56.101","TLSv1.3","514","Application Data"
"49","2.961905","192.168.56.101","192.168.56.102","TCP","60","443  >  50327 [ACK] Seq=1711 Ack=764 Win=31872 Len=0"
"50","5.274478","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"51","5.274937","192.168.56.102","192.168.56.101","TLSv1.3","526","Application Data"
"52","5.315854","192.168.56.101","192.168.56.102","TCP","60","443  >  50327 [ACK] Seq=1797 Ack=1236 Win=31872 Len=0"
"53","6.631880","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"54","6.632101","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"55","6.632196","192.168.56.102","192.168.56.101","TCP","54","50327  >  443 [FIN, ACK] Seq=1260 Ack=1883 Win=262400 Len=0"
"56","6.632283","192.168.56.101","192.168.56.102","TCP","60","443  >  50327 [ACK] Seq=1883 Ack=1260 Win=31872 Len=0"
"57","6.632402","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"58","6.632427","192.168.56.102","192.168.56.101","TCP","54","50327  >  443 [RST, ACK] Seq=1261 Ack=1907 Win=0 Len=0"
"59","6.632446","192.168.56.102","192.168.56.101","TCP","66","50328  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"60","6.632514","192.168.56.101","192.168.56.102","TCP","60","443  >  50327 [FIN, ACK] Seq=1907 Ack=1261 Win=31872 Len=0"
"61","6.632595","192.168.56.101","192.168.56.102","TCP","66","443  >  50328 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"62","6.632641","192.168.56.102","192.168.56.101","TCP","54","50328  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"63","6.632851","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"64","6.633005","192.168.56.101","192.168.56.102","TCP","60","443  >  50328 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"65","6.645075","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"66","6.645075","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"67","6.645103","192.168.56.102","192.168.56.101","TCP","54","50328  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"68","6.646377","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"69","6.646452","192.168.56.102","192.168.56.101","TLSv1.3","528","Application Data"
"70","6.646577","192.168.56.101","192.168.56.102","TCP","60","443  >  50328 [ACK] Seq=1711 Ack=778 Win=31872 Len=0"
"71","8.060857","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"72","8.061176","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"73","8.061275","192.168.56.102","192.168.56.101","TCP","54","50328  >  443 [FIN, ACK] Seq=802 Ack=1797 Win=262656 Len=0"
"74","8.061535","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"75","8.061535","192.168.56.101","192.168.56.102","TCP","60","443  >  50328 [FIN, ACK] Seq=1821 Ack=803 Win=31872 Len=0"
"76","8.061541","192.168.56.102","192.168.56.101","TCP","66","50329  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"77","8.061562","192.168.56.102","192.168.56.101","TCP","54","50328  >  443 [RST, ACK] Seq=803 Ack=1821 Win=0 Len=0"
"78","8.061695","192.168.56.101","192.168.56.102","TCP","66","443  >  50329 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"79","8.061731","192.168.56.102","192.168.56.101","TCP","54","50329  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"80","8.061951","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"81","8.062131","192.168.56.101","192.168.56.102","TCP","60","443  >  50329 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"82","8.073998","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"83","8.073998","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"84","8.074032","192.168.56.102","192.168.56.101","TCP","54","50329  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"85","8.075033","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"86","8.075104","192.168.56.102","192.168.56.101","TLSv1.3","515","Application Data"
"87","8.075268","192.168.56.101","192.168.56.102","TCP","60","443  >  50329 [ACK] Seq=1711 Ack=765 Win=31872 Len=0"
"88","9.382787","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"89","9.383031","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"90","9.383106","192.168.56.102","192.168.56.101","TCP","54","50329  >  443 [FIN, ACK] Seq=789 Ack=1797 Win=262656 Len=0"
"91","9.383387","192.168.56.102","192.168.56.101","TCP","66","50330  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"92","9.383384","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"93","9.383384","192.168.56.101","192.168.56.102","TCP","60","443  >  50329 [FIN, ACK] Seq=1821 Ack=790 Win=31872 Len=0"
"94","9.383416","192.168.56.102","192.168.56.101","TCP","54","50329  >  443 [RST, ACK] Seq=790 Ack=1821 Win=0 Len=0"
"95","9.383634","192.168.56.101","192.168.56.102","TCP","66","443  >  50330 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"96","9.383670","192.168.56.102","192.168.56.101","TCP","54","50330  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"97","9.383886","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"98","9.384111","192.168.56.101","192.168.56.102","TCP","60","443  >  50330 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"99","9.396052","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"100","9.396052","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"101","9.396086","192.168.56.102","192.168.56.101","TCP","54","50330  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"102","9.397401","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"103","9.397463","192.168.56.102","192.168.56.101","TLSv1.3","513","Application Data"
"104","9.397657","192.168.56.101","192.168.56.102","TCP","60","443  >  50330 [ACK] Seq=1711 Ack=763 Win=31872 Len=0"
"105","11.392538","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"106","11.392798","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"107","11.392943","192.168.56.102","192.168.56.101","TCP","54","50330  >  443 [FIN, ACK] Seq=787 Ack=1797 Win=262656 Len=0"
"108","11.393069","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"109","11.393069","192.168.56.101","192.168.56.102","TCP","60","443  >  50330 [FIN, ACK] Seq=1821 Ack=787 Win=31872 Len=0"
"110","11.393069","192.168.56.101","192.168.56.102","TCP","60","443  >  50330 [ACK] Seq=1822 Ack=788 Win=31872 Len=0"
"111","11.393099","192.168.56.102","192.168.56.101","TCP","54","50330  >  443 [RST, ACK] Seq=788 Ack=1821 Win=0 Len=0"
"112","11.393214","192.168.56.102","192.168.56.101","TCP","66","50331  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"113","11.393398","192.168.56.101","192.168.56.102","TCP","66","443  >  50331 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"114","11.393441","192.168.56.102","192.168.56.101","TCP","54","50331  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"115","11.393725","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"116","11.393918","192.168.56.101","192.168.56.102","TCP","60","443  >  50331 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"117","11.406174","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"118","11.406174","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"119","11.406207","192.168.56.102","192.168.56.101","TCP","54","50331  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"120","11.407380","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"121","11.407456","192.168.56.102","192.168.56.101","TLSv1.3","521","Application Data"
"122","11.407589","192.168.56.101","192.168.56.102","TCP","60","443  >  50331 [ACK] Seq=1711 Ack=771 Win=31872 Len=0"
"123","12.556336","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"124","12.556669","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"125","12.556765","192.168.56.102","192.168.56.101","TCP","54","50331  >  443 [FIN, ACK] Seq=795 Ack=1797 Win=262656 Len=0"
"126","12.557026","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"127","12.557026","192.168.56.101","192.168.56.102","TCP","60","443  >  50331 [FIN, ACK] Seq=1821 Ack=796 Win=31872 Len=0"
"128","12.557072","192.168.56.102","192.168.56.101","TCP","66","50332  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"129","12.557078","192.168.56.102","192.168.56.101","TCP","54","50331  >  443 [RST, ACK] Seq=796 Ack=1821 Win=0 Len=0"
"130","12.557273","192.168.56.101","192.168.56.102","TCP","66","443  >  50332 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"131","12.557327","192.168.56.102","192.168.56.101","TCP","54","50332  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"132","12.557538","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"133","12.557686","192.168.56.101","192.168.56.102","TCP","60","443  >  50332 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"134","12.569925","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"135","12.569925","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"136","12.569949","192.168.56.102","192.168.56.101","TCP","54","50332  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"137","12.571240","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"138","12.571313","192.168.56.102","192.168.56.101","TLSv1.3","516","Application Data"
"139","12.571445","192.168.56.101","192.168.56.102","TCP","60","443  >  50332 [ACK] Seq=1711 Ack=766 Win=31872 Len=0"
"140","14.019630","192.168.56.101","192.168.56.102","TLSv1.3","140","Application Data"
"141","14.019872","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"142","14.019937","192.168.56.102","192.168.56.101","TCP","54","50332  >  443 [FIN, ACK] Seq=790 Ack=1797 Win=262656 Len=0"
"143","14.020151","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"144","14.020151","192.168.56.101","192.168.56.102","TCP","60","443  >  50332 [FIN, ACK] Seq=1821 Ack=791 Win=31872 Len=0"
"145","14.020180","192.168.56.102","192.168.56.101","TCP","54","50332  >  443 [RST, ACK] Seq=791 Ack=1821 Win=0 Len=0"
"146","14.020186","192.168.56.102","192.168.56.101","TCP","66","50333  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
