,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1721136372.513768000,192.168.56.102,192.168.56.101,HTTPS,66,49739,443,,,,,,,,
1,1721136372.514005000,192.168.56.101,192.168.56.102,HTTPS,60,443,49739,,,,,,,,
2,1721136373.027680000,192.168.56.102,192.168.56.101,HTTPS,66,49739,443,,,,,,,,
3,1721136373.027942000,192.168.56.101,192.168.56.102,HTTPS,60,443,49739,,,,,,,,
4,1721136373.551278000,192.168.56.102,192.168.56.101,HTTPS,66,49739,443,,,,,,,,
5,1721136373.551522000,192.168.56.101,192.168.56.102,HTTPS,60,443,49739,,,,,,,,
6,1721136374.057258000,192.168.56.102,192.168.56.101,HTTPS,66,49739,443,,,,,,,,
7,1721136374.057551000,192.168.56.101,192.168.56.102,HTTPS,60,443,49739,,,,,,,,
8,1721136374.566077000,192.168.56.102,192.168.56.101,HTTPS,66,49739,443,,,,,,,,
9,1721136374.566328000,192.168.56.101,192.168.56.102,HTTPS,60,443,49739,,,,,,,,
10,1721136374.569863000,192.168.56.102,192.168.56.101,TCP,66,49740,80,,,,,,,,
11,1721136374.570028000,192.168.56.101,192.168.56.102,TCP,66,80,49740,,,,,,,,
12,1721136374.570072000,192.168.56.102,192.168.56.101,TCP,54,49740,80,,,,,,,,
13,1721136374.570302000,192.168.56.102,192.168.56.101,HTTP,1600,49740,80,POST,,/api.html?c=9f8584832&et=25537719,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,1268.0
14,1721136374.570466000,192.168.56.101,192.168.56.102,TCP,60,80,49740,,,,,,,,
15,1721136374.572148000,192.168.56.101,192.168.56.102,HTTP,816,80,49740,,200,,�,,,application/x-gzip,533.0
16,1721136374.573832000,192.168.56.102,192.168.56.101,TCP,54,49740,80,,,,,,,,
17,1721136374.574276000,192.168.56.101,192.168.56.102,TCP,60,80,49740,,,,,,,,
18,1721136374.574323000,192.168.56.102,192.168.56.101,TCP,54,49740,80,,,,,,,,
19,1721136374.578433000,192.168.56.102,192.168.56.101,TCP,66,49741,80,,,,,,,,
20,1721136374.578599000,192.168.56.101,192.168.56.102,TCP,66,80,49741,,,,,,,,
21,1721136374.578633000,192.168.56.102,192.168.56.101,TCP,54,49741,80,,,,,,,,
22,1721136374.578842000,192.168.56.102,192.168.56.101,HTTP,976,49741,80,POST,,/api/oauth/php/php/oauth2callback/db/samples.php?o=79r955249,lVuu65eO6laWmeDsKkyBpn4bKcnE8dtS89Uchj0e87hWh2ttmmtBzaivIC30hoel-9O7KiWa2yQmSUBiQLDXmniIa4a5vf41jiYQEJT5zMwT5eYaVFfOld6CHy2fTxjoFqeSykuJqA6AClB33JRXGfzhkR0HFx-S2B54W2kwWj2dpHKwova-n8nRPunLXvMSZUDBI0TVb8iCkIzis_yZWRrrl5oVCq7S2PPOzryts3eb37n0UzP_hdiksNirG6AHxm9517l-cZnI_PiWN8GpHZCqyWCweT6Rnyck7V52H_Qxucy2KB-SNwecCrTSItKzWaaIy6tTOBSZ8MoiXS4mbXXp1HDIvEv3zIsi6GfkvNbsfW6eHYihq3pjYLkf_HPYB9WNbFMOWEq-MvI7CipM9bnyA0uXvSlRr5QAiO96FeBaOjI-5Z-qsYpcGEx9nhozi_-SJtiHJwSuKOkBjMSeltLTFBIMBk1ZquX8f8C0O6hGiC9EPyuF5aZ8mK9rINhE2R6GXzI50e7JNrd1aud6ZPv7d_pXKUqdJ1c6Coohp4zN,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,566.0
23,1721136374.578968000,192.168.56.101,192.168.56.102,TCP,60,80,49741,,,,,,,,
24,1721136374.589200000,192.168.56.101,192.168.56.102,HTTP,135,80,49741,,202,,,,,,0.0
25,1721136374.597968000,192.168.56.102,192.168.56.101,TCP,54,49741,80,,,,,,,,
26,1721136374.598260000,192.168.56.101,192.168.56.102,TCP,60,80,49741,,,,,,,,
27,1721136374.598285000,192.168.56.102,192.168.56.101,TCP,54,49741,80,,,,,,,,
28,1721136375.586255000,192.168.56.102,192.168.56.101,TCP,66,49742,80,,,,,,,,
29,1721136375.586495000,192.168.56.101,192.168.56.102,TCP,66,80,49742,,,,,,,,
30,1721136375.586548000,192.168.56.102,192.168.56.101,TCP,54,49742,80,,,,,,,,
31,1721136375.586681000,192.168.56.102,192.168.56.101,HTTP,530,49742,80,POST,,/api/php/namespaces/database/samples.php?w=7285a7005,�,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,128.0
32,1721136375.586838000,192.168.56.101,192.168.56.102,TCP,60,80,49742,,,,,,,,
33,1721136375.587359000,192.168.56.101,192.168.56.102,HTTP,135,80,49742,,202,,,,,,0.0
34,1721136375.587503000,192.168.56.102,192.168.56.101,HTTP,534,49742,80,GET,,/bundles/app.js?y=p2203x3141,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,
35,1721136375.587971000,192.168.56.101,192.168.56.102,HTTP,288,80,49742,,200,,913edc8fe5ae3422161a53af985c05aa2aa63b9aba79e59c9be361c70db8798108926cecc8c2137e474da88bc7f11c89b8a0437cb72cabc36874,,,text/plain; charset=utf-8,116.0
36,1721136375.600600000,192.168.56.102,192.168.56.101,TCP,54,49742,80,,,,,,,,
37,1721136375.600810000,192.168.56.101,192.168.56.102,TCP,60,80,49742,,,,,,,,
38,1721136375.600830000,192.168.56.102,192.168.56.101,TCP,54,49742,80,,,,,,,,
39,1721136444.433231000,192.168.56.102,192.168.56.101,TCP,66,49743,80,,,,,,,,
40,1721136444.433525000,192.168.56.101,192.168.56.102,TCP,66,80,49743,,,,,,,,
41,1721136444.433581000,192.168.56.102,192.168.56.101,TCP,54,49743,80,,,,,,,,
42,1721136444.433932000,192.168.56.102,192.168.56.101,HTTP,548,49743,80,POST,,/api/samples.php?l=814e3896,eTKfaaaaaaacZN04a67ZX9EbNqhjydnLOzivD6XKiuDPi1W5VQTQR-CXRJSqyuQazZY5qvdeUVzITpoAOr2t7BTzQME6VMt26WWo-e2S4rHcGpwVhTBSqVWM01Kd3otPt0DdtGJJqGjZEWBG2Ry4n1caamZZQlt_psnaaaa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,171.0
43,1721136444.434226000,192.168.56.101,192.168.56.102,TCP,60,80,49743,,,,,,,,
44,1721136444.444252000,192.168.56.101,192.168.56.102,HTTP,135,80,49743,,202,,,,,,0.0
45,1721136444.444463000,192.168.56.102,192.168.56.101,TCP,54,49743,80,,,,,,,,
46,1721136444.444838000,192.168.56.101,192.168.56.102,TCP,60,80,49743,,,,,,,,
47,1721136444.444866000,192.168.56.102,192.168.56.101,TCP,54,49743,80,,,,,,,,
48,1721136444.444878000,192.168.56.102,192.168.56.101,TCP,66,49744,80,,,,,,,,
49,1721136444.445223000,192.168.56.101,192.168.56.102,TCP,66,80,49744,,,,,,,,
