"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","50275  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000211","192.168.56.101","192.168.56.102","TCP","66","443  >  50275 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000259","192.168.56.102","192.168.56.101","TCP","54","50275  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"4","0.000585","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000724","192.168.56.101","192.168.56.102","TCP","60","443  >  50275 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.009283","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"7","0.009283","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"8","0.009341","192.168.56.102","192.168.56.101","TCP","54","50275  >  443 [ACK] Seq=240 Ack=1711 Win=2097920 Len=0"
"9","0.010611","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"10","0.010853","192.168.56.102","192.168.56.101","TLSv1.3","627","Application Data"
"11","0.010995","192.168.56.101","192.168.56.102","TCP","60","443  >  50275 [ACK] Seq=1711 Ack=877 Win=31872 Len=0"
"12","0.012131","192.168.56.101","192.168.56.102","TLSv1.3","413","Application Data"
"13","0.013299","192.168.56.102","192.168.56.101","TLSv1.3","514","Application Data"
"14","0.017367","192.168.56.102","192.168.56.101","TCP","66","50276  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","0.017502","192.168.56.101","192.168.56.102","TCP","66","443  >  50276 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"16","0.017547","192.168.56.102","192.168.56.101","TCP","54","50276  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"17","0.017756","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"18","0.017873","192.168.56.101","192.168.56.102","TCP","60","443  >  50276 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"19","0.026158","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"20","0.026158","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"21","0.026194","192.168.56.102","192.168.56.101","TCP","54","50276  >  443 [ACK] Seq=240 Ack=1711 Win=2097920 Len=0"
"22","0.027408","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"23","0.027574","192.168.56.102","192.168.56.101","TLSv1.3","1072","Application Data"
