"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2.17.197.249","10.0.3.15","TCP","1514","80  >  49853 [ACK] Seq=1 Ack=1 Win=65535 Len=1460"
"2","0.000000","2.17.197.249","10.0.3.15","TCP","1490","80  >  49853 [PSH, ACK] Seq=1461 Ack=1 Win=65535 Len=1436"
"3","0.000067","10.0.3.15","2.17.197.249","TCP","54","49853  >  80 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"4","0.006310","2.17.197.240","10.0.3.15","TCP","1514","80  >  49849 [ACK] Seq=1 Ack=1 Win=65535 Len=1460"
"5","0.006310","2.17.197.240","10.0.3.15","TCP","1490","80  >  49849 [PSH, ACK] Seq=1461 Ack=1 Win=65535 Len=1436"
"6","0.006366","10.0.3.15","2.17.197.240","TCP","54","49849  >  80 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"7","0.011193","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=1 Win=62804 Len=0"
"8","0.011501","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"9","0.011501","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"10","0.011501","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"11","0.011501","104.90.25.41","10.0.3.15","TCP","1466","[TCP segment of a reassembled PDU]"
"12","0.011564","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=5793 Win=64240 Len=0"
"13","0.011692","104.90.25.41","10.0.3.15","TCP","1502","[TCP segment of a reassembled PDU]"
"14","0.019740","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"15","0.019740","104.90.25.41","10.0.3.15","TCP","1490","[TCP segment of a reassembled PDU]"
"16","0.019796","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=10137 Win=64240 Len=0"
"17","0.033952","104.90.25.41","10.0.3.15","TCP","1502","[TCP segment of a reassembled PDU]"
"18","0.034058","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=11585 Win=62792 Len=0"
"19","0.039392","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"20","0.039392","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"21","0.039392","104.90.25.41","10.0.3.15","TCP","1478","[TCP segment of a reassembled PDU]"
"22","0.039454","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=15929 Win=64240 Len=0"
"23","0.066333","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"24","0.066333","104.90.25.41","10.0.3.15","TCP","1514","[TCP segment of a reassembled PDU]"
"25","0.066333","104.90.25.41","10.0.3.15","TCP","1478","[TCP segment of a reassembled PDU]"
"26","0.066432","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=20273 Win=64240 Len=0"
"27","0.076719","104.90.25.41","10.0.3.15","TCP","1502","[TCP segment of a reassembled PDU]"
"28","0.076719","2.17.197.240","10.0.3.15","TCP","1502","80  >  49849 [PSH, ACK] Seq=2897 Ack=1 Win=65535 Len=1448"
"29","0.081713","2.17.197.240","10.0.3.15","TCP","1514","80  >  49849 [ACK] Seq=4345 Ack=1 Win=65535 Len=1460"
"30","0.081713","2.17.197.240","10.0.3.15","TCP","1514","80  >  49849 [ACK] Seq=5805 Ack=1 Win=65535 Len=1460"
"31","0.081713","2.17.197.240","10.0.3.15","TCP","1478","80  >  49849 [PSH, ACK] Seq=7265 Ack=1 Win=65535 Len=1424"
"32","0.081713","2.17.197.249","10.0.3.15","TCP","1514","80  >  49853 [ACK] Seq=2897 Ack=1 Win=65535 Len=1460"
"33","0.081713","2.17.197.249","10.0.3.15","TCP","1490","80  >  49853 [PSH, ACK] Seq=4357 Ack=1 Win=65535 Len=1436"
"34","0.081834","10.0.3.15","2.17.197.240","TCP","54","49849  >  80 [ACK] Seq=1 Ack=8689 Win=64240 Len=0"
"35","0.081852","10.0.3.15","2.17.197.249","TCP","54","49853  >  80 [ACK] Seq=1 Ack=5793 Win=64240 Len=0"
"36","0.089287","2.17.197.240","10.0.3.15","TCP","1514","80  >  49849 [ACK] Seq=8689 Ack=1 Win=65535 Len=1460"
"37","0.089287","2.17.197.240","10.0.3.15","TCP","1490","80  >  49849 [PSH, ACK] Seq=10149 Ack=1 Win=65535 Len=1436"
