"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49684  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000223","192.168.56.101","192.168.56.102","TCP","66","8888  >  49684 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000298","192.168.56.102","192.168.56.101","TCP","54","49684  >  8888 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"4","0.000498","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000632","192.168.56.101","192.168.56.102","TCP","60","8888  >  49684 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.001877","192.168.56.101","192.168.56.102","TLSv1.3","928","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.020149","192.168.56.102","192.168.56.101","TLSv1.3","818","Change Cipher Spec, Application Data, Application Data, Application Data"
"8","0.026127","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"9","0.026171","192.168.56.102","192.168.56.101","TLSv1.3","457","Application Data"
"10","0.026384","192.168.56.101","192.168.56.102","TCP","60","8888  >  49684 [ACK] Seq=875 Ack=1433 Win=31872 Len=0"
"11","5.119235","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"12","5.119250","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"13","15.027963","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49684  >  8888 [ACK] Seq=1432 Ack=875 Win=2096896 Len=1"
"14","15.028274","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49684 [ACK] Seq=875 Ack=1433 Win=31872 Len=0 SLE=1432 SRE=1433"
"15","30.036272","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49684  >  8888 [ACK] Seq=1432 Ack=875 Win=2096896 Len=1"
"16","30.036625","192.168.56.101","192.168.56.102","TCP","66","[TCP Keep-Alive ACK] 8888  >  49684 [ACK] Seq=875 Ack=1433 Win=31872 Len=0 SLE=1432 SRE=1433"
"17","31.833626","192.168.56.102","192.168.56.100","DHCP","356","DHCP Request  - Transaction ID 0x5d14593d"
"18","31.857104","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0x5d14593d"
"19","31.861397","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"20","31.861431","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"21","31.866740","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"22","31.866859","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"23","31.867122","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"24","31.867146","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"25","31.867291","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"26","31.867380","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"27","31.867920","192.168.56.102","224.0.0.251","MDNS","80","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
