,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720702525.416220000,0,0,,42,0,0,,,,
1,1720702525.416510000,0,0,,60,0,0,,,,
2,1720702525.416527000,192.168.56.102,192.168.56.101,TCP,66,49767,443,,,,
3,1720702525.416684000,192.168.56.101,192.168.56.102,TCP,60,443,49767,,,,
4,1720702525.917549000,192.168.56.102,192.168.56.101,TCP,66,49767,443,,,,
5,1720702525.917801000,192.168.56.101,192.168.56.102,TCP,60,443,49767,,,,
6,1720702526.426907000,192.168.56.102,192.168.56.101,TCP,66,49767,443,,,,
7,1720702526.427127000,192.168.56.101,192.168.56.102,TCP,60,443,49767,,,,
8,1720702526.937077000,192.168.56.102,192.168.56.101,TCP,66,49767,443,,,,
9,1720702526.937337000,192.168.56.101,192.168.56.102,TCP,60,443,49767,,,,
10,1720702527.449170000,192.168.56.102,192.168.56.101,TCP,66,49767,443,,,,
11,1720702527.449424000,192.168.56.101,192.168.56.102,TCP,60,443,49767,,,,
12,1720702527.452253000,192.168.56.102,192.168.56.101,TCP,66,49768,80,,,,
13,1720702527.452401000,192.168.56.101,192.168.56.102,TCP,66,80,49768,,,,
14,1720702527.452447000,192.168.56.102,192.168.56.101,TCP,54,49768,80,,,,
15,1720702527.452662000,192.168.56.102,192.168.56.101,HTTP,868,49768,80,POST,/sign-up.html?cx=9w109p8364&v=37427965,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
16,1720702527.452837000,192.168.56.101,192.168.56.102,TCP,60,80,49768,,,,
17,1720702527.453923000,192.168.56.101,192.168.56.102,HTTP,453,80,49768,,,,
18,1720702527.454344000,192.168.56.102,192.168.56.101,HTTP,521,49768,80,GET,/email.js?t=34364130,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
19,1720702527.457846000,192.168.56.102,192.168.56.101,TCP,66,49769,80,,,,
20,1720702527.457987000,192.168.56.101,192.168.56.102,TCP,66,80,49769,,,,
21,1720702527.458045000,192.168.56.102,192.168.56.101,TCP,54,49769,80,,,,
22,1720702527.458251000,192.168.56.102,192.168.56.101,HTTP,890,49769,80,POST,/upload/register.php?g=7t0113_153,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
23,1720702527.458396000,192.168.56.101,192.168.56.102,TCP,60,80,49769,,,,
24,1720702527.458579000,192.168.56.101,192.168.56.102,HTTP,135,80,49769,,,,
25,1720702527.465589000,192.168.56.102,192.168.56.101,TCP,54,49769,80,,,,
26,1720702527.465761000,192.168.56.101,192.168.56.102,TCP,60,80,49769,,,,
27,1720702527.465779000,192.168.56.102,192.168.56.101,TCP,54,49769,80,,,,
