,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722788412.707277000,88.221.83.216,10.0.3.15,UDP,108,443,62949,,,,
1,1722788413.493145000,10.0.3.15,2.17.197.249,TCP,54,50197,80,,,,
2,1722788413.493331000,10.0.3.15,2.17.197.240,TCP,54,50198,80,,,,
3,1722788413.493464000,2.17.197.249,10.0.3.15,TCP,60,80,50197,,,,
4,1722788413.493464000,2.17.197.240,10.0.3.15,TCP,60,80,50198,,,,
5,1722788413.510179000,2.17.197.240,10.0.3.15,TCP,60,80,50198,,,,
6,1722788413.510179000,2.17.197.249,10.0.3.15,TCP,60,80,50197,,,,
7,1722788413.510200000,10.0.3.15,2.17.197.240,TCP,54,50198,80,,,,
8,1722788413.510232000,10.0.3.15,2.17.197.249,TCP,54,50197,80,,,,
9,1722788414.297981000,10.0.3.15,2.17.107.104,TCP,1025,50212,443,,,,
10,1722788414.298079000,10.0.3.15,2.17.107.104,TCP,3228,50212,443,,,,
11,1722788414.298122000,10.0.3.15,2.17.107.104,TCP,85,50212,443,,,,
12,1722788414.298275000,2.17.107.104,10.0.3.15,TCP,60,443,50212,,,,
13,1722788414.298275000,2.17.107.104,10.0.3.15,TCP,60,443,50212,,,,
14,1722788414.298275000,2.17.107.104,10.0.3.15,TCP,60,443,50212,,,,
15,1722788414.298275000,2.17.107.104,10.0.3.15,TCP,60,443,50212,,,,
16,1722788414.298275000,2.17.107.104,10.0.3.15,TCP,60,443,50212,,,,
17,1722788414.325874000,10.0.3.15,204.79.197.219,TCP,55,50084,443,,,,
18,1722788414.326022000,204.79.197.219,10.0.3.15,TCP,60,443,50084,,,,
19,1722788414.330336000,10.0.3.15,204.79.197.219,TCP,55,50085,443,,,,
20,1722788414.330471000,204.79.197.219,10.0.3.15,TCP,60,443,50085,,,,
21,1722788414.378988000,2.17.107.104,10.0.3.15,TCP,395,443,50212,,,,
22,1722788414.378988000,2.17.107.104,10.0.3.15,TCP,85,443,50212,,,,
23,1722788414.379030000,10.0.3.15,2.17.107.104,TCP,54,50212,443,,,,
24,1722788414.586104000,10.0.3.15,74.125.71.94,TCP,55,50125,443,,,,
25,1722788414.586386000,74.125.71.94,10.0.3.15,TCP,60,443,50125,,,,
26,1722788414.611852000,10.0.3.15,142.250.110.139,TCP,55,50124,443,,,,
27,1722788414.611989000,142.250.110.139,10.0.3.15,TCP,60,443,50124,,,,
28,1722788416.927305000,10.0.3.15,88.221.83.186,TCP,55,50153,443,,,,
29,1722788416.927671000,88.221.83.186,10.0.3.15,TCP,60,443,50153,,,,
30,1722788416.964334000,10.0.3.15,88.221.83.216,UDP,305,52083,443,,,,
31,1722788416.982410000,88.221.83.216,10.0.3.15,UDP,70,443,52083,,,,
32,1722788417.021651000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
33,1722788417.073076000,88.221.83.216,10.0.3.15,UDP,1079,443,52083,,,,
34,1722788417.073501000,10.0.3.15,88.221.83.216,UDP,77,52083,443,,,,
35,1722788417.073666000,88.221.83.216,10.0.3.15,UDP,382,443,52083,,,,
36,1722788417.073666000,88.221.83.216,10.0.3.15,UDP,64,443,52083,,,,
37,1722788417.073828000,10.0.3.15,88.221.83.216,UDP,73,52083,443,,,,
38,1722788417.127340000,10.0.3.15,88.221.83.216,UDP,341,52083,443,,,,
39,1722788417.129560000,88.221.83.216,10.0.3.15,UDP,66,443,52083,,,,
40,1722788417.143806000,88.221.83.216,10.0.3.15,UDP,70,443,52083,,,,
41,1722788417.169393000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
42,1722788417.200100000,88.221.83.216,10.0.3.15,UDP,102,443,52083,,,,
43,1722788417.200199000,88.221.83.216,10.0.3.15,UDP,63,443,52083,,,,
44,1722788417.200395000,10.0.3.15,88.221.83.216,UDP,77,52083,443,,,,
45,1722788417.233026000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
46,1722788417.248062000,88.221.83.216,10.0.3.15,UDP,66,443,52083,,,,
47,1722788417.433127000,10.0.3.15,88.221.83.216,UDP,1013,52083,443,,,,
48,1722788417.450973000,88.221.83.216,10.0.3.15,UDP,70,443,52083,,,,
49,1722788417.479998000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
50,1722788417.582188000,88.221.83.216,10.0.3.15,UDP,126,443,52083,,,,
51,1722788417.582188000,88.221.83.216,10.0.3.15,UDP,63,443,52083,,,,
52,1722788417.582565000,10.0.3.15,88.221.83.216,UDP,77,52083,443,,,,
53,1722788417.608923000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
54,1722788417.634321000,88.221.83.216,10.0.3.15,UDP,66,443,52083,,,,
55,1722788417.783410000,10.0.3.15,204.79.197.239,TCP,55,50080,443,,,,
56,1722788417.783669000,204.79.197.239,10.0.3.15,TCP,60,443,50080,,,,
57,1722788417.829785000,10.0.3.15,13.69.116.108,TCP,133,49979,443,,,,
58,1722788417.829845000,10.0.3.15,13.69.116.108,TCP,856,49979,443,,,,
59,1722788417.830049000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
60,1722788417.830049000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
61,1722788417.849582000,13.69.116.108,10.0.3.15,TCP,153,443,49979,,,,
62,1722788417.850915000,10.0.3.15,13.69.116.108,TCP,89,49979,443,,,,
63,1722788417.851327000,13.69.116.108,10.0.3.15,TCP,60,443,49979,,,,
64,1722788418.239896000,10.0.3.15,13.107.246.67,TCP,55,50095,443,,,,
65,1722788418.240142000,13.107.246.67,10.0.3.15,TCP,60,443,50095,,,,
66,1722788418.243286000,10.0.3.15,152.199.21.175,TCP,55,50094,443,,,,
67,1722788418.243664000,152.199.21.175,10.0.3.15,TCP,60,443,50094,,,,
68,1722788418.322462000,10.0.3.15,142.251.168.119,TCP,55,50131,443,,,,
69,1722788418.322697000,142.251.168.119,10.0.3.15,TCP,60,443,50131,,,,
70,1722788418.374477000,10.0.3.15,88.221.83.216,UDP,1147,52083,443,,,,
71,1722788418.397017000,88.221.83.216,10.0.3.15,UDP,70,443,52083,,,,
72,1722788418.433513000,10.0.3.15,88.221.83.216,UDP,74,52083,443,,,,
73,1722788418.448859000,88.221.83.216,10.0.3.15,UDP,64,443,52083,,,,
