,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1720698850.282330000,192.168.56.102,192.168.56.101,TCP,55,49675,80,,,,,,,,
1,1720698850.282592000,192.168.56.101,192.168.56.102,TCP,60,80,49675,,,,,,,,
2,1720698852.266873000,192.168.56.102,192.168.56.101,HTTPS,66,49678,443,,,,,,,,
3,1720698852.267141000,192.168.56.101,192.168.56.102,HTTPS,60,443,49678,,,,,,,,
4,1720698852.770619000,192.168.56.102,192.168.56.101,HTTPS,66,49678,443,,,,,,,,
5,1720698852.770893000,192.168.56.101,192.168.56.102,HTTPS,60,443,49678,,,,,,,,
6,1720698853.272992000,192.168.56.102,192.168.56.101,HTTPS,66,49678,443,,,,,,,,
7,1720698853.273218000,192.168.56.101,192.168.56.102,HTTPS,60,443,49678,,,,,,,,
8,1720698853.780066000,192.168.56.102,192.168.56.101,HTTPS,66,49678,443,,,,,,,,
9,1720698853.780358000,192.168.56.101,192.168.56.102,HTTPS,60,443,49678,,,,,,,,
10,1720698854.289209000,192.168.56.102,192.168.56.101,HTTPS,66,49678,443,,,,,,,,
11,1720698854.289528000,192.168.56.101,192.168.56.102,HTTPS,60,443,49678,,,,,,,,
12,1720698854.292992000,192.168.56.102,192.168.56.101,TCP,66,49679,80,,,,,,,,
13,1720698854.293246000,192.168.56.101,192.168.56.102,TCP,66,80,49679,,,,,,,,
14,1720698854.293293000,192.168.56.102,192.168.56.101,TCP,54,49679,80,,,,,,,,
15,1720698854.293614000,192.168.56.102,192.168.56.101,HTTP,1520,49679,80,POST,,/upload/login.html?h=55564892&rj=9t3215436,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,1179.0
16,1720698854.293782000,192.168.56.101,192.168.56.102,TCP,60,80,49679,,,,,,,,
