"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"2","0.000000","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"3","0.000075","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"4","0.004996","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"5","0.008281","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"6","0.008281","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"7","0.008365","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=1 Ack=5793 Win=64240 Len=0"
"8","0.010513","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"9","0.010566","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"10","0.015334","10.0.3.15","23.41.178.65","TLSv1.2","89","Application Data"
"11","0.015623","23.41.178.65","10.0.3.15","TCP","60","443  >  49760 [ACK] Seq=5793 Ack=36 Win=65535 Len=0"
"12","0.021704","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"13","0.037131","151.101.10.172","10.0.3.15","TCP","1514","80  >  49712 [ACK] Seq=1 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.037131","151.101.10.172","10.0.3.15","TCP","479","80  >  49712 [PSH, ACK] Seq=1461 Ack=1 Win=65535 Len=425 [TCP segment of a reassembled PDU]"
"15","0.037131","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"16","0.037312","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=1 Ack=1886 Win=64240 Len=0"
"17","0.044269","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=1886 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"18","0.044269","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"19","0.044381","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=5793 Win=64240 Len=0"
"20","0.048463","151.101.10.172","10.0.3.15","TCP","1514","80  >  49712 [ACK] Seq=3330 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.048463","151.101.10.172","10.0.3.15","TCP","1482","80  >  49712 [PSH, ACK] Seq=4790 Ack=1 Win=65535 Len=1428 [TCP segment of a reassembled PDU]"
"22","0.048528","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=1 Ack=6218 Win=64240 Len=0"
"23","0.053187","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"24","0.053187","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"25","0.053224","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=10137 Win=64240 Len=0"
"26","0.053310","10.0.3.3","10.0.3.15","DNS","182","Standard query response 0x8d17 HTTPS edge.microsoft.com CNAME edge-microsoft-com.dual-a-0036.a-msedge.net SOA ns1.a-msedge.net"
"27","0.053529","10.0.3.3","10.0.3.15","DNS","292","Standard query response 0xc2e5 A edge.microsoft.com CNAME edge-microsoft-com.dual-a-0036.a-msedge.net CNAME dual-a-0036.a-msedge.net A 204.79.197.239 A 13.107.21.239 SOA ns1.a-msedge.net NS ns2.a-msedge.net NS ns1.a-msedge.net A 204.79.197.1 A 204.79.197.2"
"28","0.055131","10.0.3.15","204.79.197.239","TCP","66","49792  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"29","0.075486","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=6218 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"30","0.075597","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=1 Ack=7662 Win=62796 Len=0"
"31","0.080204","151.101.10.172","10.0.3.15","HTTP","63","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"32","0.080204","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"33","0.080204","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"34","0.080310","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=11585 Win=62792 Len=0"
"35","0.081385","10.0.3.15","151.101.10.172","HTTP","304","GET /d/msdownload/update/others/2024/08/41710779_7da8b248415bbefde3630ccf11dd9d2ee223feea.cab HTTP/1.1 "
"36","0.081637","151.101.10.172","10.0.3.15","TCP","60","80  >  49712 [ACK] Seq=7671 Ack=251 Win=65535 Len=0"
"37","0.098123","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"38","0.115062","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"39","0.115129","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=8689 Win=64240 Len=0"
"40","0.122807","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"41","0.122807","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"42","0.122863","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=15929 Win=64240 Len=0"
"43","0.165224","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"44","0.202234","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"45","0.207585","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"46","0.207585","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"47","0.207691","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=18825 Win=64240 Len=0"
"48","0.207730","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=11585 Win=64240 Len=0"
"49","0.210894","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"50","0.210894","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"51","0.210950","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=21721 Win=64240 Len=0"
"52","0.217551","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"53","0.221626","23.41.178.65","10.0.3.15","TLSv1.2","1514","Ignored Unknown Record"
"54","0.221626","23.41.178.65","10.0.3.15","TLSv1.2","1490","Ignored Unknown Record"
"55","0.221681","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=24617 Win=64240 Len=0"
"56","0.237772","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"57","0.237808","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=14481 Win=64240 Len=0"
"58","0.241985","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"59","0.241985","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"60","0.281816","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=26065 Win=62792 Len=0"
"61","0.293116","23.41.178.65","10.0.3.15","TLSv1.2","1502","Ignored Unknown Record"
"62","0.297219","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=15929 Win=62792 Len=0"
"63","0.302285","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"64","0.313042","10.0.3.15","204.79.197.239","TCP","66","49793  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"65","0.332657","23.41.178.65","10.0.3.15","TCP","1514","443  >  49760 [ACK] Seq=27513 Ack=36 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"66","0.332657","23.41.178.65","10.0.3.15","TCP","1490","443  >  49760 [PSH, ACK] Seq=28973 Ack=36 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"67","0.332722","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=30409 Win=64240 Len=0"
"68","0.339728","104.90.25.41","10.0.3.15","SSL","1514","Continuation Data"
"69","0.339728","104.90.25.41","10.0.3.15","SSL","1490","Continuation Data"
"70","0.339728","23.41.178.65","10.0.3.15","TCP","1502","443  >  49760 [PSH, ACK] Seq=30409 Ack=36 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"71","0.339789","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=20273 Win=64240 Len=0"
"72","0.339803","10.0.3.15","23.41.178.65","TCP","54","49760  >  443 [ACK] Seq=36 Ack=31857 Win=62792 Len=0"
"73","0.379891","23.41.178.65","10.0.3.15","TCP","1502","443  >  49760 [PSH, ACK] Seq=31857 Ack=36 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"74","0.382261","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=7671 Ack=251 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"75","0.391270","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=9115 Ack=251 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"76","0.391448","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=251 Ack=10559 Win=64240 Len=0"
"77","0.391577","204.79.197.239","10.0.3.15","TCP","60","443  >  49793 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
