,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1721136189.108124000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
1,1721136189.108495000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
2,1721136190.108211000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
3,1721136190.108551000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
4,1721136191.770032000,192.168.56.102,192.168.56.101,HTTPS,66,49731,443,,,,,,,,
5,1721136191.770238000,192.168.56.101,192.168.56.102,HTTPS,60,443,49731,,,,,,,,
6,1721136192.284867000,192.168.56.102,192.168.56.101,HTTPS,66,49731,443,,,,,,,,
7,1721136192.285100000,192.168.56.101,192.168.56.102,HTTPS,60,443,49731,,,,,,,,
8,1721136192.794493000,192.168.56.102,192.168.56.101,HTTPS,66,49731,443,,,,,,,,
9,1721136192.794770000,192.168.56.101,192.168.56.102,HTTPS,60,443,49731,,,,,,,,
10,1721136193.312226000,192.168.56.102,192.168.56.101,HTTPS,66,49731,443,,,,,,,,
11,1721136193.312444000,192.168.56.101,192.168.56.102,HTTPS,60,443,49731,,,,,,,,
12,1721136193.817575000,192.168.56.102,192.168.56.101,HTTPS,66,49731,443,,,,,,,,
13,1721136193.817783000,192.168.56.101,192.168.56.102,HTTPS,60,443,49731,,,,,,,,
14,1721136193.820464000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,,,,,
15,1721136193.820577000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
16,1721136194.330460000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,,,,,
17,1721136194.330695000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
18,1721136194.841406000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,,,,,
19,1721136194.841670000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
20,1721136195.359159000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,,,,,
21,1721136195.359389000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
22,1721136195.861818000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,,,,,
23,1721136195.862065000,192.168.56.101,192.168.56.102,TCP,60,80,49732,,,,,,,,
24,1721136196.453800000,0,0,,42,0,0,,,,,,,,
25,1721136196.454066000,0,0,,60,0,0,,,,,,,,
26,1721136196.843372000,0,0,,60,0,0,,,,,,,,
27,1721136196.843405000,0,0,,42,0,0,,,,,,,,
28,1721136218.494854000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,,,,,
29,1721136219.499187000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,,,,,
30,1721136220.501702000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,,,,,
31,1721136221.513495000,192.168.56.102,239.255.255.250,UDP,217,54458,1900,,,,,,,,
32,1721136255.876707000,192.168.56.102,192.168.56.101,HTTPS,66,49733,443,,,,,,,,
33,1721136255.876991000,192.168.56.101,192.168.56.102,HTTPS,60,443,49733,,,,,,,,
34,1721136256.385593000,192.168.56.102,192.168.56.101,HTTPS,66,49733,443,,,,,,,,
35,1721136256.385847000,192.168.56.101,192.168.56.102,HTTPS,60,443,49733,,,,,,,,
36,1721136256.897352000,192.168.56.102,192.168.56.101,HTTPS,66,49733,443,,,,,,,,
37,1721136256.897611000,192.168.56.101,192.168.56.102,HTTPS,60,443,49733,,,,,,,,
38,1721136257.406339000,192.168.56.102,192.168.56.101,HTTPS,66,49733,443,,,,,,,,
39,1721136257.406633000,192.168.56.101,192.168.56.102,HTTPS,60,443,49733,,,,,,,,
40,1721136257.919246000,192.168.56.102,192.168.56.101,HTTPS,66,49733,443,,,,,,,,
41,1721136257.919486000,192.168.56.101,192.168.56.102,HTTPS,60,443,49733,,,,,,,,
42,1721136257.924299000,192.168.56.102,192.168.56.101,TCP,66,49734,80,,,,,,,,
43,1721136257.924500000,192.168.56.101,192.168.56.102,TCP,66,80,49734,,,,,,,,
44,1721136257.924536000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,,,,,
45,1721136257.924763000,192.168.56.102,192.168.56.101,HTTP,924,49734,80,POST,,/database/php/db/db/database/oauth2callback/oauth2callback/samples.html?k=57927733&kf=80768057,5af7ddafc7b18bcd2f1314910d2fd8b62d022bb79592c08eaaafdcb29f34926c6c4b327547786230676263576b4a4e5431506d73763434442f2b6c45487634674e554559644d4772676a730a5a39306c583241524b773071314d3157616e4a4a7961315136784a637973454a4a3771726e61694548424d0a2d2d2d203335326b344e7541446f31517456455279536f6445736237525a6653576b695142356141513074736d33510a4489022629a5527edaa893721b0c2d255177b0f5eb3f42fa9fcbbc251d5c01972746789bf4e1cb1ef7618c6421e815ed210b43d209447f44f444252f12d8a6101c35f1997bfd83d5fd69ff5dc7de6ec0093d6daae895a0a254b84291914bb85cfe74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,532.0
46,1721136257.924943000,192.168.56.101,192.168.56.102,TCP,60,80,49734,,,,,,,,
47,1721136257.926560000,192.168.56.101,192.168.56.102,HTTP,461,80,49734,,200,,755c0bbd9a80982700b24e69691280a746c21b692477004b30f741e9b9bfa4f71dd0a3bf114c865fb0e3db0537e34f69ba4636630eb78745feba8d78dc8689b507726c91a12aa6272e98ce2680ef18a09c47d2642b,,,text/plain; charset=utf-8,170.0
48,1721136257.931513000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,,,,,
49,1721136257.931637000,192.168.56.102,192.168.56.101,TCP,66,49735,80,,,,,,,,
50,1721136257.931807000,192.168.56.101,192.168.56.102,TCP,66,80,49735,,,,,,,,
51,1721136257.931857000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,,,,,
52,1721136257.931918000,192.168.56.101,192.168.56.102,TCP,60,80,49734,,,,,,,,
53,1721136257.931933000,192.168.56.102,192.168.56.101,TCP,54,49734,80,,,,,,,,
54,1721136257.932050000,192.168.56.102,192.168.56.101,HTTP,997,49735,80,POST,,/oauth2callback/database/api.php?q=2206_3514,eTKfaaaaaaacZNbFa_CYH6W0PofPiUduVGEQWjhu__8_i-dM_ly-jPqB7EjUMDoCDFuIMdT4UrZfKNzYC0RNl86kXwVpC8LkO1ZOBKrVm0PohriBLavqCyYT0MxZsN619YMkFlwTMFlJXKFNftsjCz0L-QZ7urh0MFSexZwYiJk5pCeQtIeGaYzIFtY4AsoQ2kAzMWyYaCFdCFyOeA4p_21EQY0dWNJBXQx9hx_wefpjGwJuHjpdNy1p9wSBnEmZL3YDNS27joA72Lf6NoINpdZh3UZSkIRebLBopcfpbk6FmPK5Iq9ou4Sd3CP0_QZtefWiI8-cKeZRMN_LPmE3_7iPdF8Q91tL1A7GtJMaY2ewq7a9-hUCCFCPXkf8Nbrv4CBDVXsaHzu2EJEsklkm_zSKSh18Rr7OAXkFzT-3qYmNJVqLU8aVCvNZIlTb2AUinZmsXluDOFtppN9KcD9lJ6OkwPUjzHzZTFjt9nx83Jtv3KeVjfr4Er96oNeA-2YDqukF9Lsz7imUNjcTT8_3WX8uhnTeoow7H-c9mv4tEkfBCh9_aZWCKTnj16cRQnSyanaaZZZ21Sl2HNcaaa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,602.0
55,1721136257.932178000,192.168.56.101,192.168.56.102,TCP,60,80,49735,,,,,,,,
56,1721136257.940034000,192.168.56.101,192.168.56.102,HTTP,135,80,49735,,202,,,,,,0.0
57,1721136257.950994000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,,,,,
58,1721136257.951177000,192.168.56.101,192.168.56.102,TCP,60,80,49735,,,,,,,,
59,1721136257.951191000,192.168.56.102,192.168.56.101,TCP,54,49735,80,,,,,,,,
60,1721136258.947961000,192.168.56.102,192.168.56.101,TCP,66,49736,80,,,,,,,,
61,1721136258.948292000,192.168.56.101,192.168.56.102,TCP,66,80,49736,,,,,,,,
62,1721136258.948340000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,,,,,
63,1721136258.948614000,192.168.56.102,192.168.56.101,HTTP,543,49736,80,POST,,/api.php?u=68q75510i7,eTKfaaaaaaacZN04a67ZHV4RJSmRSJUGsvE7FjFKOhK4rZeVyomtonEJ0tTPNPpEKQVJjOe9nhomASc51nsF6CmmAd3UWSUMvqZ5HImwDfwfGCtNZ8fp-hbpB_sE8OWGBFhje_5DGma-GTviJQfacaamZZht2xKEnaaaa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,171.0
64,1721136258.948868000,192.168.56.101,192.168.56.102,TCP,60,80,49736,,,,,,,,
65,1721136258.949468000,192.168.56.101,192.168.56.102,HTTP,135,80,49736,,202,,,,,,0.0
66,1721136258.949696000,192.168.56.102,192.168.56.101,HTTP,535,49736,80,GET,,/bundles/route.js?o=97658832,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36",,,
67,1721136258.950075000,192.168.56.101,192.168.56.102,HTTP,249,80,49736,,200,,-c-c74kIXOMGH3E2VCMm1Mjaijltzv2blOtvQ6y3lNzlV_1K2XPLjoB-vAZ0DyJaEaRLBW_1fO5a,,,text/plain; charset=utf-8,78.0
68,1721136258.963664000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,,,,,
69,1721136258.963920000,192.168.56.101,192.168.56.102,TCP,60,80,49736,,,,,,,,
70,1721136258.963939000,192.168.56.102,192.168.56.101,TCP,54,49736,80,,,,,,,,
