,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722723783.237190000,192.168.56.102,239.255.255.250,UDP,217,59636,1900,,,,
1,1722723784.239356000,192.168.56.102,239.255.255.250,UDP,217,59636,1900,,,,
2,1722723785.246057000,192.168.56.102,239.255.255.250,UDP,217,59636,1900,,,,
3,1722723786.254419000,192.168.56.102,239.255.255.250,UDP,217,59636,1900,,,,
4,1722723835.003340000,192.168.56.102,192.168.56.101,TCP,66,49731,80,,,,
5,1722723835.003637000,192.168.56.101,192.168.56.102,TCP,66,80,49731,,,,
6,1722723835.003714000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
7,1722723835.025532000,192.168.56.102,192.168.56.101,TCP,66,49732,80,,,,
8,1722723835.025825000,192.168.56.101,192.168.56.102,TCP,66,80,49732,,,,
9,1722723835.025887000,192.168.56.102,192.168.56.101,TCP,54,49732,80,,,,
10,1722723835.025900000,192.168.56.102,192.168.56.101,HTTP,518,49731,80,GET,/page.html,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"
11,1722723835.026131000,192.168.56.101,192.168.56.102,TCP,60,80,49731,,,,
12,1722723835.026728000,192.168.56.101,192.168.56.102,HTTP,396,80,49731,,,,
13,1722723835.079327000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
14,1722723840.032632000,192.168.56.101,192.168.56.102,TCP,60,80,49731,,,,
15,1722723840.032696000,192.168.56.102,192.168.56.101,TCP,54,49731,80,,,,
