,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720702925.814215000,192.168.56.102,192.168.56.101,TCP,66,49958,443,,,,
1,1720702925.814428000,192.168.56.101,192.168.56.102,TCP,66,443,49958,,,,
2,1720702925.814472000,192.168.56.102,192.168.56.101,TCP,54,49958,443,,,,
3,1720702925.814722000,192.168.56.102,192.168.56.101,TCP,293,49958,443,,,,
4,1720702925.814855000,192.168.56.101,192.168.56.102,TCP,60,443,49958,,,,
5,1720702925.846715000,192.168.56.101,192.168.56.102,TCP,1514,443,49958,,,,
6,1720702925.846715000,192.168.56.101,192.168.56.102,TCP,318,443,49958,,,,
7,1720702925.846755000,192.168.56.102,192.168.56.101,TCP,54,49958,443,,,,
8,1720702925.848083000,192.168.56.102,192.168.56.101,TCP,118,49958,443,,,,
9,1720702925.848243000,192.168.56.102,192.168.56.101,TCP,719,49958,443,,,,
10,1720702925.848402000,192.168.56.101,192.168.56.102,TCP,60,443,49958,,,,
11,1720702925.849404000,192.168.56.101,192.168.56.102,TCP,457,443,49958,,,,
12,1720702925.850472000,192.168.56.102,192.168.56.101,TCP,78,49958,443,,,,
13,1720702925.850573000,192.168.56.102,192.168.56.101,TCP,54,49958,443,,,,
14,1720702925.850648000,192.168.56.101,192.168.56.102,TCP,78,443,49958,,,,
15,1720702925.850648000,192.168.56.101,192.168.56.102,TCP,60,443,49958,,,,
16,1720702925.850667000,192.168.56.102,192.168.56.101,TCP,54,49958,443,,,,
17,1720702925.850764000,192.168.56.101,192.168.56.102,TCP,60,443,49958,,,,
18,1720702925.850768000,192.168.56.102,192.168.56.101,TCP,66,49959,443,,,,
19,1720702925.850882000,192.168.56.101,192.168.56.102,TCP,66,443,49959,,,,
20,1720702925.850907000,192.168.56.102,192.168.56.101,TCP,54,49959,443,,,,
21,1720702925.851077000,192.168.56.102,192.168.56.101,TCP,293,49959,443,,,,
22,1720702925.851216000,192.168.56.101,192.168.56.102,TCP,60,443,49959,,,,
23,1720702925.853829000,192.168.56.102,192.168.56.101,TCP,66,49960,443,,,,
24,1720702925.853932000,192.168.56.101,192.168.56.102,TCP,66,443,49960,,,,
25,1720702925.853952000,192.168.56.102,192.168.56.101,TCP,54,49960,443,,,,
26,1720702925.854093000,192.168.56.102,192.168.56.101,TCP,293,49960,443,,,,
27,1720702925.854193000,192.168.56.101,192.168.56.102,TCP,60,443,49960,,,,
28,1720702925.860186000,192.168.56.101,192.168.56.102,TCP,1514,443,49959,,,,
29,1720702925.860186000,192.168.56.101,192.168.56.102,TCP,318,443,49959,,,,
30,1720702925.860240000,192.168.56.102,192.168.56.101,TCP,54,49959,443,,,,
