,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1722724284.327785000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
1,1722724284.327785000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
2,1722724284.327860000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
3,1722724284.332781000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
4,1722724284.336066000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
5,1722724284.336066000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
6,1722724284.336150000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
7,1722724284.338298000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
8,1722724284.338351000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
9,1722724284.343119000,10.0.3.15,23.41.178.65,HTTPS,89,49760,443,,,,,,,,
10,1722724284.343408000,23.41.178.65,10.0.3.15,HTTPS,60,443,49760,,,,,,,,
11,1722724284.349489000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
12,1722724284.364916000,151.101.10.172,10.0.3.15,TCP,1514,80,49712,,,,,,,,
13,1722724284.364916000,151.101.10.172,10.0.3.15,TCP,479,80,49712,,,,,,,,
14,1722724284.364916000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
15,1722724284.365097000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
16,1722724284.372054000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,,,,,
17,1722724284.372054000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
18,1722724284.372166000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
19,1722724284.376248000,151.101.10.172,10.0.3.15,TCP,1514,80,49712,,,,,,,,
20,1722724284.376248000,151.101.10.172,10.0.3.15,TCP,1482,80,49712,,,,,,,,
21,1722724284.376313000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
22,1722724284.380972000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
23,1722724284.380972000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
24,1722724284.381009000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
25,1722724284.381095000,10.0.3.3,10.0.3.15,UDP,182,53,55869,,,,,,,,
26,1722724284.381314000,10.0.3.3,10.0.3.15,UDP,292,53,61786,,,,,,,,
27,1722724284.382916000,10.0.3.15,204.79.197.239,HTTPS,66,49792,443,,,,,,,,
28,1722724284.403271000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,,,,,
29,1722724284.403382000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
30,1722724284.407989000,151.101.10.172,10.0.3.15,HTTP,63,80,49712,,200,,,,,application/vnd.ms-cab-compressed,7229.0
31,1722724284.407989000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
32,1722724284.407989000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
33,1722724284.408095000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
34,1722724284.409170000,10.0.3.15,151.101.10.172,HTTP,304,49712,80,GET,,/d/msdownload/update/others/2024/08/41710779_7da8b248415bbefde3630ccf11dd9d2ee223feea.cab,,Windows-Update-Agent/1216.2402.13012.0 Client-Protocol/2.80,,,
35,1722724284.409422000,151.101.10.172,10.0.3.15,TCP,60,80,49712,,,,,,,,
36,1722724284.425908000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
37,1722724284.442847000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
38,1722724284.442914000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
39,1722724284.450592000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
40,1722724284.450592000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
41,1722724284.450648000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
42,1722724284.493009000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
43,1722724284.530019000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
44,1722724284.535370000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
45,1722724284.535370000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
46,1722724284.535476000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
47,1722724284.535515000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
48,1722724284.538679000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
49,1722724284.538679000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
50,1722724284.538735000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
51,1722724284.545336000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
52,1722724284.549411000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
53,1722724284.549411000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
54,1722724284.549466000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
55,1722724284.565557000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
56,1722724284.565593000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
57,1722724284.569770000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
58,1722724284.569770000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
59,1722724284.609601000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
60,1722724284.620901000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
61,1722724284.625004000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
62,1722724284.630070000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
63,1722724284.640827000,10.0.3.15,204.79.197.239,HTTPS,66,49793,443,,,,,,,,
64,1722724284.660442000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
65,1722724284.660442000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
66,1722724284.660507000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
67,1722724284.667513000,104.90.25.41,10.0.3.15,HTTPS,1514,443,49717,,,,,,,,
68,1722724284.667513000,104.90.25.41,10.0.3.15,HTTPS,1490,443,49717,,,,,,,,
69,1722724284.667513000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
70,1722724284.667574000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
71,1722724284.667588000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
72,1722724284.707676000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
73,1722724284.710046000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,,,,,
74,1722724284.719055000,151.101.10.172,10.0.3.15,TCP,1498,80,49712,,,,,,,,
75,1722724284.719233000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
76,1722724284.719362000,204.79.197.239,10.0.3.15,HTTPS,60,443,49793,,,,,,,,
77,1722724284.719362000,204.79.197.239,10.0.3.15,HTTPS,60,443,49792,,,,,,,,
78,1722724284.719461000,10.0.3.15,204.79.197.239,HTTPS,54,49793,443,,,,,,,,
79,1722724284.719477000,10.0.3.15,204.79.197.239,HTTPS,54,49792,443,,,,,,,,
80,1722724284.719975000,10.0.3.15,204.79.197.239,HTTPS,1846,49793,443,,,,,,,,
81,1722724284.720160000,204.79.197.239,10.0.3.15,HTTPS,60,443,49793,,,,,,,,
82,1722724284.720160000,204.79.197.239,10.0.3.15,HTTPS,60,443,49793,,,,,,,,
83,1722724284.720342000,10.0.3.15,204.79.197.239,HTTPS,1846,49792,443,,,,,,,,
84,1722724284.720508000,204.79.197.239,10.0.3.15,HTTPS,60,443,49792,,,,,,,,
85,1722724284.720508000,204.79.197.239,10.0.3.15,HTTPS,60,443,49792,,,,,,,,
86,1722724284.724057000,151.101.10.172,10.0.3.15,TCP,1514,80,49712,,,,,,,,
87,1722724284.724057000,151.101.10.172,10.0.3.15,TCP,1482,80,49712,,,,,,,,
88,1722724284.724111000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
89,1722724284.730758000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
90,1722724284.730758000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
91,1722724284.730821000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
92,1722724284.735562000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
93,1722724284.735562000,151.101.10.172,10.0.3.15,TCP,1514,80,49712,,,,,,,,
94,1722724284.735562000,151.101.10.172,10.0.3.15,HTTP,486,80,49712,,200,,,,,application/vnd.ms-cab-compressed,7227.0
95,1722724284.735681000,10.0.3.15,151.101.10.172,TCP,54,49712,80,,,,,,,,
96,1722724284.736773000,10.0.3.15,151.101.10.172,HTTP,304,49712,80,GET,,/d/msdownload/update/others/2024/08/41710778_d67661a42c4910e32ca463a2321ae9609c26528e.cab,,Windows-Update-Agent/1216.2402.13012.0 Client-Protocol/2.80,,,
97,1722724284.737092000,151.101.10.172,10.0.3.15,TCP,60,80,49712,,,,,,,,
98,1722724284.741277000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
99,1722724284.741277000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
100,1722724284.741383000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
101,1722724284.741410000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
102,1722724284.746373000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
103,1722724284.746373000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
104,1722724284.750222000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
105,1722724284.750275000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
106,1722724284.754998000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
107,1722724284.754998000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
108,1722724284.755075000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
109,1722724284.765070000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
110,1722724284.765143000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
111,1722724284.769481000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
112,1722724284.769481000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
113,1722724284.773712000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
114,1722724284.773788000,10.0.3.15,104.90.25.41,HTTPS,54,49717,443,,,,,,,,
115,1722724284.780909000,23.41.178.65,10.0.3.15,HTTPS,1514,443,49760,,,,,,,,
116,1722724284.780909000,23.41.178.65,10.0.3.15,HTTPS,1490,443,49760,,,,,,,,
117,1722724284.780991000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
118,1722724284.785256000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
119,1722724284.785256000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
120,1722724284.785437000,10.0.3.15,23.41.178.65,HTTPS,54,49760,443,,,,,,,,
121,1722724284.798792000,23.41.178.65,10.0.3.15,HTTPS,1502,443,49760,,,,,,,,
122,1722724284.812664000,104.90.25.41,10.0.3.15,HTTPS,1502,443,49717,,,,,,,,
