"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_32:b5:a2","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"2","0.000430","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"3","0.000445","192.168.56.102","192.168.56.101","TCP","66","49673  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.000678","192.168.56.101","192.168.56.102","TCP","66","80  >  49673 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"5","0.000738","192.168.56.102","192.168.56.101","TCP","54","49673  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"6","0.015284","192.168.56.102","192.168.56.101","TCP","66","49674  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"7","0.015559","192.168.56.101","192.168.56.102","TCP","66","80  >  49674 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"8","0.015618","192.168.56.102","192.168.56.101","TCP","54","49674  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"9","0.026833","192.168.56.102","192.168.56.101","HTTP","520","GET /message.txt HTTP/1.1 "
"10","0.027228","192.168.56.101","192.168.56.102","TCP","60","80  >  49673 [ACK] Seq=1 Ack=467 Win=31872 Len=0"
"11","0.027932","192.168.56.101","192.168.56.102","HTTP","405","HTTP/1.1 200 OK  (text/plain)"
"12","0.073335","192.168.56.102","192.168.56.101","TCP","54","49673  >  80 [ACK] Seq=467 Ack=352 Win=262400 Len=0"
"13","0.099815","192.168.56.102","192.168.56.101","HTTP","463","GET /favicon.ico HTTP/1.1 "
"14","0.100635","192.168.56.101","192.168.56.102","HTTP","546","HTTP/1.1 404 Not Found  (text/html)"
"15","0.152161","192.168.56.102","192.168.56.101","TCP","54","49673  >  80 [ACK] Seq=876 Ack=844 Win=261888 Len=0"
"16","5.103607","192.168.56.101","192.168.56.102","TCP","60","80  >  49673 [FIN, ACK] Seq=844 Ack=876 Win=31872 Len=0"
"17","5.103654","192.168.56.102","192.168.56.101","TCP","54","49673  >  80 [ACK] Seq=876 Ack=845 Win=261888 Len=0"
"18","9.792096","fe80::a3a5:d549:98af:516d","ff02::2","ICMPv6","62","Router Solicitation"
"19","18.580354","192.168.56.102","192.168.56.101","TCP","54","49673  >  80 [FIN, ACK] Seq=876 Ack=845 Win=261888 Len=0"
"20","18.580651","192.168.56.101","192.168.56.102","TCP","60","80  >  49673 [ACK] Seq=845 Ack=877 Win=31872 Len=0"
"21","31.449203","192.168.56.101","192.168.56.102","TCP","66","[TCP Retransmission] 80  >  49674 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"22","31.449237","192.168.56.102","192.168.56.101","TCP","66","[TCP Dup ACK 8#1] 49674  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0 SLE=0 SRE=1"
"23","32.282248","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"24","33.284058","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"25","34.292674","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"26","35.297883","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"27","45.031355","192.168.56.102","192.168.56.101","TCP","55","[TCP Keep-Alive] 49674  >  80 [ACK] Seq=0 Ack=1 Win=262656 Len=1"
"28","45.031594","192.168.56.101","192.168.56.102","TCP","66","[TCP Window Update] 80  >  49674 [ACK] Seq=1 Ack=1 Win=32128 Len=0 SLE=0 SRE=1"
"29","50.127785","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"30","50.127812","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"31","51.462681","192.168.56.101","192.168.56.102","TCP","60","80  >  49674 [FIN, ACK] Seq=1 Ack=1 Win=32128 Len=0"
"32","51.462725","192.168.56.102","192.168.56.101","TCP","54","49674  >  80 [ACK] Seq=1 Ack=2 Win=262656 Len=0"
"33","66.278302","192.168.56.102","192.168.56.101","TCP","54","49674  >  80 [FIN, ACK] Seq=1 Ack=2 Win=262656 Len=0"
"34","66.278570","192.168.56.101","192.168.56.102","TCP","60","80  >  49674 [ACK] Seq=2 Ack=2 Win=32128 Len=0"
"35","67.867799","PcsCompu_d2:26:79","Broadcast","ARP","60","Who has 192.168.56.100? Tell 192.168.56.101"
"36","76.621678","PcsCompu_32:b5:a2","Broadcast","ARP","42","Who has 192.168.56.100? Tell 192.168.56.102"
"37","76.621890","PcsCompu_81:29:1d","PcsCompu_32:b5:a2","ARP","60","192.168.56.100 is at 08:00:27:81:29:1d"
"38","76.621908","192.168.56.102","192.168.56.100","DHCP","356","DHCP Request  - Transaction ID 0xa1260cea"
"39","76.623974","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0xa1260cea"
"40","76.632675","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"41","76.632688","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"42","76.636436","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"43","76.636606","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"44","76.636833","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"45","76.636859","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"46","76.638031","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"47","76.638095","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"48","76.638800","192.168.56.102","224.0.0.251","MDNS","80","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"49","76.638955","192.168.56.102","224.0.0.251","MDNS","118","Standard query response 0x0000 AAAA fe80::9c4f:4e27:e09a:8d13 A 192.168.56.102"
"50","76.639167","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","100","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"51","76.639358","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","138","Standard query response 0x0000 AAAA fe80::9c4f:4e27:e09a:8d13 A 192.168.56.102"
"52","76.639531","fe80::9c4f:4e27:e09a:8d13","ff02::1:3","LLMNR","94","Standard query 0x0ec8 ANY WinDev2404Eval"
"53","76.639605","192.168.56.102","224.0.0.252","LLMNR","74","Standard query 0x0ec8 ANY WinDev2404Eval"
"54","77.093250","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"55","77.093296","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
