,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720702627.437645000,192.168.56.102,192.168.56.101,TCP,66,49788,443,,,,
1,1720702627.437906000,192.168.56.101,192.168.56.102,TCP,60,443,49788,,,,
2,1720702627.939319000,192.168.56.102,192.168.56.101,TCP,66,49788,443,,,,
3,1720702627.939563000,192.168.56.101,192.168.56.102,TCP,60,443,49788,,,,
4,1720702628.450824000,192.168.56.102,192.168.56.101,TCP,66,49788,443,,,,
5,1720702628.451050000,192.168.56.101,192.168.56.102,TCP,60,443,49788,,,,
6,1720702628.957298000,192.168.56.102,192.168.56.101,TCP,66,49788,443,,,,
7,1720702628.957507000,192.168.56.101,192.168.56.102,TCP,60,443,49788,,,,
8,1720702629.470801000,192.168.56.102,192.168.56.101,TCP,66,49788,443,,,,
9,1720702629.471057000,192.168.56.101,192.168.56.102,TCP,60,443,49788,,,,
10,1720702629.473916000,192.168.56.102,192.168.56.101,TCP,66,49789,80,,,,
11,1720702629.474110000,192.168.56.101,192.168.56.102,TCP,66,80,49789,,,,
12,1720702629.474152000,192.168.56.102,192.168.56.101,TCP,54,49789,80,,,,
13,1720702629.474489000,192.168.56.102,192.168.56.101,HTTP,2845,49789,80,POST,/rpc.html?dq=35633k984&f=12g9000w3,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
14,1720702629.474670000,192.168.56.101,192.168.56.102,TCP,60,80,49789,,,,
15,1720702629.475766000,192.168.56.101,192.168.56.102,HTTP,1144,80,49789,,,,
16,1720702629.476110000,192.168.56.102,192.168.56.101,TCP,54,49789,80,,,,
17,1720702629.476259000,192.168.56.101,192.168.56.102,TCP,60,80,49789,,,,
18,1720702629.476273000,192.168.56.102,192.168.56.101,TCP,54,49789,80,,,,
19,1720702629.476414000,192.168.56.102,192.168.56.101,TCP,66,49790,80,,,,
20,1720702629.476524000,192.168.56.101,192.168.56.102,TCP,66,80,49790,,,,
21,1720702629.476548000,192.168.56.102,192.168.56.101,TCP,54,49790,80,,,,
22,1720702629.476679000,192.168.56.102,192.168.56.101,HTTP,529,49790,80,GET,/assets/jquery.js?q=223190l44,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
23,1720702629.476803000,192.168.56.101,192.168.56.102,TCP,60,80,49790,,,,
24,1720702629.479781000,192.168.56.102,192.168.56.101,TCP,66,49791,80,,,,
25,1720702629.479917000,192.168.56.101,192.168.56.102,TCP,66,80,49791,,,,
26,1720702629.479942000,192.168.56.102,192.168.56.101,TCP,54,49791,80,,,,
27,1720702629.480080000,192.168.56.102,192.168.56.101,HTTP,3782,49791,80,POST,/actions/rpc.php?l=74568p735,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
28,1720702629.480207000,192.168.56.101,192.168.56.102,TCP,60,80,49791,,,,
29,1720702629.480448000,192.168.56.101,192.168.56.102,HTTP,135,80,49791,,,,
30,1720702629.486503000,192.168.56.102,192.168.56.101,TCP,54,49791,80,,,,
31,1720702629.486685000,192.168.56.101,192.168.56.102,TCP,60,80,49791,,,,
32,1720702629.486699000,192.168.56.102,192.168.56.101,TCP,54,49791,80,,,,
33,1720702631.659434000,192.168.56.101,192.168.56.102,HTTP,118,80,49790,,,,
34,1720702631.659739000,192.168.56.102,192.168.56.101,TCP,54,49790,80,,,,
35,1720702631.659979000,192.168.56.101,192.168.56.102,TCP,60,80,49790,,,,
36,1720702631.660006000,192.168.56.102,192.168.56.101,TCP,54,49790,80,,,,
37,1720702631.660062000,192.168.56.102,192.168.56.101,TCP,66,49792,80,,,,
38,1720702631.660205000,192.168.56.101,192.168.56.102,TCP,66,80,49792,,,,
39,1720702631.660246000,192.168.56.102,192.168.56.101,TCP,54,49792,80,,,,
40,1720702631.661147000,192.168.56.102,192.168.56.101,HTTP,523,49792,80,GET,/backbone.js?d=64729679,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
41,1720702631.661331000,192.168.56.101,192.168.56.102,TCP,60,80,49792,,,,
42,1720702633.159690000,192.168.56.101,192.168.56.102,HTTP,118,80,49792,,,,
43,1720702633.159999000,192.168.56.102,192.168.56.101,TCP,54,49792,80,,,,
44,1720702633.160258000,192.168.56.101,192.168.56.102,TCP,60,80,49792,,,,
45,1720702633.160293000,192.168.56.102,192.168.56.101,TCP,54,49792,80,,,,
46,1720702633.160326000,192.168.56.102,192.168.56.101,TCP,66,49793,80,,,,
47,1720702633.160487000,192.168.56.101,192.168.56.102,TCP,66,80,49793,,,,
48,1720702633.160535000,192.168.56.102,192.168.56.101,TCP,54,49793,80,,,,
49,1720702633.160898000,192.168.56.102,192.168.56.101,HTTP,522,49793,80,GET,/jquery.js?n=249m38767,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
50,1720702633.161089000,192.168.56.101,192.168.56.102,TCP,60,80,49793,,,,
51,1720702635.686362000,192.168.56.101,192.168.56.102,HTTP,118,80,49793,,,,
52,1720702635.686613000,192.168.56.102,192.168.56.101,TCP,54,49793,80,,,,
53,1720702635.686875000,192.168.56.102,192.168.56.101,TCP,66,49794,80,,,,
54,1720702635.686876000,192.168.56.101,192.168.56.102,TCP,60,80,49793,,,,
55,1720702635.686895000,192.168.56.102,192.168.56.101,TCP,54,49793,80,,,,
56,1720702635.687070000,192.168.56.101,192.168.56.102,TCP,66,80,49794,,,,
57,1720702635.687103000,192.168.56.102,192.168.56.101,TCP,54,49794,80,,,,
58,1720702635.687282000,192.168.56.102,192.168.56.101,HTTP,529,49794,80,GET,/assets/route.js?k=6973721oy6,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
59,1720702635.687445000,192.168.56.101,192.168.56.102,TCP,60,80,49794,,,,
60,1720702638.640111000,192.168.56.101,192.168.56.102,HTTP,118,80,49794,,,,
61,1720702638.640422000,192.168.56.102,192.168.56.101,TCP,54,49794,80,,,,
62,1720702638.640687000,192.168.56.102,192.168.56.101,TCP,66,49795,80,,,,
63,1720702638.640723000,192.168.56.101,192.168.56.102,TCP,60,80,49794,,,,
64,1720702638.640746000,192.168.56.102,192.168.56.101,TCP,54,49794,80,,,,
65,1720702638.640923000,192.168.56.101,192.168.56.102,TCP,66,80,49795,,,,
66,1720702638.640969000,192.168.56.102,192.168.56.101,TCP,54,49795,80,,,,
67,1720702638.641111000,192.168.56.102,192.168.56.101,HTTP,535,49795,80,GET,/bundle/bootstrap.min.js?z=42071614,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
68,1720702638.641358000,192.168.56.101,192.168.56.102,TCP,60,80,49795,,,,
69,1720702639.717663000,192.168.56.101,192.168.56.102,HTTP,118,80,49795,,,,
70,1720702639.717928000,192.168.56.102,192.168.56.101,TCP,54,49795,80,,,,
71,1720702639.718266000,192.168.56.101,192.168.56.102,TCP,60,80,49795,,,,
72,1720702639.718288000,192.168.56.102,192.168.56.101,TCP,54,49795,80,,,,
73,1720702639.718408000,192.168.56.102,192.168.56.101,TCP,66,49796,80,,,,
74,1720702639.718580000,192.168.56.101,192.168.56.102,TCP,66,80,49796,,,,
75,1720702639.718630000,192.168.56.102,192.168.56.101,TCP,54,49796,80,,,,
76,1720702639.718815000,192.168.56.102,192.168.56.101,HTTP,534,49796,80,GET,/assets/jquery.min.js?b=v7514g3324,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
77,1720702639.719003000,192.168.56.101,192.168.56.102,TCP,60,80,49796,,,,
78,1720702640.730966000,192.168.56.101,192.168.56.102,HTTP,1488,80,49796,,,,
79,1720702640.731419000,192.168.56.102,192.168.56.101,TCP,54,49796,80,,,,
80,1720702640.731714000,192.168.56.102,192.168.56.101,TCP,66,49797,80,,,,
81,1720702640.731740000,192.168.56.101,192.168.56.102,TCP,60,80,49796,,,,
82,1720702640.731779000,192.168.56.102,192.168.56.101,TCP,54,49796,80,,,,
83,1720702640.731962000,192.168.56.101,192.168.56.102,TCP,66,80,49797,,,,
84,1720702640.732014000,192.168.56.102,192.168.56.101,TCP,54,49797,80,,,,
85,1720702640.732257000,192.168.56.102,192.168.56.101,HTTP,522,49797,80,GET,/script.js?s=618z75391,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
86,1720702640.732499000,192.168.56.101,192.168.56.102,TCP,60,80,49797,,,,
87,1720702640.735525000,192.168.56.102,192.168.56.101,TCP,66,49798,80,,,,
88,1720702640.735745000,192.168.56.101,192.168.56.102,TCP,66,80,49798,,,,
89,1720702640.735800000,192.168.56.102,192.168.56.101,TCP,54,49798,80,,,,
90,1720702640.736004000,192.168.56.102,192.168.56.101,HTTP,1159,49798,80,POST,/login.php?a=h81650249,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36"
91,1720702640.736236000,192.168.56.101,192.168.56.102,TCP,60,80,49798,,,,
92,1720702640.736504000,192.168.56.101,192.168.56.102,HTTP,135,80,49798,,,,
