"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49754  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000227","192.168.56.101","192.168.56.102","TCP","66","8888  >  49754 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000279","192.168.56.102","192.168.56.101","TCP","54","49754  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"4","0.000665","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000800","192.168.56.101","192.168.56.102","TCP","60","8888  >  49754 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.001401","192.168.56.101","192.168.56.102","TLSv1.3","928","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.043006","192.168.56.102","192.168.56.101","TLSv1.3","739","Change Cipher Spec, Application Data, Application Data, Application Data"
"8","0.050315","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"9","0.050359","192.168.56.102","192.168.56.101","TLSv1.3","500","Application Data"
"10","0.050631","192.168.56.101","192.168.56.102","TCP","60","8888  >  49754 [ACK] Seq=875 Ack=1397 Win=31872 Len=0"
"11","0.825458","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"12","1.060083","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"13","1.060248","192.168.56.102","192.168.56.101","TCP","54","49754  >  8888 [FIN, ACK] Seq=1421 Ack=875 Win=261888 Len=0"
"14","1.060723","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"15","1.060723","192.168.56.101","192.168.56.102","TCP","60","8888  >  49754 [FIN, ACK] Seq=899 Ack=1422 Win=31872 Len=0"
"16","1.060768","192.168.56.102","192.168.56.101","TCP","54","49754  >  8888 [RST, ACK] Seq=1422 Ack=899 Win=0 Len=0"
"17","1.061781","192.168.56.102","192.168.56.101","TCP","66","49755  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"18","1.062032","192.168.56.101","192.168.56.102","TCP","66","8888  >  49755 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"19","1.062074","192.168.56.102","192.168.56.101","TCP","54","49755  >  8888 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"20","1.062353","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"21","1.062532","192.168.56.101","192.168.56.102","TCP","60","8888  >  49755 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"22","1.063396","192.168.56.101","192.168.56.102","TLSv1.3","928","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"23","1.077306","192.168.56.102","192.168.56.101","TLSv1.3","739","Change Cipher Spec, Application Data, Application Data, Application Data"
"24","1.077640","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"25","1.077663","192.168.56.102","192.168.56.101","TLSv1.3","120","Application Data"
"26","1.080323","192.168.56.101","192.168.56.102","TCP","60","8888  >  49755 [ACK] Seq=875 Ack=1017 Win=31872 Len=0"
"27","1.084853","192.168.56.101","192.168.56.102","TLSv1.3","80","Application Data"
"28","1.084925","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"29","1.084935","192.168.56.102","192.168.56.101","TCP","54","49755  >  8888 [ACK] Seq=1017 Ack=925 Win=2096896 Len=0"
"30","1.830004","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"31","2.100773","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"32","2.100864","192.168.56.102","192.168.56.101","TCP","54","49755  >  8888 [FIN, ACK] Seq=1041 Ack=925 Win=2096896 Len=0"
"33","2.101278","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"34","2.101278","192.168.56.101","192.168.56.102","TCP","60","8888  >  49755 [FIN, ACK] Seq=949 Ack=1042 Win=31872 Len=0"
"35","2.101318","192.168.56.102","192.168.56.101","TCP","54","49755  >  8888 [RST, ACK] Seq=1042 Ack=949 Win=0 Len=0"
"36","2.837627","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"37","3.840448","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"38","14.964657","192.168.56.102","192.168.56.101","TCP","55","49753  >  80 [ACK] Seq=1 Ack=1 Win=1026 Len=1"
"39","14.964913","192.168.56.101","192.168.56.102","TCP","60","80  >  49753 [RST] Seq=1 Win=0 Len=0"
"40","43.059565","192.168.56.102","192.168.56.100","DHCP","356","DHCP Request  - Transaction ID 0x2288d344"
"41","43.061190","192.168.56.100","192.168.56.102","DHCP","590","DHCP ACK      - Transaction ID 0x2288d344"
"42","43.064321","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"43","43.064349","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"44","43.069524","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"45","43.069744","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"46","43.070013","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"47","43.070042","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"48","43.070210","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"49","43.070319","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"50","43.070849","192.168.56.102","224.0.0.251","MDNS","80","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"51","43.071308","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","100","Standard query 0x0000 ANY WinDev2404Eval.local, ""QM"" question"
"52","43.071618","fe80::9c4f:4e27:e09a:8d13","ff02::1:3","LLMNR","94","Standard query 0x7226 ANY WinDev2404Eval"
"53","43.071625","192.168.56.102","224.0.0.251","MDNS","118","Standard query response 0x0000 AAAA fe80::9c4f:4e27:e09a:8d13 A 192.168.56.102"
"54","43.071736","192.168.56.102","224.0.0.252","LLMNR","74","Standard query 0x7226 ANY WinDev2404Eval"
"55","43.071788","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","138","Standard query response 0x0000 AAAA fe80::9c4f:4e27:e09a:8d13 A 192.168.56.102"
"56","43.152971","192.168.56.102","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"57","43.153015","fe80::9c4f:4e27:e09a:8d13","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"58","47.663954","PcsCompu_32:b5:a2","PcsCompu_46:7b:4a","ARP","42","Who has 192.168.56.100? Tell 192.168.56.102"
"59","47.664159","PcsCompu_46:7b:4a","PcsCompu_32:b5:a2","ARP","60","192.168.56.100 is at 08:00:27:46:7b:4a"
"60","81.743960","192.168.56.102","192.168.56.101","TCP","66","49756  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"61","81.744200","192.168.56.101","192.168.56.102","TCP","66","8888  >  49756 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"62","81.744256","192.168.56.102","192.168.56.101","TCP","54","49756  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"63","81.744641","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"64","81.744859","192.168.56.101","192.168.56.102","TCP","60","8888  >  49756 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"65","81.745612","192.168.56.101","192.168.56.102","TLSv1.3","928","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"66","81.759109","192.168.56.102","192.168.56.101","TLSv1.3","740","Change Cipher Spec, Application Data, Application Data, Application Data"
"67","81.759149","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"68","81.759163","192.168.56.102","192.168.56.101","TLSv1.3","120","Application Data"
"69","81.761695","192.168.56.101","192.168.56.102","TCP","60","8888  >  49756 [ACK] Seq=875 Ack=1018 Win=31872 Len=0"
"70","81.778552","192.168.56.101","192.168.56.102","TLSv1.3","80","Application Data"
"71","81.778552","192.168.56.101","192.168.56.102","TLSv1.3","119","Application Data"
"72","81.778611","192.168.56.102","192.168.56.101","TCP","54","49756  >  8888 [ACK] Seq=1018 Ack=966 Win=261632 Len=0"
"73","81.779902","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"74","81.779918","192.168.56.102","192.168.56.101","TLSv1.3","303","Application Data"
"75","81.780055","192.168.56.101","192.168.56.102","TCP","60","8888  >  49756 [ACK] Seq=966 Ack=1293 Win=31872 Len=0"
"76","82.785267","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"77","82.785311","192.168.56.102","192.168.56.101","TCP","54","49756  >  8888 [FIN, ACK] Seq=1317 Ack=966 Win=261632 Len=0"
"78","82.785722","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"79","82.785722","192.168.56.101","192.168.56.102","TCP","60","8888  >  49756 [FIN, ACK] Seq=990 Ack=1318 Win=31872 Len=0"
"80","82.785758","192.168.56.102","192.168.56.101","TCP","54","49756  >  8888 [RST, ACK] Seq=1318 Ack=990 Win=0 Len=0"
"81","86.824277","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"82","86.824292","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"83","120.826234","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"84","121.834032","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"85","122.844118","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"86","123.852372","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"87","170.819488","192.168.56.102","192.168.56.101","TCP","66","49757  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"88","170.819711","192.168.56.101","192.168.56.102","TCP","66","8888  >  49757 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"89","170.819751","192.168.56.102","192.168.56.101","TCP","54","49757  >  8888 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"90","170.819945","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"91","170.820071","192.168.56.101","192.168.56.102","TCP","60","8888  >  49757 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"92","170.820700","192.168.56.101","192.168.56.102","TLSv1.3","927","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"93","170.830953","192.168.56.102","192.168.56.101","TLSv1.3","739","Change Cipher Spec, Application Data, Application Data, Application Data"
"94","170.830994","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"95","170.831005","192.168.56.102","192.168.56.101","TLSv1.3","120","Application Data"
"96","170.833701","192.168.56.101","192.168.56.102","TCP","60","8888  >  49757 [ACK] Seq=874 Ack=1017 Win=31872 Len=0"
"97","170.846836","192.168.56.101","192.168.56.102","TLSv1.3","80","Application Data"
"98","170.846836","192.168.56.101","192.168.56.102","TLSv1.3","130","Application Data"
"99","170.846892","192.168.56.102","192.168.56.101","TCP","54","49757  >  8888 [ACK] Seq=1017 Ack=976 Win=261632 Len=0"
"100","170.847370","192.168.56.102","192.168.56.101","TLSv1.3","80","Application Data"
"101","170.847387","192.168.56.102","192.168.56.101","TLSv1.3","230","Application Data"
"102","170.847518","192.168.56.101","192.168.56.102","TCP","60","8888  >  49757 [ACK] Seq=976 Ack=1219 Win=31872 Len=0"
"103","171.851110","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"104","171.851156","192.168.56.102","192.168.56.101","TCP","54","49757  >  8888 [FIN, ACK] Seq=1243 Ack=976 Win=261632 Len=0"
"105","171.851634","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"106","171.851634","192.168.56.101","192.168.56.102","TCP","60","8888  >  49757 [FIN, ACK] Seq=1000 Ack=1244 Win=31872 Len=0"
"107","171.851676","192.168.56.102","192.168.56.101","TCP","54","49757  >  8888 [RST, ACK] Seq=1244 Ack=1000 Win=0 Len=0"
"108","175.867830","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"109","175.867859","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"110","223.442312","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"111","223.442681","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"112","224.446511","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"113","224.446874","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"114","239.507364","fe80::800:27ff:fe00:0","ff02::2","ICMPv6","70","Router Solicitation from 0a:00:27:00:00:00"
