,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1720699132.929339000,192.168.56.102,192.168.56.101,HTTPS,66,49700,443,,,,,,,,
1,1720699132.929584000,192.168.56.101,192.168.56.102,HTTPS,60,443,49700,,,,,,,,
2,1720699133.441018000,192.168.56.102,192.168.56.101,HTTPS,66,49700,443,,,,,,,,
3,1720699133.441264000,192.168.56.101,192.168.56.102,HTTPS,60,443,49700,,,,,,,,
4,1720699133.956862000,192.168.56.102,192.168.56.101,HTTPS,66,49700,443,,,,,,,,
5,1720699133.957138000,192.168.56.101,192.168.56.102,HTTPS,60,443,49700,,,,,,,,
6,1720699134.466666000,192.168.56.102,192.168.56.101,HTTPS,66,49700,443,,,,,,,,
7,1720699134.466903000,192.168.56.101,192.168.56.102,HTTPS,60,443,49700,,,,,,,,
8,1720699134.974808000,192.168.56.102,192.168.56.101,HTTPS,66,49700,443,,,,,,,,
9,1720699134.975123000,192.168.56.101,192.168.56.102,HTTPS,60,443,49700,,,,,,,,
10,1720699134.978120000,192.168.56.102,192.168.56.101,TCP,66,49701,80,,,,,,,,
11,1720699134.978300000,192.168.56.101,192.168.56.102,TCP,66,80,49701,,,,,,,,
12,1720699134.978343000,192.168.56.102,192.168.56.101,TCP,54,49701,80,,,,,,,,
13,1720699134.978579000,192.168.56.102,192.168.56.101,HTTP,698,49701,80,POST,,/actions/login.html?da=230b68298&l=1914ic3856,iVaAWizhl4CQuT_zY73znrQe6xSTHnqF0pCKS2OnpwH6x8o_wRork4LDos6KsEBc-C55h9K7wcoLksO7pt0bp4BLiQBnk26cosLSbFBU_RuepsR0s5_l_QLhk3Lcw5n9yt5r4LmiPkBqPDLsd_Oxt0GrCBIw8WhipQLfeBNwEkjy2fRp8y3kqofwsRiu81N-EDNwq6DkryIoFjOnEX3n8ksjQomp4chwqeDyNn7ESLW--yD8v57e2AlRdm3XQVjjCzMH-BVyChN0PGsrUzoKMKKnasVVCIxrElynVaZlLyjZqQfNf87HWrS8TkhP2Rih0kl4YMp_EjSBWiI3UTfqGXEMDK1aTM1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,355.0
14,1720699134.978747000,192.168.56.101,192.168.56.102,TCP,60,80,49701,,,,,,,,
15,1720699134.979142000,192.168.56.101,192.168.56.102,HTTP,136,80,49701,,404,,,,,,0.0
16,1720699134.990214000,192.168.56.102,192.168.56.101,TCP,54,49701,80,,,,,,,,
17,1720699134.990411000,192.168.56.101,192.168.56.102,TCP,60,80,49701,,,,,,,,
18,1720699134.990432000,192.168.56.102,192.168.56.101,TCP,54,49701,80,,,,,,,,
19,1720699185.591532000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
20,1720699185.591877000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
21,1720699185.599047000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
22,1720699185.599343000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
23,1720699186.602306000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,,,,
24,1720699186.602544000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,,,,
25,1720699186.602748000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,,,,
26,1720699186.602820000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,,,,
27,1720699194.986784000,192.168.56.102,192.168.56.101,HTTPS,66,49702,443,,,,,,,,
28,1720699194.987088000,192.168.56.101,192.168.56.102,HTTPS,60,443,49702,,,,,,,,
29,1720699195.503973000,192.168.56.102,192.168.56.101,HTTPS,66,49702,443,,,,,,,,
30,1720699195.504216000,192.168.56.101,192.168.56.102,HTTPS,60,443,49702,,,,,,,,
31,1720699196.011400000,192.168.56.102,192.168.56.101,HTTPS,66,49702,443,,,,,,,,
32,1720699196.011658000,192.168.56.101,192.168.56.102,HTTPS,60,443,49702,,,,,,,,
33,1720699196.521578000,192.168.56.102,192.168.56.101,HTTPS,66,49702,443,,,,,,,,
34,1720699196.521841000,192.168.56.101,192.168.56.102,HTTPS,60,443,49702,,,,,,,,
35,1720699197.036450000,192.168.56.102,192.168.56.101,HTTPS,66,49702,443,,,,,,,,
36,1720699197.036685000,192.168.56.101,192.168.56.102,HTTPS,60,443,49702,,,,,,,,
37,1720699197.039192000,192.168.56.102,192.168.56.101,TCP,66,49703,80,,,,,,,,
38,1720699197.039342000,192.168.56.101,192.168.56.102,TCP,66,80,49703,,,,,,,,
39,1720699197.039381000,192.168.56.102,192.168.56.101,TCP,54,49703,80,,,,,,,,
40,1720699197.039592000,192.168.56.102,192.168.56.101,HTTP,692,49703,80,POST,,/sign-up.html?c=102u03f841&nr=11932d645,iVaAWizhl4CQuT_zY73znrQe6xSTHnqF0pCKS2OnpwHt-E4Nk864osyhrD0psdLdprKTxsjNw4Cu_ykrSHJrRk8oS_krcWPjtDubEOsqrL2krOoyRB-rSoD-QX__Q8uPkQrQ69vR6su5HcyP5Ey_D3uEfQwEjhipQLfe47ke6pqQ_tvEueorkMzrOLy2u5-qaToC-7sF6Oveoule5excjJnRcR_8jhe64deedTDVJssmfvD4x7QJQhsBoADJqmr6MMqRjRIA88s2VH6yhjoHc16J3AKwCJMSyNIzhDxX3kIftPkHZSFMbK2taunEvNdEOm9G7U047aU1EXzPSZ8utTVdvDEMbc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,355.0
41,1720699197.039764000,192.168.56.101,192.168.56.102,TCP,60,80,49703,,,,,,,,
42,1720699197.040868000,192.168.56.101,192.168.56.102,HTTP,401,80,49703,,200,,FcTGjEa4A-306w2vZxpfBEYnhAXsA5lzD4BoIGtNIMNhUU_hTmvpvqBj66bi-Ahpi4wCZOWumUGz9JxN5LLJxdv-Wv0rXVKIqAQe_zvp3eCFoYZs7N,,,text/plain; charset=utf-8,114.0
43,1720699197.041877000,192.168.56.102,192.168.56.101,HTTP,537,49703,80,GET,,/assets/bootstrap.min.js?e=7494249,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
44,1720699197.045288000,192.168.56.102,192.168.56.101,TCP,66,49704,80,,,,,,,,
45,1720699197.045417000,192.168.56.101,192.168.56.102,TCP,66,80,49704,,,,,,,,
46,1720699197.045443000,192.168.56.102,192.168.56.101,TCP,54,49704,80,,,,,,,,
47,1720699197.045533000,192.168.56.102,192.168.56.101,HTTP,1077,49704,80,POST,,/api.php?t=83v751716,cb00d0cd4a91f13eea7c44c9d79ff7bb385f1e281711544010820d806b346091b12048993a1d67761f6524f7a7eb4d410763359af99faeb4732f4fd089f865911ae337fd97f12c9b7ce1bcdaab11d8e53c45858926fc2201c756f95fee67a2efe6ea411d5b078b95b52323e30b92567abd9377078defa349c968db8a8a87e8e0ac6f49ba0883716227e8cdbce5279d561aba6c82ed894078fef42c11a5e999458b7376c31969b8ee63f77bd9abd45efccae4f187efb136c94f7cdb8b52cfe139e55b09d210e83c5c8fdfd83fac1f85b6d432bf94c270b0c51bc2671cd2e27dab5951a234bb312ddb320728a0bedcef2417b972114e1d9ec99f203c77bd3d61ea0c20c1c796842779f2db690b35a4f8667baa367d7e09a630a8b92593a38052272af3c5e8db5835d0e0166a52acc8cf50324837b8c8fa1962a6c884baae09e039e7039d8496441af23c83623061c0347cd2a46776cbfff0da95ac98d256ec7a779a65a4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,710.0
48,1720699197.045655000,192.168.56.101,192.168.56.102,TCP,60,80,49704,,,,,,,,
49,1720699197.045827000,192.168.56.101,192.168.56.102,HTTP,135,80,49704,,202,,,,,,0.0
50,1720699197.051850000,192.168.56.102,192.168.56.101,TCP,54,49704,80,,,,,,,,
51,1720699197.051999000,192.168.56.101,192.168.56.102,TCP,60,80,49704,,,,,,,,
52,1720699197.052011000,192.168.56.102,192.168.56.101,TCP,54,49704,80,,,,,,,,
53,1720699197.087791000,192.168.56.101,192.168.56.102,TCP,60,80,49703,,,,,,,,
54,1720699199.057303000,192.168.56.101,192.168.56.102,HTTP,118,80,49703,,204,,,,,,
55,1720699199.057628000,192.168.56.102,192.168.56.101,TCP,54,49703,80,,,,,,,,
56,1720699199.057987000,192.168.56.101,192.168.56.102,TCP,60,80,49703,,,,,,,,
57,1720699199.058024000,192.168.56.102,192.168.56.101,TCP,54,49703,80,,,,,,,,
58,1720699199.058024000,192.168.56.102,192.168.56.101,TCP,66,49705,80,,,,,,,,
59,1720699199.058271000,192.168.56.101,192.168.56.102,TCP,66,80,49705,,,,,,,,
60,1720699199.058314000,192.168.56.102,192.168.56.101,TCP,54,49705,80,,,,,,,,
61,1720699199.058657000,192.168.56.102,192.168.56.101,HTTP,525,49705,80,GET,,/script.js?f=9658o2627,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
62,1720699199.058954000,192.168.56.101,192.168.56.102,TCP,60,80,49705,,,,,,,,
63,1720699201.359160000,192.168.56.101,192.168.56.102,HTTP,118,80,49705,,204,,,,,,
64,1720699201.359371000,192.168.56.102,192.168.56.101,TCP,54,49705,80,,,,,,,,
65,1720699201.359562000,192.168.56.102,192.168.56.101,TCP,66,49706,80,,,,,,,,
66,1720699201.359625000,192.168.56.101,192.168.56.102,TCP,60,80,49705,,,,,,,,
67,1720699201.359640000,192.168.56.102,192.168.56.101,TCP,54,49705,80,,,,,,,,
68,1720699201.359780000,192.168.56.101,192.168.56.102,TCP,66,80,49706,,,,,,,,
69,1720699201.359808000,192.168.56.102,192.168.56.101,TCP,54,49706,80,,,,,,,,
70,1720699201.359940000,192.168.56.102,192.168.56.101,HTTP,525,49706,80,GET,,/script.js?a=53691l967,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
71,1720699201.360063000,192.168.56.101,192.168.56.102,TCP,60,80,49706,,,,,,,,
72,1720699203.264650000,192.168.56.101,192.168.56.102,HTTP,118,80,49706,,204,,,,,,
73,1720699203.265010000,192.168.56.102,192.168.56.101,HTTP,532,49706,80,GET,,/assets/jquery.js?x=1960426y5,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
74,1720699203.265253000,192.168.56.101,192.168.56.102,TCP,60,80,49706,,,,,,,,
75,1720699203.392226000,192.168.56.102,239.255.255.250,UDP,217,58502,1900,,,,,,,,
76,1720699204.400232000,192.168.56.102,239.255.255.250,UDP,217,58502,1900,,,,,,,,
77,1720699205.054971000,192.168.56.101,192.168.56.102,HTTP,118,80,49706,,204,,,,,,
78,1720699205.055269000,192.168.56.102,192.168.56.101,TCP,54,49706,80,,,,,,,,
79,1720699205.055567000,192.168.56.102,192.168.56.101,TCP,66,49707,80,,,,,,,,
80,1720699205.055580000,192.168.56.101,192.168.56.102,TCP,60,80,49706,,,,,,,,
81,1720699205.055602000,192.168.56.102,192.168.56.101,TCP,54,49706,80,,,,,,,,
82,1720699205.055762000,192.168.56.101,192.168.56.102,TCP,66,80,49707,,,,,,,,
83,1720699205.055793000,192.168.56.102,192.168.56.101,TCP,54,49707,80,,,,,,,,
84,1720699205.055988000,192.168.56.102,192.168.56.101,HTTP,538,49707,80,GET,,/assets/bootstrap.min.js?t=59868117,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
85,1720699205.056265000,192.168.56.101,192.168.56.102,TCP,60,80,49707,,,,,,,,
86,1720699205.409978000,192.168.56.102,239.255.255.250,UDP,217,58502,1900,,,,,,,,
87,1720699206.410070000,192.168.56.102,239.255.255.250,UDP,217,58502,1900,,,,,,,,
88,1720699207.117804000,192.168.56.101,192.168.56.102,HTTP,118,80,49707,,204,,,,,,
89,1720699207.118040000,192.168.56.102,192.168.56.101,TCP,54,49707,80,,,,,,,,
90,1720699207.118360000,192.168.56.101,192.168.56.102,TCP,60,80,49707,,,,,,,,
91,1720699207.118388000,192.168.56.102,192.168.56.101,TCP,66,49708,80,,,,,,,,
92,1720699207.118388000,192.168.56.102,192.168.56.101,TCP,54,49707,80,,,,,,,,
93,1720699207.118647000,192.168.56.101,192.168.56.102,TCP,66,80,49708,,,,,,,,
94,1720699207.118691000,192.168.56.102,192.168.56.101,TCP,54,49708,80,,,,,,,,
95,1720699207.118862000,192.168.56.102,192.168.56.101,HTTP,534,49708,80,GET,,/assets/backbone.js?b=368538x53,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
96,1720699207.119085000,192.168.56.101,192.168.56.102,TCP,60,80,49708,,,,,,,,
97,1720699208.962968000,192.168.56.101,192.168.56.102,HTTP,118,80,49708,,204,,,,,,
98,1720699208.963279000,192.168.56.102,192.168.56.101,TCP,54,49708,80,,,,,,,,
99,1720699208.963552000,192.168.56.102,192.168.56.101,TCP,66,49709,80,,,,,,,,
100,1720699208.963578000,192.168.56.101,192.168.56.102,TCP,60,80,49708,,,,,,,,
101,1720699208.963618000,192.168.56.102,192.168.56.101,TCP,54,49708,80,,,,,,,,
102,1720699208.963818000,192.168.56.101,192.168.56.102,TCP,66,80,49709,,,,,,,,
103,1720699208.963859000,192.168.56.102,192.168.56.101,TCP,54,49709,80,,,,,,,,
104,1720699208.964115000,192.168.56.102,192.168.56.101,HTTP,532,49709,80,GET,,/assets/jquery.js?e=257250x52,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
105,1720699208.964328000,192.168.56.101,192.168.56.102,TCP,60,80,49709,,,,,,,,
106,1720699211.448798000,192.168.56.101,192.168.56.102,HTTP,118,80,49709,,204,,,,,,
107,1720699211.449180000,192.168.56.102,192.168.56.101,HTTP,532,49709,80,GET,,/bundle/jquery.js?z=29z769074,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
108,1720699211.449387000,192.168.56.101,192.168.56.102,TCP,60,80,49709,,,,,,,,
109,1720699213.801290000,192.168.56.101,192.168.56.102,HTTP,118,80,49709,,204,,,,,,
110,1720699213.801615000,192.168.56.102,192.168.56.101,HTTP,524,49709,80,GET,,/script.js?x=77886397,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
111,1720699213.801850000,192.168.56.101,192.168.56.102,TCP,60,80,49709,,,,,,,,
112,1720699215.431302000,192.168.56.101,192.168.56.102,HTTP,118,80,49709,,204,,,,,,
113,1720699215.431697000,192.168.56.102,192.168.56.101,HTTP,534,49709,80,GET,,/bundle/backbone.js?c=768b13575,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
114,1720699215.431944000,192.168.56.101,192.168.56.102,TCP,60,80,49709,,,,,,,,
115,1720699217.471337000,192.168.56.101,192.168.56.102,HTTP,118,80,49709,,204,,,,,,
116,1720699217.471587000,192.168.56.102,192.168.56.101,TCP,54,49709,80,,,,,,,,
117,1720699217.471917000,192.168.56.101,192.168.56.102,TCP,60,80,49709,,,,,,,,
118,1720699217.471923000,192.168.56.102,192.168.56.101,TCP,66,49710,80,,,,,,,,
119,1720699217.471954000,192.168.56.102,192.168.56.101,TCP,54,49709,80,,,,,,,,
120,1720699217.472123000,192.168.56.101,192.168.56.102,TCP,66,80,49710,,,,,,,,
121,1720699217.472170000,192.168.56.102,192.168.56.101,TCP,54,49710,80,,,,,,,,
122,1720699217.472333000,192.168.56.102,192.168.56.101,HTTP,532,49710,80,GET,,/assets/jquery.js?m=14113d703,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
123,1720699217.472535000,192.168.56.101,192.168.56.102,TCP,60,80,49710,,,,,,,,
124,1720699219.561650000,192.168.56.101,192.168.56.102,HTTP,118,80,49710,,204,,,,,,
125,1720699219.561911000,192.168.56.102,192.168.56.101,TCP,54,49710,80,,,,,,,,
126,1720699219.562237000,192.168.56.102,192.168.56.101,TCP,66,49711,80,,,,,,,,
127,1720699219.562260000,192.168.56.101,192.168.56.102,TCP,60,80,49710,,,,,,,,
128,1720699219.562277000,192.168.56.102,192.168.56.101,TCP,54,49710,80,,,,,,,,
129,1720699219.562467000,192.168.56.101,192.168.56.102,TCP,66,80,49711,,,,,,,,
130,1720699219.562510000,192.168.56.102,192.168.56.101,TCP,54,49711,80,,,,,,,,
131,1720699219.562705000,192.168.56.102,192.168.56.101,HTTP,531,49711,80,GET,,/bundle/email.js?_=703a58463,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.2489.967 Safari/537.36",,,
132,1720699219.562957000,192.168.56.101,192.168.56.102,TCP,60,80,49711,,,,,,,,
133,1720699221.747443000,192.168.56.101,192.168.56.102,HTTP,118,80,49711,,204,,,,,,
134,1720699221.747700000,192.168.56.102,192.168.56.101,TCP,54,49711,80,,,,,,,,
135,1720699221.747938000,192.168.56.102,192.168.56.101,TCP,66,49712,80,,,,,,,,
136,1720699221.748051000,192.168.56.101,192.168.56.102,TCP,60,80,49711,,,,,,,,
137,1720699221.748072000,192.168.56.102,192.168.56.101,TCP,54,49711,80,,,,,,,,
138,1720699221.748172000,192.168.56.101,192.168.56.102,TCP,66,80,49712,,,,,,,,
139,1720699221.748204000,192.168.56.102,192.168.56.101,TCP,54,49712,80,,,,,,,,
