"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","PcsCompu_32:b5:a2","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"2","0.000290","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"3","0.000307","192.168.56.102","192.168.56.101","TCP","66","49767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.000464","192.168.56.101","192.168.56.102","TCP","60","443  >  49767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","0.501329","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","0.501581","192.168.56.101","192.168.56.102","TCP","60","443  >  49767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.010687","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.010907","192.168.56.101","192.168.56.102","TCP","60","443  >  49767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","1.520857","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","1.521117","192.168.56.101","192.168.56.102","TCP","60","443  >  49767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.032950","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49767  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.033204","192.168.56.101","192.168.56.102","TCP","60","443  >  49767 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","2.036033","192.168.56.102","192.168.56.101","TCP","66","49768  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","2.036181","192.168.56.101","192.168.56.102","TCP","66","80  >  49768 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"15","2.036227","192.168.56.102","192.168.56.101","TCP","54","49768  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"16","2.036442","192.168.56.102","192.168.56.101","HTTP","868","POST /sign-up.html?cx=9w109p8364&v=37427965 HTTP/1.1 "
"17","2.036617","192.168.56.101","192.168.56.102","TCP","60","80  >  49768 [ACK] Seq=1 Ack=815 Win=31872 Len=0"
"18","2.037703","192.168.56.101","192.168.56.102","HTTP","453","HTTP/1.1 200 OK  (text/plain)"
"19","2.038124","192.168.56.102","192.168.56.101","HTTP","521","GET /email.js?t=34364130 HTTP/1.1 "
"20","2.041626","192.168.56.102","192.168.56.101","TCP","66","49769  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","2.041767","192.168.56.101","192.168.56.102","TCP","66","80  >  49769 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"22","2.041825","192.168.56.102","192.168.56.101","TCP","54","49769  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"23","2.042031","192.168.56.102","192.168.56.101","HTTP","890","POST /upload/register.php?g=7t0113_153 HTTP/1.1 "
"24","2.042176","192.168.56.101","192.168.56.102","TCP","60","80  >  49769 [ACK] Seq=1 Ack=837 Win=31872 Len=0"
"25","2.042359","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"26","2.049369","192.168.56.102","192.168.56.101","TCP","54","49769  >  80 [FIN, ACK] Seq=837 Ack=82 Win=262656 Len=0"
"27","2.049541","192.168.56.101","192.168.56.102","TCP","60","80  >  49769 [FIN, ACK] Seq=82 Ack=838 Win=31872 Len=0"
"28","2.049559","192.168.56.102","192.168.56.101","TCP","54","49769  >  80 [ACK] Seq=838 Ack=83 Win=262656 Len=0"
"29","2.081971","192.168.56.101","192.168.56.102","TCP","60","80  >  49768 [ACK] Seq=400 Ack=1282 Win=31872 Len=0"
"30","4.003816","192.168.56.101","192.168.56.102","HTTP","118","HTTP/1.1 204 No Content "
"31","4.004054","192.168.56.102","192.168.56.101","TCP","54","49768  >  80 [FIN, ACK] Seq=1282 Ack=464 Win=262144 Len=0"
"32","4.004271","192.168.56.102","192.168.56.101","TCP","66","49770  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"33","4.004332","192.168.56.101","192.168.56.102","TCP","60","80  >  49768 [FIN, ACK] Seq=464 Ack=1283 Win=31872 Len=0"
"34","4.004370","192.168.56.102","192.168.56.101","TCP","54","49768  >  80 [ACK] Seq=1283 Ack=465 Win=262144 Len=0"
"35","4.004463","192.168.56.101","192.168.56.102","TCP","66","80  >  49770 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"36","4.004490","192.168.56.102","192.168.56.101","TCP","54","49770  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"37","4.004668","192.168.56.102","192.168.56.101","HTTP","526","GET /bundle/email.js?o=764922 HTTP/1.1 "
"38","4.004879","192.168.56.101","192.168.56.102","TCP","60","80  >  49770 [ACK] Seq=1 Ack=473 Win=31872 Len=0"
