"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","1.002166","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"3","2.008867","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"4","3.017229","192.168.56.102","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5","51.766150","192.168.56.102","192.168.56.101","TCP","66","49731  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","51.766447","192.168.56.101","192.168.56.102","TCP","66","80  >  49731 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"7","51.766524","192.168.56.102","192.168.56.101","TCP","54","49731  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"8","51.788342","192.168.56.102","192.168.56.101","TCP","66","49732  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"9","51.788635","192.168.56.101","192.168.56.102","TCP","66","80  >  49732 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"10","51.788697","192.168.56.102","192.168.56.101","TCP","54","49732  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"11","51.788710","192.168.56.102","192.168.56.101","HTTP","518","GET /page.html HTTP/1.1 "
"12","51.788941","192.168.56.101","192.168.56.102","TCP","60","80  >  49731 [ACK] Seq=1 Ack=465 Win=31872 Len=0"
"13","51.789538","192.168.56.101","192.168.56.102","HTTP","396","HTTP/1.1 200 OK  (text/html)"
"14","51.842137","192.168.56.102","192.168.56.101","TCP","54","49731  >  80 [ACK] Seq=465 Ack=343 Win=262400 Len=0"
"15","56.795442","192.168.56.101","192.168.56.102","TCP","60","80  >  49731 [FIN, ACK] Seq=343 Ack=465 Win=31872 Len=0"
"16","56.795506","192.168.56.102","192.168.56.101","TCP","54","49731  >  80 [ACK] Seq=465 Ack=344 Win=262400 Len=0"
